rxnID	coefficient	Metabolite standard name	Metabolite_type	compartment
MNXR106663	1	H+	reactant	cytoplasm
MNXR106663	1	malonyl-CoA	reactant	cytoplasm
MNXR106663	1	NADPH	reactant	cytoplasm
MNXR106663	1	coenzyme A	product	cytoplasm
MNXR106663	1	NADP(+)	product	cytoplasm
MNXR106663	1	3-oxopropanoate	product	cytoplasm
MNXR101737	1	H+	reactant	cytoplasm
MNXR101737	1	NADPH	reactant	cytoplasm
MNXR101737	1	3-oxopropanoate	reactant	cytoplasm
MNXR101737	1	NADP(+)	product	cytoplasm
MNXR101737	1	3-hydroxypropanoate	product	cytoplasm
3-hydroxypropionate transport	1	3-hydroxypropanoate	reactant	cytoplasm
3-hydroxypropionate transport	1	3-hydroxypropanoate	product	extracellular
3-hydroxypropionate exchange	1	3-hydroxypropanoate	reactant	extracellular
MNXR95865	1	beta-alanine	reactant	cytoplasm
MNXR95865	1	pyruvate	reactant	cytoplasm
MNXR95865	1	L-alanine	product	cytoplasm
MNXR95865	1	3-oxopropanoate	product	cytoplasm
MNXR96077	1	H+	reactant	cytoplasm
MNXR96077	1	L-aspartate	reactant	cytoplasm
MNXR96077	1	beta-alanine	product	cytoplasm
MNXR96077	1	carbon dioxide	product	cytoplasm
MNXR106663MNXR101737	1	malonyl-CoA	reactant	cytoplasm
MNXR106663MNXR101737	2	NADPH	reactant	cytoplasm
MNXR106663MNXR101737	2	H+	reactant	cytoplasm
MNXR106663MNXR101737	2	NADP(+)	product	cytoplasm
MNXR106663MNXR101737	1	coenzyme A	product	cytoplasm
MNXR106663MNXR101737	1	3-hydroxypropanoate	product	cytoplasm
