aminoacid	AAs	molar_percent	MW	weight_AA	mass_percent
Alanine	9	0.183673469	0.0710779	0.6397011	0.124725014
Arginine	1	0.020408163	0.1561011	0.1561011	0.030435639
Asparagine	1	0.020408163	0.1140429	0.1140429	0.022235388
Aspartic acid	3	0.06122449	0.1150269	0.3450807	0.067281727
Cysteine	0	0	0.1030092	0	0
Glutamine	1	0.020408163	0.1280585	0.1280585	0.024968064
Glutamic acid	4	0.081632653	0.1290425	0.51617	0.100639674
Glycine	2	0.040816327	0.0570214	0.1140428	0.022235369
Histidine	0	0	0.1370589	0	0
Isoleucine	4	0.081632653	0.113084	0.452336	0.088193711
Leucine	3	0.06122449	0.113084	0.339252	0.066145283
Lysine	0	0	0.1280949	0	0
Methionine	1	0.020408163	0.1310405	0.1310405	0.025549476
Phenylalanine	4	0.081632653	0.1470684	0.5882736	0.114697994
Proline	3	0.06122449	0.0970527	0.2911581	0.056768228
Serine	4	0.081632653	0.087032	0.348128	0.067875871
Threonine	5	0.102040816	0.1010476	0.505238	0.09850822
Tryptophan	0	0	0.18607931	0	0
Tyrosine	1	0.020408163	0.1630633	0.1630633	0.031793086
Valine	3	0.06122449	0.0990684	0.2972052	0.057947255
