Name	Formula	KEGG_ID	CHEBI_ID	MW	Group	class	cFlux_l	Pburden
L-phenylacetylcarbinol 	C9H10O2	NA	NA	150.174	heterologous	alcohol	1.000001	0.014792885
n-butanol 	C4H10O	C06142	28885	74.23	heterologous	alcohol	1.000001	0.103616368
docosanol 	C22H46O	D03884	31000	326.61	heterologous	alcohol	1.000001	0.103616368
"(R,R)-2,3-butanediol "	C4H10O2	C03044	16982	90.121	native	alcohol	1.000001	0.015256105
2-phenylethanol 	C8H10O	C05853	49000	122.1644	native	alcohol	1.000001	0.022914826
glycerol 	C3H8O3	C00116	17754	92.09382	native	alcohol	1.000001	0.020257565
isoamylol 	C5H12O	C07328	15837	88.14818	native	alcohol	1.000001	0.021304922
isobutanol 	C4H10O	C14710	46645	74.1216	native	alcohol	1.000001	0.019170236
(S)-Reticuline 	C19H23NO4	C02105	16718	329.39	heterologous	alkaloid	1.000001	0.103616368
psilocybin 	C12H17N2O4P	C07576	8614	284.248101	heterologous	alkaloid	1.000001	0.103616368
cinnamoyltropine	C17H22ClNO2	NA	NA	307.82	heterologous	alkaloid	1.000001	0.103616368
choline 	C5H14NO	C00114	15354	104.1708	native	alkaloid	1.000001	0.103616368
hypoxanthine 	C5H4N4O	C00262	17368	136.11162	native	alkaloid	1.000001	0.060841956
xanthine 	C5H4N4O2	C00385	17712	152.11102	native	alkaloid	1.000001	0.081692813
Nicotianamine 	C12H21N3O6	C05324	17721	303.3116	heterologous	amino acid	1.000001	0.103616368
ergothioneine	C9H15N3O2S	C05570	4828	229.3	heterologous	amino acid	1.000001	0.103616368
glutathione 	C10H17N3O6S	C00051	16856	307.32	native	amino acid	1.000001	0.023403737
L-alanine 	C3H7NO2	C00041	16977	89.09322	native	amino acid	0.880975979	0.017627512
L-arginine 	C6H14N4O2	C00062	16467	174.201	native	amino acid	0.75213194	0.022961154
L-asparagine 	C4H8N2O3	C00152	17196	132.118001	native	amino acid	0.763536609	0.023552966
L-aspartate 	C4H7NO4	C00049	17053	133.1027	native	amino acid	0.888393414	0.018069622
