chemicals	results_folder	ecModel	media	carbon_source	overexpression	downregulation	deletion	internal_ids
(S)-reticuline	S_reticuline_targets	ecS_reticuline.mat	YEP	D-glucose				s_reticuline
2-phenylethanol	2-phenylethanol_targets	ec2-phenylethanol.mat	Min	D-glucose	YGL148W,YHR137W,YNL316C,YPR074C,YDR380W	YAL038W,YBR166C	YDR035W,YBR249C,YPR060C,YGL202W	phenylethanol
3-hydroxypropanoate-asp	3hp-asp_targets	ec3HP-asp.mat	Min	D-glucose				hp_asp
3-hydroxypropanoate-malcoa	3hp-malcoa_targets	ec3HP-malcoa.mat	Min	D-glucose				hp_malcoa
3-Methyl-1-Butanol	3-methylbutanol_targets	ec3-methylbutanol.mat	YEP	D-glucose	YMR108W,YJR016C,YLR355C,YDR380W,YMR303C,YNL104C		YPL061W,YHR208W	methylbutanol
4-hydroxymandelic	4-hydroxymandelic_acid_targets	ec4-hydroxymandelic_acid.mat	Min	D-glucose	YDR127W		YNL316C,YER090W,YDR380W,YLR134W,YGL202W,YBR249C	hydroxymandelic_acid
Acetaldehyde	acetaldehyde_targets	ecAcetaldehyde.mat	Min	D-glucose				acetaldehyde
Acetate	acetate_targets	ecAcetate.mat	Min	D-glucose				acetate
Adipic acid	adipic_acid_targets	ecAdipic_acid.mat	YEP	D-glucose			YDR035W,YBR249C,YNL241C	adipic_acid
Alanine	alanine_targets	ecAlanine.mat	Min	D-glucose				alanine
_-Amylase	alpha_amylase_targets	ecalpha_Amylase.mat	Min	D-glucose				alpha_amylase
Amorphadiene	amorphadiene_targets	ecAmorphadiene.mat	Min	D-glucose	YML075C,YMR220W,YPL028W,YMR208W,YML126C,YNR043W,YJL167W,YPL117C	YHR190W	YBR020W,YBR018C,YBR019C	amorphadiene
ARA	ara_targets	ecARA.mat	Min	D-glucose				ara
Arginine	arginine_targets	ecArginine.mat	Min	D-glucose				arginine
Artemisinic acid	artemisinic-acid_targets	ecArtemisinic_acid.mat	YEP	D-glucose	YML075C,YLR450W	YHR190W		artemisinic_acid
Asparagine	asparagine_targets	ecAsparagine.mat	Min	D-glucose				asparagine
Aspartate	aspartate_targets	ecAspartate.mat	Min	D-glucose				aspartate
Astaxanthin	astaxanthin_targets	ecAstaxanthin.mat	YEP	D-glucose	YML075C			astaxanthin
_-Amyrin	beta_amyrin_targets	ecbeta_Amyrin.mat	YEP	D-glucose	YHR190W,YJL167W			beta_amyrin
_-Carotene	beta_carotene_targets	ecbeta_Carotene.mat	YEP	D-glucose	YML075C			beta_carotene
_-ionone	beta_ionone_targets	ecbeta_Ionone.mat	YEP	D-glucose	YJL167W,YML075C,YPL069C	YHR190W	YDR284C,YDR503C	beta_ionone
Betaxanthin	betaxanthin_targets	ecBetaxanthin.mat	YEP	raffinose			YBR249C	betaxanthin
Caffeic acid	caffeic_acid_targets	ecCaffeic_acid.mat	YEP	D-glucose			YDR380W,YLR134W	caffeic_acid
Catechin	catechin_targets	ecCatechin.mat	Min	D-glucose				catechin
Choline	choline_targets	ecCholine.mat	Min	D-glucose				choline
Trans-cinnamate	cinnamate_targets	ecCinnamate.mat	YEP	D-glucose				cinnamate
cis,cis-muconic acid	cis_muconate_targets	eccis_Muconate.mat	YEP	D-glucose			YDR035W,YBR249C,YNL241C	cis_muconate
Citrate	citrate_targets	ecCitrate.mat	Min	D-glucose				citrate
Citrulline	citrulline_targets	ecCitrulline.mat	Min	D-glucose				citrulline
p-coumaric acid	coumaric_acid_targets	ecCoumaric_acid.mat	YEP	D-glucose			YBR249C,YPR060C,YDR380W,YLR134W	coumaric_acid
p-coumaric acid	coumaric-acid_targets	ecCoumaric_acid_xylose.mat	Min	D-xylose			YBR249C,YPR060C,YDR380W,YLR134W	coumaric_acid_xylose
Cysteine	cysteine_targets	ecCysteine.mat	Min	D-glucose				cysteine
DHA	dha_targets	ecDHA.mat	Min	D-glucose				dha
docosanol	docosanol_targets	ecDocosanol.mat	Min	D-glucose	YJL196C,YCR034W,YNR016C		YCR048W,YOR245C,YNR019W,YNR008W,YGL205W,YLR372W,YBR020W	docosanol
EPA	epa_targets	ecEPA.mat	Min	D-glucose				epa
Ergosterol	ergosterol_targets	ecErgosterol.mat	Min	D-glucose				ergosterol
Ethylene	ethylene_targets	ecEthylene.mat	Min	D-glucose				ethylene
Farnesene	farnesene_targets	ecFarnesene.mat	Min	D-glucose	YML075C,YJL167W,YDL215C	YHR190W	YDR503C,YDR284C,YOR375C	farnesene
FFA	ffas_targets	ecFFAs.mat	Min	D-glucose			YGL205W,YOR317W,YMR246W,YMR110C,YDL078C	ffas
Fumaric acid	fumaric_acid_targets	ecFumaric_acid.mat	Min	D-glucose	YBR218C			fumaric_acid
Genistein	genistein_targets	ecGenistein.mat	YEP	D-glucose				genistein
Geraniol	geraniol_targets	ecGeraniol.mat	YEP	D-glucose	YML075C,YPL117C,YJL167W			geraniol
Glucagon	glucagon_targets	ecGlucagon.mat	YEP	D-glucose				glucagon
Glutamate	glutamate_targets	ecGlutamate.mat	Min	D-glucose				glutamate
Glutamine	glutamine_targets	ecglutamine.mat	Min	D-glucose				glutamine
Glutathione	glutathione_targets	ecGlutathione.mat	YEP	D-glucose	YJL101C,YDR300C			glutathione
Glycerol	glycerol_targets	ecGlycerol.mat	Min	D-glucose				glycerol
Glycine	glycine_targets	ecGlycine.mat	Min	D-glucose				glycine
Glycolate	glycolate_targets	ecGlycolate.mat	Min	D-glucose				glycolate
Glycyrrhetinic acid	glycyrrhetinic_acid_targets	ecGlycyrrhetinic_acid.mat	YEP	D-glucose				glycyrrhetinic_acid
Guanine	guanine_targets	ecGuanine.mat	Min	D-glucose				guanine
Hemoglobin	hemoglobin_targets	ecHemoglobin.mat	Min	D-glucose	YDL205C			hemoglobin
Hexanoate	hexanoate_targets	ecHexanoate.mat	Min	D-glucose				hexanoate
Histidine	histidine_targets	ecHistidine.mat	Min	D-glucose				histidine
Homoserine	homoserine_targets	ecHomoserine.mat	Min	D-glucose				homoserine
Human Serum Albumin (HSA)	hsa_targets	ecHSA.mat	Min	D-glucose				hsa
Hypoxanthine	hypoxanthine_targets	ecHypoxanthine.mat	Min	D-glucose				hypoxanthine
Isobutanol	isobutanol_targets	ecIsobutanol.mat	YEP	D-glucose	YMR108W,YJR016C,YLR355C,YDR380W,YMR303C,YNL104C		YPL061W,YHR208W	isobutanol
Isoleucine	isoleucine_targets	ecIsoleucine.mat	Min	D-glucose				isoleucine
Itaconic acid	itaconic_acid_targets	ecItaconic_acid.mat	YEP	D-glucose			YJR078W,YJR019C	itaconic_acid
Kaempferol	kaempferol_targets	ecKaempferol.mat	YEP	D-glucose				kaempferol
L-phenylacetylcarbinol	l_pac_targets	ecL_PAC.mat	YEP	D-glucose				l_pac
lactase	lactase_targets	ecLactase.mat	YEP	D-glucose				lactase
Lactic acid	lactate_targets	ecLactate.mat	YEP	D-glucose			YDL022W,YML054C,YLR044C,YOL086C,YPL061W	lactate
Laurate	laurate_targets	ecLaurate.mat	Min	D-glucose				laurate
Leucine	leucine_targets	ecLeucine.mat	Min	D-glucose				leucine
Limonene	limonene_targets	ecLimonene.mat	Min	D-glucose	YJL167W			limonene
Linalool	linalool_targets	ecLinalool.mat	Min	D-glucose	YJL167W			linalool
Lupeol	lupeol_targets	ecLupeol.mat	Min	D-glucose	YML075C,YML126C	YHR072W		lupeol
Lysine	lysine_targets	ecLysine.mat	Min	D-glucose				lysine
Malate	malate_targets	ecMalate.mat	Min	D-glucose	YBR218C,YOL126C		YLR044C,YLR134W,YGR087C,YDL078C	malate
mandelic	mandelic_acid_targets	ecmandelic_acid.mat	Min	D-glucose	YDR127W		YBR166C,YER090W,YDR380W,YLR134W,YGL202W,YBR249C	mandelic_acid
Methionine	methionine_targets	ecMethionine.mat	Min	D-glucose				methionine
Miltiradiene	miltiradiene_targets	ecMiltiradiene.mat	YEP	D-glucose	YPL069C,YJL167W,YML075C			miltiradiene
Naringenin	naringenin_targets	ecNaringenin.mat	Min	D-glucose			YDR035W,YBR249C,YDR380W,YLR134W,YGR087C	naringenin
n-butanol	n-butanol_targets	ecn-Butanol.mat	YEP	D-glucose	YCL017C,YHR002W		YOL086C	n_butanol
Nicotianamine	nicotianamine_targets	ecNicotianamine.mat	YEP	D-glucose			YGL125W	nicotianamine
Oleanolic acid	oleanolate_targets	ecOleanolate.mat	YEP	D-glucose	YML075C,YGR175C,YHR190W		YBR020W	oleanolate
Oleate	oleate_targets	ecOleate.mat	Min	D-glucose				oleate
L-ornithine 	ornithine_targets	ecOrnithine.mat	Min	D-glucose	YOR130C,YPR021C,YOR375C	YJL088W	YLR438W	ornithine
