Row	s_4207	Growth	mutant yield(u=0.05)	FC(0.05/0.1)
YDR050C	1.280206381	1	1.62862609	1.593726233
YJL052W	1.470648835	1	1.590232321	1.556155205
YBR196C	1.458614073	1	1.579745386	1.545892995
YCR012W	1.171258802	1	1.366617188	1.337331924
YDL171C	1.018544872	1	1.174004169	1.148846414
YLR174W	1.004689208	1	1.169447621	1.144387508
YML042W	1.012407782	1	1.169145779	1.144092134
YKL029C	1.003041868	1	1.168800418	1.143754173
YPL087W	1.004223446	1	1.168695796	1.143651793
YAL062W	0.999999821	1	1.168695774	1.143651772
YBL013W	0.999998488	1	1.168695773	1.143651771
YNR057C	0.999998347	1	1.168695748	1.143651747
YGR260W	0.999999963	1	1.168695746	1.143651745
YEL046C	0.999999963	1	1.168695703	1.143651702
YPL244C	1	1	1.168693557	1.143649602
YDL174C	0.999999963	1	1.168693557	1.143649602
YOR108W	1.000176923	1	1.168693252	1.143649304
YPR002W	0.999998922	1	1.168692386	1.143648457
YJL101C	0.999998451	1	1.168692386	1.143648457
YOL049W	0.999998451	1	1.168692386	1.143648457
YHR128W	0.999998347	1	1.168692386	1.143648457
YDR001C	0.999999963	1	1.168692386	1.143648457
YPL111W	0.999998775	1	1.168692386	1.143648457
YML022W	0.999998451	1	1.168692386	1.143648457
YLR109W	0.999998451	1	1.168692386	1.143648457
YDR178W	0.999999963	1	1.168692386	1.143648457
YBR003W	1.000000433	1	1.168692386	1.143648457
YNR041C	1.000000433	1	1.168692386	1.143648457
YDR538W	1.000000433	1	1.168692385	1.143648455
YDR539W	1.000000433	1	1.168692385	1.143648455
YCR005C	0.999999963	1	1.168692385	1.143648455
YER152C	1.004293812	1	1.168692382	1.143648453
YNL117W	0.999998347	1	1.168692373	1.143648444
YKL220C	0.999999773	1	1.168692373	1.143648444
YJR149W	0.99999831	1	1.16869237	1.143648441
YMR165C	0.999998451	1	1.16869237	1.143648441
YOR251C	0.999999827	1	1.168692362	1.143648433
YOR286W	0.999999827	1	1.168692362	1.143648433
YLR342W	0.999999859	1	1.168692362	1.143648433
YJR131W	0.999999773	1	1.168692362	1.143648433
YMR246W	0.999998915	1	1.168692362	1.143648433
YOR347C	0.999998458	1	1.168692362	1.143648433
YOR285W	0.999998347	1	1.168692362	1.143648433
YPL188W	1.000000433	1	1.168692362	1.143648433
YGR036C	0.999999975	1	1.168692362	1.143648433
YLR239C	0.999999963	1	1.168692362	1.143648433
YDL120W	0.999998451	1	1.168692362	1.143648433
YDL236W	0.999998451	1	1.168692362	1.143648433
YPL057C	0.999998347	1	1.168692362	1.143648433
YGR012W	0.999998451	1	1.168692362	1.143648433
YPR140W	0.99999831	1	1.168692362	1.143648433
YGR010W	1.000000391	1	1.168692362	1.143648433
YLR328W	0.999999963	1	1.168692362	1.143648433
