gene_IDs	gene_names	K_score
YAL038W	CDC19	1000
YAR035W	YAT1	1000
YCL009C	ILV6	1000
YCL018W	LEU2	1000
YCL064C	CHA1	1000
YDL080C	THI3	1000
YDL215C	GDH2	1000
YDR353W	TRR1	1000
YER024W	YAT2	1000
YER037W	PHM8	1000
YER056C	FCY2	1000
YER060W	FCY21	1000
YER060W-A	FCY22	1000
YGL009C	LEU1	1000
YGL186C	TPN1	1000
YGR248W	SOL4	1000
YGR256W	GND2	1000
YHR163W	SOL3	1000
YHR183W	GND1	1000
YJR016C	ILV3	1000
YJR148W	BAT2	1000
YLR209C	PNP1	1000
YLR355C	ILV5	1000
YML042W	CAT2	1000
YMR108W	ILV2	1000
YMR278W	PRM15	1000
YNL104C	LEU4	1000
YNL241C	ZWF1	1000
YOL126C	MDH2	1000
YOR100C	CRC1	1000
YOR108W	LEU9	1000
YOR347C	PYK2	1000
YLR348C	DIC1	515.767197350181
YLR043C	TRX1	500.580431299208
YGL080W	MPC1	20.3458506353521
YGR243W	MPC3	20.3458506353521
YHR162W	MPC2	20.3458506353521
YHR216W	IMD2	12.1540843170386
YLR432W	IMD3	12.1540843170386
YML056C	IMD4	12.1540843170386
YMR217W	GUA1	12.1540843170386
YBR221C	PDB1	7.11964049300257
YER178W	PDA1	7.11964049300257
YGR193C	PDX1	7.11964049300257
YNL071W	LAT1	7.11964049300257
YAR015W	ADE1	6.14017357013097
YDR408C	ADE8	6.14017357013097
YGL234W	ADE5,7	6.14017357013097
YGR061C	ADE6	6.14017357013097
YLR028C	ADE16	6.14017357013097
YMR120C	ADE17	6.14017357013097
YMR300C	ADE4	6.14017357013097
YOR128C	ADE2	6.14017357013097
YBL068W	PRS4	3.06731097238293
YER099C	PRS2	3.06731097238293
YHL011C	PRS3	3.06731097238293
YKL181W	PRS1	3.06731097238293
YOL061W	PRS5	3.06731097238293
YBR296C	PHO89	2.47691432212184
YCR037C	PHO87	2.47691432212184
YJL198W	PHO90	2.47691432212184
YML123C	PHO84	2.47691432212184
YNR013C	PHO91	2.47691432212184
YPR035W	GLN1	1.9451398023339
YEL046C	GLY1	1.86733167078364
YER065C	ICL1	1.79490118743269
YFL030W	AGX1	1.79490118743269
YJR051W	OSM1	1.63999516966036
YEL047C	FRD1	1.63919281578996
YHR037W	PUT2	1.63919281578996
YLR089C	ALT1	1.63919281578996
YLR142W	PUT1	1.63919281578996
YBR208C	DUR1,2	1.6255367152271
YER023W	PRO3	1.6255367152271
YLR438W	CAR2	1.6255367152271
YPL111W	CAR1	1.6255367152271
YNL036W	NCE103	1.57626186464335
YCR012W	PGK1	1.5425466474573
YGR192C	TDH3	1.5425466474573
YJR009C	TDH2	1.5425466474573
YJL052W	TDH1	1.5425466474573
YJR109C	CPA2	1.51539505532571
YOR303W	CPA1	1.51539505532571
YDR050C	TPI1	1.51133597052283
YGR240C	PFK1	1.48725317332025
YKL060C	FBA1	1.48725317332025
YMR205C	PFK2	1.48725317332025
YLR354C	TAL1	1.40386981192665
YGR043C	NQM1	1.40386981192665
YDR384C	ATO3	1.3152038050209
YGR121C	MEP1	1.3152038050209
YNL142W	MEP2	1.3152038050209
YPR138C	MEP3	1.3152038050209
YCL050C	APA1	1.16086259841705
YKL001C	MET14	1.16086259841705
YOL064C	MET22	1.16086259841705
YPL092W	SSU1	1.16086259841705
YPR167C	MET16	1.16086259841705
YKL069W	YKL069W	1.1311115062657
YAL012W	CYS3	1.11320636481612
YGL184C	STR3	1.11320636481612
YFR055W	IRC7	1.11320636481612
YJR130C	STR2	1.11320636444143
YBR029C	CDS1	0.141251680195334
YNL169C	PSD1	0.141099721891009
YER026C	CHO1	0.139151750603934
YOR175C	ALE1	0.135786010339381
YDL052C	SLC1	0.120989493410944
YAL044C	GCV3	0.107905744883886
YDR019C	GCV1	0.107905744883886
YMR189W	GCV2	0.107905744883886
YBR291C	CTP1	0.103080635124419
YMR241W	YHM2	0.103080635124419
YLR058C	SHM2	0.0712916763889587
YDR148C	KGD2	0.0434624999981305
YIL125W	KGD1	0.0434624999981305
YOR388C	FDH1	0.00446616440254566
YAL062W	GDH3	0
YER081W	SER3	0
YGR208W	SER2	0
YHR002W	LEU5	0
YIL074C	SER33	0
YJR095W	SFC1	0
YKL085W	MDH1	0
YKL106W	AAT1	0
YKR097W	PCK1	0
YMR267W	PPA2	0
YNL037C	IDH1	0
YOR136W	IDH2	0
YOR184W	SER1	0
YOR375C	GDH1	0
YPR021C	AGC1	0
