gene_IDs	gene_names	K_score
fdyG	fdyG	1000
YPR074C	TKL1	30.181342431596
YBR296C	PHO89	23.7021174950033
YCR037C	PHO87	23.7021174950033
YJL198W	PHO90	23.7021174950033
YML123C	PHO84	23.7021174950033
YNR013C	PHO91	23.7021174950033
YJL121C	RPE1	13.3479738535016
bcere0029_32090	bcere0029_32090	12.0563608428551
A7U8C7	A7U8C7	12.0563608428551
YHR163W	SOL3	7.54082734473731
YHR183W	GND1	7.54082734473731
YNL241C	ZWF1	7.54082734473731
YLR027C	AAT2	5.45817225848691
YOR095C	RKI1	4.13988997427039
YGL062W	PYC1	3.88038584084785
YNL036W	NCE103	2.96498137576557
YAL038W	CDC19	2.03456383209816
YGR254W	ENO1	1.90833029408749
YOR283W	YOR283W	1.90833029408749
YCR012W	PGK1	1.08178593912901
YJL052W	TDH1	1.08178593912901
YDR516C	EMI2	1.05739220249948
YOR222W	ODC2	0.293751533006
YPL134C	ODC1	0.293751533006
YER069W	ARG5,6	0.291945247442147
YOL140W	ARG8	0.291945247442147
YOR130C	ORT1	0.291945247442147
YMR062C	ARG7	0.291945247442147
YLR438W	CAR2	0.28994039536122
YMR246W	FAA4	0.287540810214532
YOR317W	FAA1	0.287540810214532
YBL039C	URA7	0.276354137706574
YJR103W	URA8	0.276354137706574
YBR029C	CDS1	0.275753323258886
YOR175C	ALE1	0.261421264322921
YER070W	RNR1	0.245693275580923
YIL066C	RNR3	0.245693275580923
YJL026W	RNR2	0.245693275580923
YGR180C	RNR4	0.238167140815782
YDL066W	IDP1	0.236189137689945
YDL052C	SLC1	0.232638258405811
YDR503C	LPP1	0.207961799879128
YGL080W	MPC1	0.207859464921104
YGR243W	MPC3	0.207859464921104
YHR162W	MPC2	0.207859464921104
YAL062W	GDH3	0.202598137161507
YOR375C	GDH1	0.202598137161507
YBR221C	PDB1	0.187598472972032
YER178W	PDA1	0.187598472972032
YGR193C	PDX1	0.187598472972032
YNL071W	LAT1	0.187598472972032
YHR002W	LEU5	0.174921902142705
YML120C	NDI1	0.167884673918965
YFL018C	LPD1	0.147000735511876
YER081W	SER3	0.146520738137535
YGR208W	SER2	0.146520738137535
YIL074C	SER33	0.146520738137535
YOR184W	SER1	0.146520738137535
YLR058C	SHM2	0.135641511337756
YDR148C	KGD2	0.132299999999267
YIL125W	KGD1	0.132299999999267
YAL044C	GCV3	0.131469797622807
YDR019C	GCV1	0.131469797622807
YMR189W	GCV2	0.131469791074402
YOR388C	FDH1	0.130922945123091
YBR263W	SHM1	0.130639593572756
YMR267W	PPA2	0.0597868893417833
YCL040W	GLK1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YLR446W	YLR446W	0
