gene_IDs	gene_names	K_score
YDR300C	PRO1	1000
YOR323C	PRO2	1000
MCRca	MCRca	1000
YBR117C	TKL2	47.2783799358508
YPR074C	TKL1	39.9507103302123
YDL141W	BPL1	12.2327081563059
YNR016C	ACC1	12.2327081541427
YAL054C	ACS1	10.7833486546559
YGR087C	PDC6	10.7833486546559
YLR044C	PDC1	10.7833486546559
YLR134W	PDC5	10.7833486546559
YLR153C	ACS2	10.7833486546559
YPL061W	ALD6	10.7833486546559
YJL121C	RPE1	10.6400319076584
YGR248W	SOL4	5.82202671505486
YGR256W	GND2	5.82202671505486
YHR163W	SOL3	5.82202671505486
YHR183W	GND1	5.82202671505486
YNL241C	ZWF1	5.82202671505486
YNL036W	NCE103	3.36076021413437
YOR095C	RKI1	3.164642678199
YDR226W	ADK1	2.09855417187931
YAL038W	CDC19	1.82712450837546
YOR347C	PYK2	1.82712450837546
YGR254W	ENO1	1.71593537195105
YHR174W	ENO2	1.71593537195105
YKL152C	GPM1	1.71593537195105
YMR323W	ERR3	1.71593537195105
YOR393W	ERR1	1.71593537195105
YPL281C	ERR2	1.71593537195105
YOR283W	YOR283W	1.71593537195105
YMR267W	PPA2	1.42416561498382
YCR012W	PGK1	1.12239422886787
YGR192C	TDH3	1.12239422886787
YJL052W	TDH1	1.12239422886787
YJR009C	TDH2	1.12239422886787
YDR050C	TPI1	1.01532807089214
YDR516C	EMI2	1.00062263963008
YOR222W	ODC2	0.293659288690627
YPL134C	ODC1	0.293659288690627
YBR218C	PYC2	0.293595735286908
YGL062W	PYC1	0.293595735286908
YKL067W	YNK1	0.293491461298706
YOL126C	MDH2	0.293086415244622
YPR021C	AGC1	0.291999950776946
YKL029C	MAE1	0.291189317051328
YER069W	ARG5,6	0.291186778815388
YMR062C	ARG7	0.291186778815388
YOL140W	ARG8	0.291186778815388
YOR130C	ORT1	0.291186778815388
YLR438W	CAR2	0.288441877817687
YBR029C	CDS1	0.279258015874425
YOR175C	ALE1	0.266628921705321
YDL052C	SLC1	0.242456137060881
YCR048W	ARE1	0.22000355869291
YDR503C	LPP1	0.207961800384867
YNR019W	ARE2	0.207585615886628
YOR245C	DGA1	0.164378423829942
YCL040W	GLK1	0.0685767350466726
YGL253W	HXK2	0.0685767350466726
YLR446W	YLR446W	0.0685767350466726
YFR053C	HXK1	0.0685767350466713
