gene_IDs	gene_names	K_score
YBR166C	TYR1	1000
YBR208C	DUR1,2	1000
YDR035W	ARO3	1000
YDR127W	ARO1	1000
YDR148C	KGD2	1000
YEL046C	GLY1	1000
YEL047C	FRD1	1000
YER065C	ICL1	1000
YFL030W	AGX1	1000
YGL148W	ARO2	1000
YGR244C	LSC2	1000
YHR037W	PUT2	1000
YIL125W	KGD1	1000
YLR142W	PUT1	1000
YLR438W	CAR2	1000
YOR142W	LSC1	1000
YPL111W	CAR1	1000
YPR060C	ARO7	1000
YJR109C	CPA2	11.623169509659
YOR303W	CPA1	11.623169509659
YOR095C	RKI1	10.4413222925856
YJL121C	RPE1	10.2901112908692
YJR051W	OSM1	10.0856677266319
YBR296C	PHO89	6.53143005629705
YCR037C	PHO87	6.53143005629705
YJL198W	PHO90	6.53143005629705
YML123C	PHO84	6.53143005629705
YNR013C	PHO91	6.53143005629705
YKL069W	YKL069W	4.47094579433521
YPR035W	GLN1	4.42890448328923
YLR155C	ASP3-1	3.14389657142609
YLR157C	ASP3-2	3.14389657142609
YLR158C	ASP3-3	3.14389657142609
YLR160C	ASP3-4	3.14389657142609
YER023W	PRO3	2.97346130730164
YKL029C	MAE1	2.93036957740704
YMR241W	YHM2	2.24951640533772
YGR254W	ENO1	1.85518581284191
YHR174W	ENO2	1.85518581284191
YKL152C	GPM1	1.85518581284191
YMR323W	ERR3	1.85518581284191
YOR393W	ERR1	1.85518581284191
YPL281C	ERR2	1.85518581284191
YOR283W	YOR283W	1.85518581284191
YBR196C	PGI1	1.15584627765175
YDR050C	TPI1	1.05831623737873
YGR240C	PFK1	1.05037185821058
YKL060C	FBA1	1.05037185821058
YMR205C	PFK2	1.05037185821058
YDR516C	EMI2	1.00038358837564
YKL067W	YNK1	0.293789662485289
YPL061W	ALD6	0.290923854188975
YMR267W	PPA2	0.28265473986719
YGR180C	RNR4	0.279761278337477
YER070W	RNR1	0.276889933913819
YIL066C	RNR3	0.276889933913819
YJL026W	RNR2	0.276889933913819
YER081W	SER3	0.271792317743674
YGR208W	SER2	0.271792317743674
YIL074C	SER33	0.271792317743674
YOR184W	SER1	0.271792317743674
YCR048W	ARE1	0.235370264244893
YDR503C	LPP1	0.225829196244074
YNR019W	ARE2	0.225531132780564
YPL028W	ERG10	0.19599639739131
YOR245C	DGA1	0.191296699170846
YAL062W	GDH3	0.170115118942338
YOR375C	GDH1	0.170115118942338
YLR044C	PDC1	0.132978370833015
YGR087C	PDC6	0.11478626897853
YDR353W	TRR1	0.0593464141970439
YDR384C	ATO3	0.0554529847510997
YGR121C	MEP1	0.0554529847510997
YNL142W	MEP2	0.0554529847510997
YPR138C	MEP3	0.0554529847510997
YGL080W	MPC1	0.0259738760458757
YGR243W	MPC3	0.0259738760458757
YHR162W	MPC2	0.0259738760458757
YOR347C	PYK2	0.0180338032802709
YAL038W	CDC19	0.0180338032802709
YNL104C	LEU4	0.0016611569005539
YCL018W	LEU2	0.0016611569005539
YGL009C	LEU1	0.0016611569005539
YBR115C	LYS2	0
YBR218C	PYC2	0
YCL009C	ILV6	0
YCR053W	THR4	0
YDL066W	IDP1	0
YDL131W	LYS21	0
YDR158W	HOM2	0
YDR234W	LYS4	0
YDR300C	PRO1	0
YER052C	HOM3	0
YER069W	ARG5,6	0
YER152C	YER152C	0
YGL062W	PYC1	0
YGL154C	LYS5	0
YHR018C	ARG4	0
YHR025W	THR1	0
YIL094C	LYS12	0
YIR034C	LYS1	0
YJL060W	BNA3	0
YJL088W	ARG3	0
YJR016C	ILV3	0
YJR139C	HOM6	0
YLR355C	ILV5	0
YMR062C	ARG7	0
YMR108W	ILV2	0
YNR050C	LYS9	0
YOL058W	ARG1	0
YOL140W	ARG8	0
YOR130C	ORT1	0
YOR323C	PRO2	0
YJL200C	ACO2	0
