chemical	family	ratio_OEs	ratio_ECC
1	(s)-reticuline	NA	0.4	0.666666666666667
2	2-phenylethanol	alcohol	0.25	0.4
3	2_fucosyllactose	NA	1	0.5
4	3-methylbutanol	NA	0.6	0.157894736842105
5	3hp-asp	NA	0.857142857142857	0.333333333333333
6	3hp-malcoa	NA	0.888888888888889	0.421052631578947
7	4-hydroxymandelic_acid	NA	0.833333333333333	0.384615384615385
8	_octanoic_acid	NA	0.5	0.107142857142857
9	acetaldehyde	other	0.75	0.115384615384615
10	acetate	organic acid	1	0.111111111111111
11	acetate	terpene	1	0.111111111111111
12	adipic_acid	NA	0.166666666666667	0.333333333333333
13	alanine	amino acid	0.5	0.0909090909090909
14	alanine	amino acid	0.5	0.0909090909090909
15	alpha_amylase	NA	0.487179487179487	0.542857142857143
16	amorphadiene	terpene	0.8	0.5
17	ara	amino acid	1	0.666666666666667
18	ara	organic acid	1	0.666666666666667
19	ara	organic acid	1	0.666666666666667
20	ara	fatty acids and lipids	1	0.666666666666667
21	arginine	amino acid	0.5	0.333333333333333
22	artemisinic_acid	NA	0.428571428571429	0.857142857142857
23	asparagine	amino acid	1	0.3125
24	aspartate	amino acid	1	0.375
25	astaxanthin	terpene	0.75	0.75
26	beta_amyrin	NA	0.461538461538462	0.75
27	beta_carotene	NA	0.5	0.5
28	beta_ionone	NA	0.666666666666667	0.666666666666667
29	betaxanthin	terpene	0	0
30	caffeic_acid	NA	1	0.5
31	catechin	flavonoid	0.333333333333333	0.5
32	choline	alkaloid	0.5	0.428571428571429
33	cinnamate	aromatic	0.833333333333333	0.333333333333333
34	cinnamoyltropine	alkaloid	1	0.6
35	cis_muconate	NA	0	0
36	citrate	organic acid	1	0.178571428571429
37	citrulline	amino acid	0.384615384615385	0.3125
38	coumaric_acid	NA	0.4	0.5
39	cysteine	amino acid	0.714285714285714	0.454545454545455
40	dha	fatty acids and lipids	1	0.714285714285714
41	docosanol	alcohol	1	0.5
42	epa	fatty acids and lipids	1	0.714285714285714
43	ergosterol	other	0.434782608695652	0.833333333333333
44	ergothioneine	amino acid	1	0.333333333333333
45	ethylene	other	0.181818181818182	0.222222222222222
46	farnesene	terpene	0.4	0.666666666666667
47	ffas	NA	0.846153846153846	0.6875
48	fumaric_acid	NA	0.666666666666667	0.166666666666667
49	genistein	flavonoid	0.666666666666667	0.666666666666667
50	geraniol	terpene	0.333333333333333	0.333333333333333
51	glucagon	protein	0.5	0.583333333333333
52	glutamate	amino acid	1	0.266666666666667
53	glutamine	amino acid	1	0.266666666666667
54	glutathione	amino acid	0.470588235294118	0.275862068965517
55	glycerol	alcohol	0.666666666666667	0.2
56	glycerol	fatty acids and lipids	0.666666666666667	0.2
57	glycine	amino acid	0.6	0.272727272727273
58	glycolate	organic acid	0.857142857142857	0.260869565217391
59	glycyrrhetinic_acid	terpene	1	0.666666666666667
60	guanine	nucleic acid	0.272727272727273	0.375
61	hemoglobin	protein	0.380952380952381	0.888888888888889
62	hexanoate	organic acid	0.4	0.333333333333333
63	histidine	amino acid	0.777777777777778	0.411764705882353
64	homoserine	amino acid	0.888888888888889	0.421052631578947
65	hsa	NA	0.375	0.342857142857143
66	hypoxanthine	alkaloid	0.2	0.5
67	isobutanol	alcohol	0	NaN
68	isoleucine	amino acid	1	0.388888888888889
69	itaconic_acid	NA	0.25	0.666666666666667
70	kaempferol	flavonoid	0.666666666666667	0.666666666666667
71	l_pac	NA	NaN	NaN
72	lactase	protein	0.475	0.527777777777778
73	lactate	organic acid	0.75	0.272727272727273
74	laurate	fatty acids and lipids	0.6	0.642857142857143
75	leucine	amino acid	0.444444444444444	0.210526315789474
76	leucine	amino acid	0.444444444444444	0.210526315789474
77	limonene	terpene	0.333333333333333	0.5
78	linalool	terpene	0.230769230769231	0.6
79	lupeol	terpene	1	0.5
80	lycopene	terpene	1	0.666666666666667
81	lysine	amino acid	0.538461538461538	0.4375
82	malate	organic acid	0	0
83	mandelic_acid	NA	0.666666666666667	0.333333333333333
84	methionine	amino acid	0.5	0.375
85	methionine	other	0.5	0.375
86	miltiradiene	terpene	1	0.666666666666667
87	n-butanol	alcohol	0.823529411764706	0.451612903225806
88	naringenin	flavonoid	0.666666666666667	0.666666666666667
89	nicotianamine	amino acid	0.5	0.333333333333333
90	nootkatone	terpene	0.25	0.333333333333333
91	oleanolate	NA	0.5	0.5
92	oleate	fatty acids and lipids	0.666666666666667	0.333333333333333
93	oleate	fatty acids and lipids	0.666666666666667	0.333333333333333
94	ornithine	amino acid	0.307692307692308	0.571428571428571
95	oxoglutarate	organic acid	1	0.275862068965517
96	palmitoleate	fatty acids and lipids	0.666666666666667	0.333333333333333
97	patchoulol	terpene	1	0.5
