gene_IDs	gene_names	K_score
YAR035W	YAT1	1000
YBL015W	ACH1	1000
YCL064C	CHA1	1000
YCR010C	ADY2	1000
YEL046C	GLY1	1000
YER024W	YAT2	1000
YER073W	ALD5	1000
YER170W	ADK2	1000
YIL099W	SGA1	1000
YLR138W	NHA1	1000
YML042W	CAT2	1000
YMR170C	ALD2	1000
YOR100C	CRC1	1000
YOR108W	LEU9	1000
YOR374W	ALD4	1000
YMR110C	HFD1	1000
YBR241C	YBR241C	1000
YGL104C	VPS73	1000
YDR456W	NHX1	1000
YDR038C	ENA5	1000
YDR039C	ENA2	1000
YDR040C	ENA1	1000
YBR296C	PHO89	36.250740775118
YCR037C	PHO87	36.250740775118
YJL198W	PHO90	36.250740775118
YML123C	PHO84	36.250740775118
YNR013C	PHO91	36.250740775118
YCR053W	THR4	16.5109077951971
YDR158W	HOM2	16.5109077951971
YER052C	HOM3	16.5109077951971
YHR025W	THR1	16.5109077951971
YJR139C	HOM6	16.5109077951971
YPL061W	ALD6	15.5089843703582
YGR087C	PDC6	13.6086168463144
YLR044C	PDC1	13.6086168463144
YLR134W	PDC5	13.6086168463144
YFR015C	GSY1	8.58270468468023
YJL137C	GLG2	8.58270468468023
YKR058W	GLG1	8.58270468468023
YLR258W	GSY2	8.58270468468023
YLR027C	AAT2	5.78670343991683
YBR218C	PYC2	3.34428620805614
YGL062W	PYC1	3.34428620805613
YAL038W	CDC19	2.61215020613015
YOR347C	PYK2	2.61215020613015
YOR283W	YOR283W	2.43376557373569
YGR254W	ENO1	2.43376557373569
YHR174W	ENO2	2.43376557373569
YKL152C	GPM1	2.43376557373569
YMR323W	ERR3	2.43376557373569
YOR393W	ERR1	2.43376557373569
YPL281C	ERR2	2.43376557373569
YNL036W	NCE103	2.29138975511852
YKL035W	UGP1	2.18600878142786
YKL127W	PGM1	2.18600878142786
YMR105C	PGM2	2.18600878142786
YHL012W	YHL012W	2.18600878142786
YLR354C	TAL1	1.3420103354901
YGR043C	NQM1	1.3420103354901
YDR050C	TPI1	1.2957258983079
YGR240C	PFK1	1.28729501980314
YKL060C	FBA1	1.28729501980314
YMR205C	PFK2	1.28729501980314
YCR012W	PGK1	1.28461623129892
YGR192C	TDH3	1.28461623129892
YJL052W	TDH1	1.28461623129892
YJR009C	TDH2	1.28461623129892
YBR196C	PGI1	1.2628699037166
YDR516C	EMI2	1.24691858750681
YDR454C	GUK1	0.151891028436905
YER141W	COX15	0.145891666666667
YBR029C	CDS1	0.14019482764249
YBL039C	URA7	0.133931198022575
YJR103W	URA8	0.133931198022575
YOR175C	ALE1	0.131380461558146
YDL052C	SLC1	0.112714006831999
YDR503C	LPP1	0.107871342067715
YER070W	RNR1	0.099965314975542
YIL066C	RNR3	0.099965314975542
YJL026W	RNR2	0.099965314975542
YFL018C	LPD1	0.0953982039809869
YGR180C	RNR4	0.0922238728133466
YMR246W	FAA4	0.090189899701454
YOR317W	FAA1	0.090189899701454
YOR095C	RKI1	0.0733092511091298
YGL080W	MPC1	0.0116761917890739
YGR243W	MPC3	0.0116761917890739
YHR162W	MPC2	0.0116761917890739
YLR058C	SHM2	0.00435540048138093
YBR221C	PDB1	0
YCL040W	GLK1	0
YDL066W	IDP1	0
YDR148C	KGD2	0
YER081W	SER3	0
YER178W	PDA1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR193C	PDX1	0
YGR208W	SER2	0
YGR248W	SOL4	0
YGR256W	GND2	0
YHR002W	LEU5	0
YHR163W	SOL3	0
YHR183W	GND1	0
YIL074C	SER33	0
YIL125W	KGD1	0
YMR267W	PPA2	0
YNL071W	LAT1	0
YNL241C	ZWF1	0
YOR184W	SER1	0
YOR388C	FDH1	0
YLR446W	YLR446W	0
