gene_IDs	gene_names	K_score
YMR241W	YHM2	1000
YJR069C	HAM1	1000
Pa_5_5120	Pa_5_5120	1000
ECL_01944	ECL_01944	1000
HQD2	HQD2	1000
ERBC	ERBC	1000
YBR249C	ARO4	20.0961432965076
YPR021C	AGC1	5.90694776205807
YOR095C	RKI1	3.38852503177872
YBR196C	PGI1	1.23579911665922
YGR254W	ENO1	1.01209160507006
YOR283W	YOR283W	1.01209160507006
YDR516C	EMI2	1.00036896843388
YBL039C	URA7	0.289585321143478
YJR103W	URA8	0.289585321143478
YER070W	RNR1	0.281914522318346
YIL066C	RNR3	0.281914522318346
YJL026W	RNR2	0.281914522318346
YGR180C	RNR4	0.280031618130015
YNL036W	NCE103	0.26566345436584
YOR222W	ODC2	0.258481153498435
YPL134C	ODC1	0.258481153498435
YGL062W	PYC1	0.251714373166693
YBR218C	PYC2	0.251714373166693
YHR144C	DCD1	0.233572611591741
YCR048W	ARE1	0.220003558400953
YLR304C	ACO1	0.217825122657961
YDR503C	LPP1	0.207961800036616
YNR019W	ARE2	0.207585615548241
YOL126C	MDH2	0.198439681592661
YOR245C	DGA1	0.164378423322362
YGR248W	SOL4	0.0241413672119382
YGR256W	GND2	0.0241413672119382
YNL241C	ZWF1	0.0241413672119382
YHR163W	SOL3	0.0241413672119382
YHR183W	GND1	0.0241413672119382
YBR117C	TKL2	0
YKL029C	MAE1	0
