gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR068C	BAP2	1000
YBR252W	DUT1	1000
YCL025C	AGP1	1000
YDL171C	GLT1	1000
YDR046C	BAP3	1000
YER170W	ADK2	1000
YKR039W	GAP1	1000
YOL020W	TAT2	1000
YOR348C	PUT4	1000
YPL265W	DIP5	1000
YJR069C	HAM1	1000
YKL060C	FBA1	667.039586347417
YGR240C	PFK1	500.559379521126
YMR205C	PFK2	400.671264357568
YBR117C	TKL2	34.1685840559819
YHR137W	ARO9	33.6470202973568
YPR074C	TKL1	28.8635590296845
YPR035W	GLN1	12.8782857974231
YJL121C	RPE1	7.64345892449496
YGR248W	SOL4	4.15504193908361
YGR256W	GND2	4.15504193908361
YHR163W	SOL3	4.15504193908361
YHR183W	GND1	4.15504193908361
YNL241C	ZWF1	4.15504193908361
YDR384C	ATO3	2.97079009453438
YGR121C	MEP1	2.97079009453438
YNL142W	MEP2	2.97079009453438
YPR138C	MEP3	2.97079009453438
YAL038W	CDC19	2.42587395053196
YOR347C	PYK2	2.42587395053196
YGR254W	ENO1	2.26099866046762
YHR174W	ENO2	2.26099866046762
YKL152C	GPM1	2.26099866046762
YMR323W	ERR3	2.26099866046762
YOR393W	ERR1	2.26099866046762
YPL281C	ERR2	2.26099866046762
YOR283W	YOR283W	2.26099866046762
YOR095C	RKI1	2.23098112205695
YCR012W	PGK1	1.20033987029639
YGR192C	TDH3	1.20033987029639
YJL052W	TDH1	1.20033987029639
YJR009C	TDH2	1.20033987029639
YDR050C	TPI1	1.12598283511621
YDR516C	EMI2	1.00066848452747
YER141W	COX15	0.145891666666667
YBL039C	URA7	0.144640320101698
YJR103W	URA8	0.144640320101698
YBR029C	CDS1	0.144398744858122
YOR175C	ALE1	0.137627104158358
YER070W	RNR1	0.129451653551826
YIL066C	RNR3	0.129451653551826
YJL026W	RNR2	0.129451653551826
YGR180C	RNR4	0.126273794722045
YDL052C	SLC1	0.124490660809728
YGL080W	MPC1	0.115161228800799
YGR243W	MPC3	0.115161228800799
YHR162W	MPC2	0.115161228800799
YCR048W	ARE1	0.114117491892254
YDR503C	LPP1	0.10787134169416
YNR019W	ARE2	0.10767621198963
YOR245C	DGA1	0.0852643179844447
YML120C	NDI1	0.0566059082329799
YFL018C	LPD1	0.0412365339629923
YER081W	SER3	0.014647989183704
YGR208W	SER2	0.014647989183704
YIL074C	SER33	0.014647989183704
YOR184W	SER1	0.014647989183704
YLR058C	SHM2	0.0046089336127532
YOR388C	FDH1	0.000260988873777867
YAL044C	GCV3	0
YBR263W	SHM1	0
YCL040W	GLK1	0
YDL066W	IDP1	0
YDR019C	GCV1	0
YDR148C	KGD2	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YIL125W	KGD1	0
YMR189W	GCV2	0
YLR446W	YLR446W	0
