gene_IDs	gene_names	K_score
YBL098W	BNA4	1000
YBR145W	ADH5	1000
YDL168W	SFA1	1000
YDR428C	BNA7	1000
YEL041W	YEF1	1000
YFR047C	BNA6	1000
YGR010W	NMA2	1000
YGR155W	CYS4	1000
YGR248W	SOL4	1000
YGR256W	GND2	1000
YHR074W	QNS1	1000
YHR163W	SOL3	1000
YHR183W	GND1	1000
YJR025C	BNA1	1000
YJR049C	UTR1	1000
YJR078W	BNA2	1000
YLR231C	BNA5	1000
YLR328W	NMA1	1000
YNL241C	ZWF1	1000
YOL086C	ADH1	1000
YDR452W	PPN1	1000
D12D	D12D	1000
D6D	D6D	1000
D6E	D6E	1000
D5D	D5D	1000
YDR380W	ARO10	92.4717113348092
YAL038W	CDC19	3.49747901402095
YGR254W	ENO1	3.49747901402095
YHR174W	ENO2	3.49747901402095
YKL152C	GPM1	3.49747901402095
YOR347C	PYK2	3.49747901402095
YMR323W	ERR3	3.49747901402095
YOR393W	ERR1	3.49747901402095
YPL281C	ERR2	3.49747901402095
YOR283W	YOR283W	3.49747901402095
YCR012W	PGK1	1.25307387654167
YGR192C	TDH3	1.25307387654167
YJL052W	TDH1	1.25307387654167
YJR009C	TDH2	1.25307387654167
YDR050C	TPI1	1.24998572044663
YMR205C	PFK2	1.23862079445426
YGR240C	PFK1	1.23862078940135
YKL060C	FBA1	1.23862078940135
YDR516C	EMI2	1.00082582453268
YER141W	COX15	0.149704166666667
YJL130C	URA2	0.138237276286283
YDL166C	FAP7	0.130004292162029
YNL036W	NCE103	0.126693354751497
YDR226W	ADK1	0.122505374576424
YJR109C	CPA2	0.115957811105981
YOR303W	CPA1	0.115957811105924
YHR002W	LEU5	0.111750151363301
YIL125W	KGD1	0.109856017136548
YDR148C	KGD2	0.1098
YDR503C	LPP1	0.107871328029676
YLL052C	AQY2	0.101564138943467
YPR192W	AQY1	0.101564138943467
YMR267W	PPA2	0.0894185660633192
YFL018C	LPD1	0.0751234361732854
YAL044C	GCV3	0.0549000000000295
YDR019C	GCV1	0.0549000000000295
YMR189W	GCV2	0.0549000000000295
YDL085W	NDE2	0.0495900523610399
YMR145C	NDE1	0.0495900523610399
YOR222W	ODC2	0.0481079098359895
YPL134C	ODC1	0.0481079098359895
YBR221C	PDB1	0.0476204637490017
YER178W	PDA1	0.0476204637490017
YGR193C	PDX1	0.0476204637490017
YNL071W	LAT1	0.0476204637490017
YLR295C	ATP14	0.0400209239128555
Q0080	ATP8	0.040020923912855
Q0085	ATP6	0.040020923912855
Q0130	OLI1	0.040020923912855
YBL099W	ATP1	0.040020923912855
YBR039W	ATP3	0.040020923912855
YDL004W	ATP16	0.040020923912855
YDR298C	ATP5	0.040020923912855
YDR322C-A	TIM11	0.040020923912855
YDR377W	ATP17	0.040020923912855
YJR121W	ATP2	0.040020923912855
YKL016C	ATP7	0.040020923912855
YML081C-A	ATP18	0.040020923912855
YPL078C	ATP4	0.040020923912855
YPL271W	ATP15	0.040020923912855
YPR020W	ATP20	0.040020923912855
YOL077W-A	ATP19	0.040020923912855
Q0045	COX1	0.0391935327216385
Q0250	COX2	0.0391935327216385
Q0275	COX3	0.0391935327216385
YDL067C	COX9	0.0391935327216385
YGL187C	COX4	0.0391935327216385
YGL191W	COX13	0.0391935327216385
YHR051W	COX6	0.0391935327216385
YIL111W	COX5B	0.0391935327216385
YLR038C	COX12	0.0391935327216385
YLR395C	COX8	0.0391935327216385
YMR256C	COX7	0.0391935327216385
Q0105	COB	0.0391880544166912
YBL045C	COR1	0.0391880535634657
YDR529C	QCR7	0.0391880535634657
YEL024W	RIP1	0.0391880535634657
YFR033C	QCR6	0.0391880535634657
YGR183C	QCR9	0.0391880535634657
YHR001W-A	QCR10	0.0391880535634657
YJL166W	QCR8	0.0391880535634657
YOR065W	CYT1	0.0391880535634657
YPR191W	QCR2	0.0391880535634657
YLR153C	ACS2	0.028871778963068
YKL069W	YKL069W	0.027262219640189
YER053C	PIC2	0.0221774954872661
YJR077C	MIR1	0.0221774954872661
YJR130C	STR2	0.013126380964064
YPR035W	GLN1	0.0109248528339621
YML120C	NDI1	0.0102158925679807
YLR058C	SHM2	0.00729426894371645
YGR204W	ADE3	0.00653355258117812
YGL080W	MPC1	0.00397372476092917
YGR243W	MPC3	0.00397372476092917
YHR162W	MPC2	0.00397372476092917
YKL085W	MDH1	6.96841744954671e-07
