gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR208C	DUR1,2	1000
YCL064C	CHA1	1000
YDL215C	GDH2	1000
YEL046C	GLY1	1000
YEL047C	FRD1	1000
YER062C	GPP2	1000
YER065C	ICL1	1000
YER170W	ADK2	1000
YFL030W	AGX1	1000
YFL053W	DAK2	1000
YGR248W	SOL4	1000
YGR256W	GND2	1000
YHR037W	PUT2	1000
YHR163W	SOL3	1000
YHR183W	GND1	1000
YIL053W	GPP1	1000
YLR142W	PUT1	1000
YLR438W	CAR2	1000
YML070W	DAK1	1000
YNL241C	ZWF1	1000
YOR120W	GCY1	1000
YPL111W	CAR1	1000
ADS	ADS	1000
CYP71AV1	CYP71AV1	1000
YML126C	ERG13	351.226068915757
YPL262W	FUM1	335.499709016547
YDL022W	GPD1	119.575248012373
YOL059W	GPD2	119.575248012373
YLR450W	HMG2	27.0388610449401
YMR208W	ERG12	27.0388610449401
YMR220W	ERG8	27.0388610449401
YNR043W	MVD1	27.0388610449401
YPL117C	IDI1	27.0388610449401
YJL167W	ERG20	27.0388610449401
YML075C	HMG1	27.0388610449401
YHR002W	LEU5	26.6393457023301
YOR303W	CPA1	16.399713120881
YJR109C	CPA2	16.3997131208748
YOR095C	RKI1	12.5708090653903
YBR221C	PDB1	11.3521630042141
YER178W	PDA1	11.3521630042141
YGR193C	PDX1	11.3521630042141
YNL071W	LAT1	11.3521630042141
YBR296C	PHO89	8.55413221993888
YCR037C	PHO87	8.55413221993888
YJL198W	PHO90	8.55413221993888
YML123C	PHO84	8.55413221993888
YNR013C	PHO91	8.55413221993888
YJR051W	OSM1	8.1602916033468
YGL080W	MPC1	7.51497780889587
YGR243W	MPC3	7.51497780889587
YHR162W	MPC2	7.51497780889587
YPR035W	GLN1	6.16521021388847
YJR095W	SFC1	5.43976888490083
YKL029C	MAE1	4.80900571646426
YKL069W	YKL069W	4.72036660487171
YER023W	PRO3	3.74272191667027
YAL038W	CDC19	3.34751510164922
YGR254W	ENO1	3.34751510164922
YHR174W	ENO2	3.34751510164922
YKL152C	GPM1	3.34751510164922
YOR347C	PYK2	3.34751510164922
YMR323W	ERR3	3.34751510164922
YOR393W	ERR1	3.34751510164922
YPL281C	ERR2	3.34751510164922
YOR283W	YOR283W	3.34751510164922
YPR021C	AGC1	2.90621434658831
YCL040W	GLK1	2.31775809235977
YGL253W	HXK2	2.31775809235977
YLR446W	YLR446W	2.31775809235977
YFR053C	HXK1	2.31775809235974
YML120C	NDI1	1.5031669238277
YCR012W	PGK1	1.19934674421137
YGR192C	TDH3	1.19934674421137
YJL052W	TDH1	1.19934674421137
YJR009C	TDH2	1.19934674421137
YNL036W	NCE103	1.16783743201465
YAL012W	CYS3	1.0435155049468
YGL184C	STR3	1.0435155049468
YFR055W	IRC7	1.0435155049468
YER141W	COX15	0.149704166666667
YBR029C	CDS1	0.146137301158251
YOR175C	ALE1	0.143045622124366
YDL052C	SLC1	0.134675875060736
YNL169C	PSD1	0.121709516457941
YER026C	CHO1	0.120791256975588
YPL061W	ALD6	0.114947690389181
YLR153C	ACS2	0.114947690389181
YDR384C	ATO3	0.0631005910213798
YGR121C	MEP1	0.0631005910213798
YNL142W	MEP2	0.0631005910213798
YPR138C	MEP3	0.0631005910213798
YBR263W	SHM1	0.0549031696385639
YDR353W	TRR1	0.0409502393731826
YAL044C	GCV3	0.0274515575708952
YDR019C	GCV1	0.0274515575708952
YMR189W	GCV2	0.0274515575708952
YLR058C	SHM2	0.00283600515121527
YAL062W	GDH3	0
YBR115C	LYS2	0
YBR218C	PYC2	0
YBR291C	CTP1	0
YCL009C	ILV6	0
YCL018W	LEU2	0
YCR053W	THR4	0
YDL066W	IDP1	0
YDL131W	LYS21	0
YDR148C	KGD2	0
YDR158W	HOM2	0
YDR234W	LYS4	0
YDR300C	PRO1	0
YDR380W	ARO10	0
YER052C	HOM3	0
YER069W	ARG5,6	0
YER081W	SER3	0
YER152C	YER152C	0
YGL009C	LEU1	0
YGL062W	PYC1	0
YGL154C	LYS5	0
YGR087C	PDC6	0
YGR208W	SER2	0
YHR018C	ARG4	0
YHR025W	THR1	0
YIL074C	SER33	0
YIL094C	LYS12	0
YIL125W	KGD1	0
YIR034C	LYS1	0
YJL060W	BNA3	0
YJL088W	ARG3	0
YJR016C	ILV3	0
YJR139C	HOM6	0
YKL085W	MDH1	0
YLR044C	PDC1	0
YLR134W	PDC5	0
YLR304C	ACO1	0
YLR355C	ILV5	0
YMR062C	ARG7	0
YMR108W	ILV2	0
YMR241W	YHM2	0
YNL037C	IDH1	0
YNL104C	LEU4	0
YNR001C	CIT1	0
YNR050C	LYS9	0
YOL058W	ARG1	0
YOL140W	ARG8	0
YOR130C	ORT1	0
YOR136W	IDH2	0
YOR184W	SER1	0
YOR323C	PRO2	0
YOR375C	GDH1	0
YOR388C	FDH1	0
YPR001W	CIT3	0
YJL200C	ACO2	0
