gene_IDs	gene_names	K_score
YDR300C	PRO1	1000
YFL055W	AGP3	1000
YKR039W	GAP1	1000
YOR323C	PRO2	1000
YPL265W	DIP5	1000
YPR074C	TKL1	40.3652871966144
YBR296C	PHO89	16.3684632146787
YCR037C	PHO87	16.3684632146787
YJL198W	PHO90	16.3684632146787
YML123C	PHO84	16.3684632146787
YNR013C	PHO91	16.3684632146787
YJL121C	RPE1	12.2173756742083
YLR027C	AAT2	9.1715379661854
YHR183W	GND1	6.66484106586048
YNL241C	ZWF1	6.66484106586048
YHR163W	SOL3	6.66484106586048
YGL062W	PYC1	5.23136544448061
YOR095C	RKI1	3.60231192014029
YDR384C	ATO3	2.3492570000779
YGR121C	MEP1	2.3492570000779
YNL142W	MEP2	2.3492570000779
YPR138C	MEP3	2.3492570000779
YAL038W	CDC19	2.04313629555154
YOR283W	YOR283W	1.9162810448899
YGR254W	ENO1	1.9162810448899
YOR375C	GDH1	1.24294838024157
YCR012W	PGK1	1.05599040933666
YJL052W	TDH1	1.05599040933666
YDR516C	EMI2	1.00066856779718
YGR060W	ERG25	0.292236
YGL001C	ERG26	0.29106
YER141W	COX15	0.29106
YDR454C	GUK1	0.291059999999999
YDL141W	BPL1	0.289590000000001
YDL205C	HEM3	0.28959
YDR044W	HEM13	0.28959
YDR047W	HEM12	0.28959
YDR232W	HEM1	0.28959
YER014W	HEM14	0.28959
YER152C	YER152C	0.28959
YFL022C	FRS2	0.28959
YGL026C	TRP5	0.28959
YGL040C	HEM2	0.28959
YIL116W	HIS5	0.28959
YLR060W	FRS1	0.28959
YOR074C	CDC21	0.28959
YOR176W	HEM15	0.28959
YPL172C	COX10	0.28959
YCR053W	THR4	0.28959
YFR025C	HIS2	0.28959
YHR018C	ARG4	0.28959
YOR202W	HIS3	0.28959
YPL117C	IDI1	0.28959
YBL033C	RIB1	0.28959
YDR487C	RIB3	0.28959
YNL316C	PHA2	0.28959
YOL143C	RIB4	0.28959
YOR236W	DFR1	0.28959
YPL028W	ERG10	0.28959
YOR303W	CPA1	0.289589999999999
YEL021W	URA3	0.289589999999996
YKL024C	URA6	0.289589999999992
YJR109C	CPA2	0.289588541394838
YBL039C	URA7	0.274310981772126
YJR103W	URA8	0.274310981772126
YOL126C	MDH2	0.267202571169957
YKR067W	GPT2	0.251944247415807
YOR222W	ODC2	0.244845465564246
YPL134C	ODC1	0.244845465564246
YPR021C	AGC1	0.235334204194065
YKL029C	MAE1	0.211556553088101
YMR062C	ARG7	0.211482101104818
YOL140W	ARG8	0.211482101104818
YOR130C	ORT1	0.211482101104818
YER069W	ARG5,6	0.211482101104818
YDL066W	IDP1	0.15435
YPL061W	ALD6	0.143248604710173
YER070W	RNR1	0.132300000000002
YIL066C	RNR3	0.132300000000002
YJL026W	RNR2	0.132300000000002
YGR180C	RNR4	0.132300000000001
YMR246W	FAA4	0.1323
YOR317W	FAA1	0.1323
YLR438W	CAR2	0.130968181956
YDR503C	LPP1	0.12300634758189
YBR263W	SHM1	0.107523098569122
YOR388C	FDH1	0.0995550348114557
YLR058C	SHM2	0.0964519557588663
YER081W	SER3	0.0942871621097083
YGR208W	SER2	0.0942871621097083
YIL074C	SER33	0.0942871621097083
YOR184W	SER1	0.0942871621097083
YGR204W	ADE3	0.0926342304889129
YMR267W	PPA2	0.0735818354279346
YCL040W	GLK1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR202C	PCT1	0
YHR123W	EPT1	0
YLR133W	CKI1	0
YML059C	NTE1	0
YNL130C	CPT1	0
YNR008W	LRO1	-0
YPL110C	GDE1	0
YLR446W	YLR446W	0
