gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR145W	ADH5	1000
YBR252W	DUT1	1000
YDR300C	PRO1	1000
YER170W	ADK2	1000
YOL086C	ADH1	1000
YOR323C	PRO2	1000
YJR069C	HAM1	1000
YDR452W	PPN1	1000
PAL2	PAL2	1000
C4H	C4H	1000
CHI	CHI	1000
CHS	CHS	1000
4CL2	4CL2	1000
F3’H	F3’H	1000
F3H	F3H	1000
DFR	DFR	1000
LAR	LAR	1000
YGR087C	PDC6	12.1849707585789
YLR044C	PDC1	12.1849707585789
YLR134W	PDC5	12.1849707585789
YAL038W	CDC19	2.44583665581223
YOR347C	PYK2	2.44583665581223
YGR254W	ENO1	2.29562525266654
YHR174W	ENO2	2.29562525266654
YKL152C	GPM1	2.29562525266654
YMR323W	ERR3	2.29562525266654
YOR393W	ERR1	2.29562525266654
YPL281C	ERR2	2.29562525266654
YOR283W	YOR283W	2.29562525266654
YLR354C	TAL1	1.26367145104192
YGR043C	NQM1	1.26367145104192
YGR240C	PFK1	1.22842868669981
YKL060C	FBA1	1.22842868669981
YMR205C	PFK2	1.22842868669981
YDR050C	TPI1	1.22679406169707
YCR012W	PGK1	1.22512793888676
YGR192C	TDH3	1.22512793888676
YJL052W	TDH1	1.22512793888676
YJR009C	TDH2	1.22512793888676
YBR196C	PGI1	1.1930848509819
YER091C	MET6	0.293884450454309
YGL125W	MET13	0.293884450454309
YPL023C	MET12	0.293884450454309
YER043C	SAH1	0.293827460547136
YJR105W	ADO1	0.293827460547136
YLR180W	SAM1	0.293827460547136
YDR502C	SAM2	0.293827460547136
YLL052C	AQY2	0.292546211489906
YPR192W	AQY1	0.292546211489906
YHR002W	LEU5	0.27783
YDL066W	IDP1	0.276730203735046
YGL062W	PYC1	0.276016998182275
YBR218C	PYC2	0.276016998182275
YOR222W	ODC2	0.265365305972967
YPL134C	ODC1	0.265365305972967
YMR267W	PPA2	0.264468078064554
YBL039C	URA7	0.258201785040243
YJR103W	URA8	0.258201785040243
YOL126C	MDH2	0.234032867879995
YMR145C	NDE1	0.216296883969467
YDL085W	NDE2	0.216296883969467
YDR503C	LPP1	0.207961799755536
Q0045	COX1	0.193288562375321
Q0250	COX2	0.193288562375321
Q0275	COX3	0.193288562375321
YDL067C	COX9	0.193288562375321
YGL187C	COX4	0.193288562375321
YGL191W	COX13	0.193288562375321
YHR051W	COX6	0.193288562375321
YIL111W	COX5B	0.193288562375321
YLR038C	COX12	0.193288562375321
YMR256C	COX7	0.193288562375321
YLR395C	COX8	0.193288562375321
Q0105	COB	0.191844121197522
YBL045C	COR1	0.191844121197522
YDR529C	QCR7	0.191844121197522
YEL024W	RIP1	0.191844121197522
YFR033C	QCR6	0.191844121197522
YGR183C	QCR9	0.191844121197522
YHR001W-A	QCR10	0.191844121197522
YJL166W	QCR8	0.191844121197522
YOR065W	CYT1	0.191844121197522
YPR191W	QCR2	0.191844121197522
YPR021C	AGC1	0.188206271058759
Q0080	ATP8	0.18436688474238
Q0085	ATP6	0.18436688474238
Q0130	OLI1	0.18436688474238
YBL099W	ATP1	0.18436688474238
YBR039W	ATP3	0.18436688474238
YDL004W	ATP16	0.18436688474238
YDR298C	ATP5	0.18436688474238
YDR322C-A	TIM11	0.18436688474238
YDR377W	ATP17	0.18436688474238
YJR121W	ATP2	0.18436688474238
YKL016C	ATP7	0.18436688474238
YLR295C	ATP14	0.18436688474238
YML081C-A	ATP18	0.18436688474238
YPL078C	ATP4	0.18436688474238
YPL271W	ATP15	0.18436688474238
YPR020W	ATP20	0.18436688474238
YOL077W-A	ATP19	0.18436688474238
YKL029C	MAE1	0.168970931221175
YER053C	PIC2	0.153621833312311
YJR077C	MIR1	0.153621833312311
YER069W	ARG5,6	0.145193082637183
YMR062C	ARG7	0.145193082637183
YOL140W	ARG8	0.145193082637183
YOR130C	ORT1	0.145193082637183
YAL062W	GDH3	0.127339179832129
YOR375C	GDH1	0.127339179832129
YML120C	NDI1	0.110085379554221
YFL018C	LPD1	0.0805891499991662
YER081W	SER3	0.0284390256026184
YGR208W	SER2	0.0284390256026184
YIL074C	SER33	0.0284390256026184
YOR184W	SER1	0.0284390256026184
YLR058C	SHM2	0.00910672147646927
YGR204W	ADE3	0.00360221643188941
YBR263W	SHM1	0.000228203641754189
YAL044C	GCV3	0.000114101707464564
YDR019C	GCV1	0.000114101707464564
YMR189W	GCV2	0.000114101707464564
YDR148C	KGD2	0
YER070W	RNR1	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YLR438W	CAR2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YOR388C	FDH1	0
