gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR145W	ADH5	1000
YBR252W	DUT1	1000
YDR300C	PRO1	1000
YER170W	ADK2	1000
YOL086C	ADH1	1000
YOR323C	PRO2	1000
YJR069C	HAM1	1000
YOR161C	PNS1	1000
YDR452W	PPN1	1000
YLR180W	SAM1	50.7288232378687
YDR502C	SAM2	50.7288232378687
YER043C	SAH1	50.7288232378687
YJR105W	ADO1	50.7288232378687
YBR117C	TKL2	39.0265940789384
YER091C	MET6	34.0250968776394
YGL125W	MET13	34.0250968776388
YPL023C	MET12	34.0250968776388
YPR074C	TKL1	32.9639873624632
YGR087C	PDC6	11.158139779412
YLR044C	PDC1	11.158139779412
YLR134W	PDC5	11.158139779412
YJL121C	RPE1	8.71356049656257
YGR248W	SOL4	4.72682454541447
YGR256W	GND2	4.72682454541447
YHR163W	SOL3	4.72682454541447
YHR183W	GND1	4.72682454541447
YNL241C	ZWF1	4.72682454541447
YOR095C	RKI1	2.52790508546765
YOR347C	PYK2	1.76106503570958
YAL038W	CDC19	1.76106503570958
YOR283W	YOR283W	1.64440437431792
YGR254W	ENO1	1.64440437431792
YHR174W	ENO2	1.64440437431792
YKL152C	GPM1	1.64440437431792
YMR323W	ERR3	1.64440437431792
YOR393W	ERR1	1.64440437431792
YPL281C	ERR2	1.64440437431792
YCR012W	PGK1	1.18873626113899
YGR192C	TDH3	1.18873626113899
YJL052W	TDH1	1.18873626113899
YJR009C	TDH2	1.18873626113899
YDR050C	TPI1	1.1026176744269
YGR240C	PFK1	1.09561084635114
YKL060C	FBA1	1.09561084635114
YMR205C	PFK2	1.09561084635114
YNL036W	NCE103	0.146937113384026
YKL085W	MDH1	0.146296497579286
YER141W	COX15	0.145891666666667
YBR218C	PYC2	0.144198709699574
YGL062W	PYC1	0.144198709699574
YDL066W	IDP1	0.1441125
YOR222W	ODC2	0.140800216451076
YPL134C	ODC1	0.140800216451076
YBL039C	URA7	0.133931198022573
YJR103W	URA8	0.133931198022573
YOL126C	MDH2	0.127433678924699
YFL018C	LPD1	0.111028357435195
YDR503C	LPP1	0.107871342044842
YPR021C	AGC1	0.097624001144424
YKL029C	MAE1	0.0947846111873165
YER069W	ARG5,6	0.0753127384427565
YOR130C	ORT1	0.0753127384427565
YMR062C	ARG7	0.0753127384427565
YOL140W	ARG8	0.0753127384427565
YGR204W	ADE3	0.00186849601023414
YDR148C	KGD2	0
YER070W	RNR1	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YLR438W	CAR2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YOR388C	FDH1	0
