gene_IDs	gene_names	K_score
YBR252W	DUT1	1000
YMR241W	YHM2	1000
YJR069C	HAM1	1000
PAL	PAL	1000
YNL316C	PHA2	26.4524056242847
YPR060C	ARO7	15.142099545292
YDR035W	ARO3	13.5466458340758
YDR127W	ARO1	13.5466458340758
YGL148W	ARO2	13.5466458340758
YBR249C	ARO4	13.5466458340758
YOR095C	RKI1	4.60572151195249
YGR248W	SOL4	4.42839178934902
YGR256W	GND2	4.42839178934902
YHR163W	SOL3	4.42839178934902
YHR183W	GND1	4.42839178934902
YNL241C	ZWF1	4.42839178934902
YJL121C	RPE1	4.13074023136595
YPR021C	AGC1	4.0158494123946
YGR254W	ENO1	1.25516069459339
YHR174W	ENO2	1.25516069459339
YKL152C	GPM1	1.25516069459339
YMR323W	ERR3	1.25516069459339
YOR393W	ERR1	1.25516069459339
YPL281C	ERR2	1.25516069459339
YOR283W	YOR283W	1.25516069459339
YDR516C	EMI2	1.00025156862501
YBL039C	URA7	0.28945547117928
YJR103W	URA8	0.28945547117928
YER070W	RNR1	0.281559049384686
YIL066C	RNR3	0.281559049384686
YJL026W	RNR2	0.281559049384686
YGR180C	RNR4	0.279620762902559
YNL036W	NCE103	0.26566325882896
YOR222W	ODC2	0.258481359890108
YPL134C	ODC1	0.258481359890108
YBR218C	PYC2	0.251714096695052
YGL062W	PYC1	0.25171409530462
YHR144C	DCD1	0.231795246923422
YCR048W	ARE1	0.220003558185337
YLR304C	ACO1	0.217825647624208
YDR503C	LPP1	0.207961799779427
YNR019W	ARE2	0.207585615298336
YOL126C	MDH2	0.19843918903701
YOR245C	DGA1	0.164378422947503
YKL029C	MAE1	0
