gene_IDs	gene_names	K_score
YAR035W	YAT1	1000
YDR300C	PRO1	1000
YER024W	YAT2	1000
YER073W	ALD5	1000
YLR138W	NHA1	1000
YML042W	CAT2	1000
YMR170C	ALD2	1000
YOR100C	CRC1	1000
YOR323C	PRO2	1000
YOR374W	ALD4	1000
YMR110C	HFD1	1000
YDR456W	NHX1	1000
YDR038C	ENA5	1000
YDR039C	ENA2	1000
YDR040C	ENA1	1000
Pa_5_5120	Pa_5_5120	1000
ECL_01944	ECL_01944	1000
HQD2	HQD2	1000
YBR117C	TKL2	508.142502940373
YPR074C	TKL1	411.352687769664
ARO4K229L	ARO4K229L	24.1934270868252
YBR296C	PHO89	23.135473420284
YCR037C	PHO87	23.135473420284
YJL198W	PHO90	23.135473420284
YML123C	PHO84	23.135473420284
YNR013C	PHO91	23.135473420284
YOR095C	RKI1	8.3217214739984
YJL121C	RPE1	8.2720588737979
YBR196C	PGI1	1.12939126751784
YGR254W	ENO1	1.11592828323297
YHR174W	ENO2	1.11592828323297
YKL152C	GPM1	1.11592828323297
YMR323W	ERR3	1.11592828323297
YOR393W	ERR1	1.11592828323297
YPL281C	ERR2	1.11592828323297
YOR283W	YOR283W	1.11592828323297
YDR516C	EMI2	1.04350599073316
YER141W	COX15	0.145891666666667
YBL039C	URA7	0.133931199017842
YJR103W	URA8	0.133931199017842
YDR454C	GUK1	0.132366839378239
YLR027C	AAT2	0.1181875
YNL036W	NCE103	0.110564915895806
YBR218C	PYC2	0.0950754188700123
YGL062W	PYC1	0.0950754188700123
YMR246W	FAA4	0.0910051777136719
YOR317W	FAA1	0.0910051777136719
YHR208W	BAT1	0.0868226392888944
YPR035W	GLN1	0.0847752073002932
YGL080W	MPC1	0.079093470150699
YGR243W	MPC3	0.079093470150699
YHR162W	MPC2	0.079093470150699
YOL126C	MDH2	0.0784544483553753
YER069W	ARG5,6	0.0781761363630344
YMR062C	ARG7	0.0781761363630344
YOL140W	ARG8	0.0781761363630344
YOR130C	ORT1	0.0781761363630344
YER070W	RNR1	0.0731999999999928
YIL066C	RNR3	0.0731999999999928
YJL026W	RNR2	0.0731999999999928
YGR180C	RNR4	0.0674977602818599
YBR221C	PDB1	0.0286130297173769
YER178W	PDA1	0.0286130297173769
YGR193C	PDX1	0.0286130297173769
YNL071W	LAT1	0.0286130297173769
YLR438W	CAR2	0.00565725709181354
YCL040W	GLK1	0
YDL171C	GLT1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YHR002W	LEU5	0
YMR267W	PPA2	0
YPL061W	ALD6	0
YLR446W	YLR446W	0
