gene_IDs	gene_names	K_score
YAR035W	YAT1	1000
YBL015W	ACH1	1000
YBR252W	DUT1	1000
YDR300C	PRO1	1000
YER024W	YAT2	1000
YER073W	ALD5	1000
YER170W	ADK2	1000
YLR138W	NHA1	1000
YML042W	CAT2	1000
YMR170C	ALD2	1000
YOR100C	CRC1	1000
YOR108W	LEU9	1000
YOR323C	PRO2	1000
YOR374W	ALD4	1000
YJR069C	HAM1	1000
YMR110C	HFD1	1000
YDR456W	NHX1	1000
YDR038C	ENA5	1000
YDR039C	ENA2	1000
YDR040C	ENA1	1000
YJL088W	ARG3	40.4887119571374
YOR303W	CPA1	26.4371139911285
YJR109C	CPA2	26.4371139911245
YBR296C	PHO89	24.8236850657251
YCR037C	PHO87	24.8236850657251
YJL198W	PHO90	24.8236850657251
YML123C	PHO84	24.8236850657251
YNR013C	PHO91	24.8236850657251
YLR174W	IDP2	24.7468640006686
YBR117C	TKL2	24.2096644914343
YPR074C	TKL1	20.457655597418
YKL029C	MAE1	20.1903821115047
YER069W	ARG5,6	20.0695717990524
YMR062C	ARG7	20.0695717990524
YOL140W	ARG8	20.0695717990524
YOR130C	ORT1	20.0695717990524
YPR021C	AGC1	14.3619444625052
YOL126C	MDH2	13.1349067036358
YPR035W	GLN1	8.90441607700575
YNR001C	CIT1	6.51514291233583
YKL085W	MDH1	6.51514291233583
YPR001W	CIT3	6.51514291233583
YNL036W	NCE103	5.92058490924247
YBR218C	PYC2	5.89731404866579
YGL062W	PYC1	5.89731404866579
YJL121C	RPE1	5.44962002135289
YDR384C	ATO3	3.71885204335406
YGR121C	MEP1	3.71885204335406
YNL142W	MEP2	3.71885204335406
YPR138C	MEP3	3.71885204335406
YBR221C	PDB1	3.06101193397454
YER178W	PDA1	3.06101193397454
YGR193C	PDX1	3.06101193397454
YNL071W	LAT1	3.06101193397454
YGR248W	SOL4	2.98281317685851
YGR256W	GND2	2.98281317685851
YHR163W	SOL3	2.98281317685851
YHR183W	GND1	2.98281317685851
YNL241C	ZWF1	2.98281317685851
YAL038W	CDC19	2.07036764134756
YOR347C	PYK2	2.07036764134756
YGR254W	ENO1	1.93127520617372
YHR174W	ENO2	1.93127520617372
YKL152C	GPM1	1.93127520617372
YMR323W	ERR3	1.93127520617372
YOR393W	ERR1	1.93127520617372
YPL281C	ERR2	1.93127520617372
YOR283W	YOR283W	1.93127520617372
YML120C	NDI1	1.68764320470044
YOR095C	RKI1	1.62224703602078
YAL062W	GDH3	1.52737116787008
YOR375C	GDH1	1.52737116787008
YCR012W	PGK1	1.22411664062819
YGR192C	TDH3	1.22411664062819
YJL052W	TDH1	1.22411664062819
YJR009C	TDH2	1.22411664062819
YDR050C	TPI1	1.17387222906108
YGR240C	PFK1	1.16633994405668
YKL060C	FBA1	1.16633994405668
YMR205C	PFK2	1.16633994405668
YLL052C	AQY2	1.11696565095744
YPR192W	AQY1	1.11696565095744
YDR516C	EMI2	1.10857787787778
YLR354C	TAL1	1.08981045659953
YGR043C	NQM1	1.08981045659953
YER141W	COX15	0.145891666666667
YLR438W	CAR2	0.145350140898101
YBR029C	CDS1	0.142353595944457
YOR175C	ALE1	0.134588196947431
YBL039C	URA7	0.133931198022576
YJR103W	URA8	0.133931198022576
YDL052C	SLC1	0.118761477793535
YCR048W	ARE1	0.114117492048734
YDR503C	LPP1	0.107871341880811
YNR019W	ARE2	0.107676212170995
YER070W	RNR1	0.101666666666668
YIL066C	RNR3	0.101666666666668
YJL026W	RNR2	0.101666666666668
YGR180C	RNR4	0.0937468889995035
YDL066W	IDP1	0.0925045217621297
YOR245C	DGA1	0.085264318256492
YGL080W	MPC1	0.00525582140361154
YGR243W	MPC3	0.00525582140361154
YHR162W	MPC2	0.00525582140361154
YCL040W	GLK1	0
YDR148C	KGD2	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YHR002W	LEU5	0
YIL125W	KGD1	0
YMR267W	PPA2	0
YPL061W	ALD6	0
YLR446W	YLR446W	0
