gene_IDs	gene_names	K_score
YBL098W	BNA4	1000
YBR145W	ADH5	1000
YDL168W	SFA1	1000
YDR428C	BNA7	1000
YEL041W	YEF1	1000
YFR047C	BNA6	1000
YGR010W	NMA2	1000
YGR155W	CYS4	1000
YGR248W	SOL4	1000
YGR256W	GND2	1000
YHR074W	QNS1	1000
YHR163W	SOL3	1000
YHR183W	GND1	1000
YJR025C	BNA1	1000
YJR049C	UTR1	1000
YJR078W	BNA2	1000
YLR231C	BNA5	1000
YLR328W	NMA1	1000
YNL241C	ZWF1	1000
YOL086C	ADH1	1000
YDR452W	PPN1	1000
D12D	D12D	1000
FAD3	FAD3	1000
D6D	D6D	1000
D6E	D6E	1000
D5D	D5D	1000
YDR380W	ARO10	92.4717113348084
YAL038W	CDC19	3.49854214894109
YGR254W	ENO1	3.49854214894109
YHR174W	ENO2	3.49854214894109
YKL152C	GPM1	3.49854214894109
YOR347C	PYK2	3.49854214894109
YMR323W	ERR3	3.49854214894109
YOR393W	ERR1	3.49854214894109
YPL281C	ERR2	3.49854214894109
YOR283W	YOR283W	3.49854214894109
YCR012W	PGK1	1.25345495534767
YGR192C	TDH3	1.25345495534767
YJL052W	TDH1	1.25345495534767
YJR009C	TDH2	1.25345495534767
YDR050C	TPI1	1.25021253253047
YMR205C	PFK2	1.23892819247528
YGR240C	PFK1	1.23892818756675
YKL060C	FBA1	1.23892818756675
YDR516C	EMI2	1.00082574948966
YER141W	COX15	0.149704166666667
YJL130C	URA2	0.138237225795465
YNL036W	NCE103	0.130739693398782
YDL166C	FAP7	0.130662427303887
YDR226W	ADK1	0.123382898288946
YJR109C	CPA2	0.115957811105925
YOR303W	CPA1	0.115957811105925
YHR002W	LEU5	0.111372091699541
YIL125W	KGD1	0.109894344671727
YDR148C	KGD2	0.1098
YDR503C	LPP1	0.107871327896333
YLL052C	AQY2	0.101607159818957
YPR192W	AQY1	0.101607159818957
YMR267W	PPA2	0.0898563252100679
YFL018C	LPD1	0.0750815516939593
YAL044C	GCV3	0.0549
YDR019C	GCV1	0.0549
YMR189W	GCV2	0.0549
YDL085W	NDE2	0.0497309255857963
YMR145C	NDE1	0.0497309255857963
YOR222W	ODC2	0.0481080898851273
YPL134C	ODC1	0.0481080898851273
YBR221C	PDB1	0.0474593545803144
YER178W	PDA1	0.0474593545803144
YGR193C	PDX1	0.0474593545803144
YNL071W	LAT1	0.0474593545803144
Q0080	ATP8	0.0401343289089321
Q0085	ATP6	0.0401343289089321
Q0130	OLI1	0.0401343289089321
YBL099W	ATP1	0.0401343289089321
YBR039W	ATP3	0.0401343289089321
YDL004W	ATP16	0.0401343289089321
YDR298C	ATP5	0.0401343289089321
YDR322C-A	TIM11	0.0401343289089321
YDR377W	ATP17	0.0401343289089321
YJR121W	ATP2	0.0401343289089321
YKL016C	ATP7	0.0401343289089321
YML081C-A	ATP18	0.0401343289089321
YPL078C	ATP4	0.0401343289089321
YPL271W	ATP15	0.0401343289089321
YPR020W	ATP20	0.0401343289089321
YOL077W-A	ATP19	0.0401343289089321
YLR295C	ATP14	0.0401343289089314
Q0045	COX1	0.0393075321173133
Q0250	COX2	0.0393075321173133
Q0275	COX3	0.0393075321173133
YDL067C	COX9	0.0393075321173133
YGL187C	COX4	0.0393075321173133
YGL191W	COX13	0.0393075321173133
YHR051W	COX6	0.0393075321173133
YIL111W	COX5B	0.0393075321173133
YLR038C	COX12	0.0393075321173133
YLR395C	COX8	0.0393075321173133
YMR256C	COX7	0.0393075321173133
Q0105	COB	0.0392912336809292
YBL045C	COR1	0.0392912326893423
YDR529C	QCR7	0.0392912326893423
YEL024W	RIP1	0.0392912326893423
YFR033C	QCR6	0.0392912326893423
YGR183C	QCR9	0.0392912326893423
YHR001W-A	QCR10	0.0392912326893423
YJL166W	QCR8	0.0392912326893423
YOR065W	CYT1	0.0392912326893423
YPR191W	QCR2	0.0392912326893423
YLR153C	ACS2	0.0344368799547362
YKL069W	YKL069W	0.027262089152522
YER053C	PIC2	0.0221736383378701
YJR077C	MIR1	0.0221736383378701
YJR130C	STR2	0.0131263900393576
YPR035W	GLN1	0.0109248637886177
YML120C	NDI1	0.0102140849982077
YLR058C	SHM2	0.00729426925966723
YGR204W	ADE3	0.00656070328000766
YGL080W	MPC1	0.0038603922844752
YGR243W	MPC3	0.0038603922844752
YHR162W	MPC2	0.0038603922844752
