gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR208C	DUR1,2	1000
YCL064C	CHA1	1000
YEL046C	GLY1	1000
YEL047C	FRD1	1000
YER062C	GPP2	1000
YER065C	ICL1	1000
YER170W	ADK2	1000
YFL030W	AGX1	1000
YFL053W	DAK2	1000
YGR248W	SOL4	1000
YGR256W	GND2	1000
YHR037W	PUT2	1000
YHR163W	SOL3	1000
YHR183W	GND1	1000
YIL013C	PDR11	1000
YIL053W	GPP1	1000
YLR142W	PUT1	1000
YLR438W	CAR2	1000
YML070W	DAK1	1000
YNL241C	ZWF1	1000
YOR011W	AUS1	1000
YOR120W	GCY1	1000
YPL111W	CAR1	1000
YML126C	ERG13	348.546698483854
YPL262W	FUM1	335.499709016547
YDL022W	GPD1	29.4800681521817
YOL059W	GPD2	29.4800681521817
YOR095C	RKI1	26.670420563691
YGL012W	ERG4	24.3527661540353
YGR060W	ERG25	24.3527661540353
YGR175C	ERG1	24.3527661540353
YHR007C	ERG11	24.3527661540353
YHR042W	NCP1	24.3527661540353
YHR190W	ERG9	24.3527661540353
YNL280C	ERG24	24.3527661540353
YGL001C	ERG26	24.3527661540353
YHR072W	ERG7	24.3527661540353
YLR100W	ERG27	24.3527661540353
YJL167W	ERG20	24.3524077430551
YLR450W	HMG2	24.3524077430551
YML075C	HMG1	24.3524077430551
YMR208W	ERG12	24.3524077430551
YMR220W	ERG8	24.3524077430551
YNR043W	MVD1	24.3524077430551
YPL117C	IDI1	24.3524077430551
YHR002W	LEU5	21.2876877085056
YJR109C	CPA2	16.3997874050786
YOR303W	CPA1	16.3997874050786
YGL125W	MET13	12.7752841202685
YPL023C	MET12	12.7752841202685
YER091C	MET6	12.7752841202685
YBR221C	PDB1	9.0715738610789
YER178W	PDA1	9.0715738610789
YGR193C	PDX1	9.0715738610789
YNL071W	LAT1	9.0715738610789
YBR296C	PHO89	8.55415382220984
YCR037C	PHO87	8.55415382220984
YJL198W	PHO90	8.55415382220984
YML123C	PHO84	8.55415382220984
YNR013C	PHO91	8.55415382220984
YJR051W	OSM1	8.16029160334685
YER043C	SAH1	6.5179776956798
YJR105W	ADO1	6.5179776956798
YDR502C	SAM2	6.51797769567979
YLR180W	SAM1	6.51797769567979
YPR035W	GLN1	6.16523965004771
YGL080W	MPC1	6.06659556496777
YGR243W	MPC3	6.06659556496777
YHR162W	MPC2	6.06659556496777
YJR095W	SFC1	5.43976888490087
YER023W	PRO3	3.74272191667038
YKL029C	MAE1	3.19943011285551
YAL038W	CDC19	2.922063086277
YGR254W	ENO1	2.922063086277
YHR174W	ENO2	2.922063086277
YKL152C	GPM1	2.922063086277
YOR347C	PYK2	2.922063086277
YMR323W	ERR3	2.922063086277
YOR393W	ERR1	2.922063086277
YPL281C	ERR2	2.922063086277
YOR283W	YOR283W	2.922063086277
YCL040W	GLK1	2.27325971341138
YGL253W	HXK2	2.27325971341138
YLR446W	YLR446W	2.27325971341138
YFR053C	HXK1	2.27325971341137
YML120C	NDI1	1.23528405672542
YNL036W	NCE103	1.1678420766282
YCR012W	PGK1	1.04691538097817
YGR192C	TDH3	1.04691538097817
YJL052W	TDH1	1.04691538097817
YJR009C	TDH2	1.04691538097817
YGL184C	STR3	1.0435155049468
YFR055W	IRC7	1.0435155049468
YLL052C	AQY2	1.01936040937589
YPR192W	AQY1	1.01936040937589
YER141W	COX15	0.149704166666667
YOL126C	MDH2	0.144149643664804
YBR029C	CDS1	0.141537986074154
YOR175C	ALE1	0.134425294805765
YCR048W	ARE1	0.128319111377439
YDR503C	LPP1	0.12438405142541
YNR019W	ARE2	0.124261120454493
YDL052C	SLC1	0.118443189848192
YOR245C	DGA1	0.110141680681739
YGR180C	RNR4	0.0686249999999984
YER070W	RNR1	0.0686249999999981
YIL066C	RNR3	0.0686249999999981
YJL026W	RNR2	0.0686249999999981
YBR263W	SHM1	0.0682821624379259
YDR384C	ATO3	0.0631005910212814
YGR121C	MEP1	0.0631005910212814
YNL142W	MEP2	0.0631005910212814
YPR138C	MEP3	0.0631005910212814
YAL044C	GCV3	0.0341410473306061
YDR019C	GCV1	0.0341410473306061
YMR189W	GCV2	0.0341410473306061
YAL062W	GDH3	0
YBR115C	LYS2	0
YBR218C	PYC2	0
YBR291C	CTP1	0
YCL009C	ILV6	0
YCL018W	LEU2	0
YDL066W	IDP1	0
YDL131W	LYS21	0
YDR148C	KGD2	0
YDR234W	LYS4	0
YDR300C	PRO1	0
YDR380W	ARO10	0
YER069W	ARG5,6	0
YER081W	SER3	0
YER152C	YER152C	0
YGL009C	LEU1	0
YGL062W	PYC1	0
YGL154C	LYS5	0
YGR208W	SER2	0
YHR018C	ARG4	0
YIL074C	SER33	0
YIL094C	LYS12	0
YIL125W	KGD1	0
YIR034C	LYS1	0
YJL060W	BNA3	0
YJL088W	ARG3	0
YJR016C	ILV3	0
YLR304C	ACO1	0
YLR355C	ILV5	0
YMR062C	ARG7	0
YMR108W	ILV2	0
YMR241W	YHM2	0
YNL037C	IDH1	0
YNL104C	LEU4	0
YNR001C	CIT1	0
YNR050C	LYS9	0
YOL058W	ARG1	0
YOL140W	ARG8	0
YOR130C	ORT1	0
YOR136W	IDH2	0
YOR184W	SER1	0
YOR323C	PRO2	0
YOR375C	GDH1	0
YOR388C	FDH1	0
YPR001W	CIT3	0
YJL200C	ACO2	0
