gene_IDs	gene_names	K_score
YAR035W	YAT1	1000
YBL015W	ACH1	1000
YBR208C	DUR1,2	1000
YCL064C	CHA1	1000
YEL046C	GLY1	1000
YEL047C	FRD1	1000
YER024W	YAT2	1000
YER170W	ADK2	1000
YHR037W	PUT2	1000
YLR142W	PUT1	1000
YLR438W	CAR2	1000
YML042W	CAT2	1000
YOR100C	CRC1	1000
YPL111W	CAR1	1000
YDR452W	PPN1	1000
efe	efe	1000
YAL054C	ACS1	667.760961576748
YLR304C	ACO1	410.472138882085
YCR053W	THR4	51.9029008374371
YER052C	HOM3	51.9029008374371
YHR025W	THR1	51.9029008374371
YJR139C	HOM6	51.9029008374371
YDR158W	HOM2	51.9029008374371
YOL126C	MDH2	23.7374803151895
YKL085W	MDH1	22.1676094942757
YNR001C	CIT1	22.1676094942757
YPR001W	CIT3	22.1676094942757
YJR109C	CPA2	16.3998310323058
YOR303W	CPA1	16.3998310323058
YBR218C	PYC2	14.2629166527296
YGL062W	PYC1	14.2629166527294
YBR296C	PHO89	8.55416650934279
YCR037C	PHO87	8.55416650934279
YJL198W	PHO90	8.55416650934279
YML123C	PHO84	8.55416650934279
YNR013C	PHO91	8.55416650934279
YNL036W	NCE103	7.28156363881061
YLR027C	AAT2	6.72810411473895
YPR035W	GLN1	6.16525693794956
YKL069W	YKL069W	4.15662570700918
YBR221C	PDB1	3.99764029854669
YER178W	PDA1	3.99764029854669
YGR193C	PDX1	3.99764029854669
YNL071W	LAT1	3.99764029854669
YER023W	PRO3	3.74272191667033
YAL038W	CDC19	3.7222244348856
YGR254W	ENO1	3.7222244348856
YHR174W	ENO2	3.7222244348856
YKL152C	GPM1	3.7222244348856
YOR347C	PYK2	3.7222244348856
YMR323W	ERR3	3.7222244348856
YOR393W	ERR1	3.7222244348856
YPL281C	ERR2	3.7222244348856
YOR283W	YOR283W	3.7222244348856
YLR153C	ACS2	3.28288473024455
YPL061W	ALD6	3.28288473024455
YJR051W	OSM1	2.87302271844597
YGL080W	MPC1	2.67211770023012
YGR243W	MPC3	2.67211770023012
YHR162W	MPC2	2.67211770023012
YNL037C	IDH1	2.40915096707618
YOR136W	IDH2	2.40915096707618
YML120C	NDI1	1.9737707592344
YKL029C	MAE1	1.42346982031694
YCR012W	PGK1	1.33359951155838
YGR192C	TDH3	1.33359951155838
YJR009C	TDH2	1.33359951155838
YJL052W	TDH1	1.33359951155838
YDR050C	TPI1	1.33332247980153
YMR205C	PFK2	1.32104940091133
YGR240C	PFK1	1.32104940091133
YKL060C	FBA1	1.32104940091133
YLR354C	TAL1	1.30849769091282
YGR043C	NQM1	1.30849769091282
YBR196C	PGI1	1.18708282453648
YAL012W	CYS3	1.0435155049468
YGL184C	STR3	1.0435155049468
YFR055W	IRC7	1.0435155049468
YDR516C	EMI2	1.00019584660831
YER141W	COX15	0.149704166666667
YBR029C	CDS1	0.137922435384528
YMR246W	FAA4	0.133361591782016
YOR317W	FAA1	0.133361591782016
YAL044C	GCV3	0.132337294585098
YDR019C	GCV1	0.132337294585098
YMR189W	GCV2	0.132337294585098
YOR175C	ALE1	0.1280038980255
YDR503C	LPP1	0.107871327944201
YDL052C	SLC1	0.106348247925119
YMR145C	NDE1	0.0835969013397741
YDL085W	NDE2	0.0835969013397741
YDR384C	ATO3	0.0631005910213619
YGR121C	MEP1	0.0631005910213619
YNL142W	MEP2	0.0631005910213619
YPR138C	MEP3	0.0631005910213619
YGR180C	RNR4	0.0078733077910568
YER070W	RNR1	0.00674190726202696
YIL066C	RNR3	0.00674190726202696
YJL026W	RNR2	0.00674190726202696
YLR058C	SHM2	0.00157694190767995
YBR115C	LYS2	0
YCL009C	ILV6	0
YCL018W	LEU2	0
YDL066W	IDP1	0
YDL131W	LYS21	0
YDR148C	KGD2	0
YDR234W	LYS4	0
YDR300C	PRO1	0
YDR380W	ARO10	0
YER069W	ARG5,6	0
YER081W	SER3	0
YER091C	MET6	0
YER152C	YER152C	0
YGL009C	LEU1	0
YGL125W	MET13	0
YGL154C	LYS5	0
YGR087C	PDC6	0
YGR208W	SER2	0
YHR002W	LEU5	0
YHR018C	ARG4	0
YIL074C	SER33	0
YIL094C	LYS12	0
YIL125W	KGD1	0
YIR034C	LYS1	0
YJL060W	BNA3	0
YJL088W	ARG3	0
YJR016C	ILV3	0
YLR044C	PDC1	0
YLR134W	PDC5	0
YLR355C	ILV5	0
YMR062C	ARG7	0
YMR108W	ILV2	0
YMR241W	YHM2	0
YNL104C	LEU4	0
YNR050C	LYS9	0
YOL058W	ARG1	0
YOL140W	ARG8	0
YOR130C	ORT1	0
YOR184W	SER1	0
YOR323C	PRO2	0
YOR388C	FDH1	0
YPL023C	MET12	0
YPR021C	AGC1	0
YJL200C	ACO2	0
