gene_IDs	gene_names	K_score
YDR300C	PRO1	1000
YOR323C	PRO2	1000
tesA	tesA	865.553286066685
FAS1	FAS1	604.697219825022
FAS2	FAS2	604.697219825022
YBR117C	TKL2	43.236212210097
YPR074C	TKL1	36.5040608409976
YLR153C	ACS2	13.3880502657899
YAL054C	ACS1	13.3880502657899
YGR087C	PDC6	13.3880502657899
YLR044C	PDC1	13.3880502657899
YLR134W	PDC5	13.3880502657899
YPL061W	ALD6	13.3880502657899
YNR016C	ACC1	13.1889992650371
YDL141W	BPL1	13.1889992650371
YJL121C	RPE1	9.57545536459976
YGL055W	OLE1	7.10971951661403
YGR248W	SOL4	5.18507809223329
YGR256W	GND2	5.18507809223329
YHR183W	GND1	5.18507809223329
YNL241C	ZWF1	5.18507809223329
YHR163W	SOL3	5.18507809223329
YNL036W	NCE103	3.50121247565571
YOR095C	RKI1	2.76522169741467
YDR226W	ADK1	2.42780665589962
YAL038W	CDC19	2.08701081684387
YOR347C	PYK2	2.08701081684387
YGR254W	ENO1	1.94671133962623
YHR174W	ENO2	1.94671133962623
YKL152C	GPM1	1.94671133962623
YMR323W	ERR3	1.94671133962623
YOR393W	ERR1	1.94671133962623
YPL281C	ERR2	1.94671133962623
YOR283W	YOR283W	1.94671133962623
YMR267W	PPA2	1.88775417497672
YCR012W	PGK1	1.17948017127497
YGR192C	TDH3	1.17948017127497
YJL052W	TDH1	1.17948017127497
YJR009C	TDH2	1.17948017127497
YDR050C	TPI1	1.08398506338911
YGR240C	PFK1	1.07711613737676
YKL060C	FBA1	1.07711613737676
YMR205C	PFK2	1.07711613737676
YDR516C	EMI2	1.00031882186957
YKL067W	YNK1	0.152236217182858
YOR222W	ODC2	0.152078601553884
YPL134C	ODC1	0.152078601553884
YBR218C	PYC2	0.151999997454647
YGL062W	PYC1	0.151999997454647
YOL126C	MDH2	0.15137006041265
YPR021C	AGC1	0.1500262997982
YKL029C	MAE1	0.149023692068583
YER069W	ARG5,6	0.149020552728469
YMR062C	ARG7	0.149020552728469
YOL140W	ARG8	0.149020552728469
YOR130C	ORT1	0.149020552728469
YER141W	COX15	0.145891666666667
YLR438W	CAR2	0.145625605207345
YCR048W	ARE1	0.114117491900085
YDR503C	LPP1	0.1078713417035
YNR019W	ARE2	0.107676211998706
YOR245C	DGA1	0.0852643179980584
