gene_IDs	gene_names	K_score
YDR300C	PRO1	1000
YER073W	ALD5	1000
YOR323C	PRO2	1000
YBR296C	PHO89	66.0603359252075
YCR037C	PHO87	66.0603359252075
YJL198W	PHO90	66.0603359252075
YML123C	PHO84	66.0603359252075
YNR013C	PHO91	66.0603359252075
YOL126C	MDH2	9.95150577839971
YGL062W	PYC1	4.56752513567298
YNL036W	NCE103	3.15779544415711
YAL038W	CDC19	1.94048847782254
YGR254W	ENO1	1.82107772223274
YOR283W	YOR283W	1.82107772223274
YLR354C	TAL1	1.26909528806293
YDR516C	EMI2	1.22530133397399
YBR196C	PGI1	1.19696110811468
YOR222W	ODC2	0.269542622153924
YPL134C	ODC1	0.269542622153924
YBL039C	URA7	0.258201785040243
YJR103W	URA8	0.258201785040243
YDR454C	GUK1	0.25033414507772
YDL066W	IDP1	0.243077256481052
YPR021C	AGC1	0.213317230063803
YDR503C	LPP1	0.207961864168886
YER069W	ARG5,6	0.159958666458321
YMR062C	ARG7	0.159958666458321
YOL140W	ARG8	0.159958666458321
YOR130C	ORT1	0.159958666458321
YER070W	RNR1	0.129360000000006
YIL066C	RNR3	0.129360000000006
YJL026W	RNR2	0.129360000000006
YGR180C	RNR4	0.119282926829274
YDR148C	KGD2	0.0999599999997428
YIL125W	KGD1	0.0999599998860977
YMR246W	FAA4	0.0789092374535202
YOR317W	FAA1	0.0613738372800093
YLR438W	CAR2	0.0291725796108667
YHR002W	LEU5	0.00740849367826339
YCL040W	GLK1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YMR267W	PPA2	0
YPL061W	ALD6	0
YLR446W	YLR446W	0
