Annotation Cluster 1	Enrichment Score: 2.599262694988094
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005971~ribonucleoside-diphosphate reductase complex	3	42.857142857142854	5.236097608845862E-6	YER070W, YJL026W, YIL066C	7	4	5861	627.9642857142857	5.7595565801316084E-5	5.759707369730448E-5	5.759707369730448E-5
GOTERM_MF_DIRECT	GO:0004748~ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	3	42.857142857142854	7.536293172613083E-6	YER070W, YJL026W, YIL066C	7	4	4885	523.3928571428571	1.281092600085021E-4	1.2811698393442241E-4	1.2811698393442241E-4
GOTERM_BP_DIRECT	GO:0009263~deoxyribonucleotide biosynthetic process	3	42.857142857142854	1.4547074301761763E-5	YER070W, YJL026W, YIL066C	7	6	5557	396.9285714285714	2.909012822428503E-4	2.9094148603523524E-4	2.6184733743171175E-4
KEGG_PATHWAY	sce00240:Pyrimidine metabolism	4	57.14285714285714	5.888336875884696E-4	YBL039C, YER070W, YJL026W, YIL066C	7	70	2184	17.82857142857143	0.004700972622322164	0.004710669500707757	0.004710669500707757
KEGG_PATHWAY	sce00480:Glutathione metabolism	3	42.857142857142854	0.0016905060270777765	YER070W, YJL026W, YIL066C	7	24	2184	38.99999999999999	0.013444299492307521	0.006762024108311106	0.006762024108311106
UP_KEYWORDS	DNA replication	3	42.857142857142854	0.0018968123257179816	YER070W, YJL026W, YIL066C	7	68	5914	37.273109243697476	0.051772834582027194	0.027335677416838372	0.022454306449545804
GOTERM_BP_DIRECT	GO:0006260~DNA replication	3	42.857142857142854	0.0028130731358569127	YER070W, YJL026W, YIL066C	7	78	5557	30.53296703296703	0.05478299718527235	0.028130731358569125	0.025317658222712213
UP_KEYWORDS	Oxidoreductase	3	42.857142857142854	0.025313228990283432	YER070W, YJL026W, YIL066C	7	258	5914	9.82392026578073	0.5122222283764163	0.17719260293198402	0.14555106669412973
KEGG_PATHWAY	sce00230:Purine metabolism	3	42.857142857142854	0.025551585461462318	YER070W, YJL026W, YIL066C	7	96	2184	9.749999999999998	0.1870369130580113	0.06813756123056618	0.06813756123056618
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	3	42.857142857142854	0.04550805803130143	YER070W, YJL026W, YIL066C	7	292	4885	7.169765166340508	0.5469683670466164	0.25787899551070814	0.25787899551070814
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	3	42.857142857142854	0.049321080718101214	YER070W, YJL026W, YIL066C	7	347	5557	6.8633182379580076	0.6363552884132453	0.19728432287240485	0.17755589058516438
KEGG_PATHWAY	sce01100:Metabolic pathways	5	71.42857142857143	0.08035589367165166	YBL039C, YER070W, YJL026W, YIL066C, YDL052C	7	682	2184	2.2873900293255134	0.4883672506953709	0.12856942987464268	0.12856942987464268
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	4	57.14285714285714	0.4555384160468828	YBL039C, YER070W, YJL026W, YIL066C	7	2344	5861	1.4288152120916624	0.9987536510128447	0.8351537627526184	0.8351537627526184

Annotation Cluster 2	Enrichment Score: 1.106098159045911
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
