Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Glycolysis	6	50.0	4.960382530592415E-10	YMR205C, YDR050C, YJL052W, YGR254W, YCR012W, YAL038W	12	26	5914	113.73076923076924	2.1329642829748252E-8	2.1329644881547385E-8	1.686530060401421E-8
GOTERM_BP_DIRECT	GO:0006096~glycolytic process	6	50.0	6.765020743299067E-10	YMR205C, YDR050C, YJL052W, YGR254W, YCR012W, YAL038W	12	26	5557	106.86538461538461	2.435407442380466E-8	2.435407467587664E-8	2.300107052721683E-8
KEGG_PATHWAY	sce01230:Biosynthesis of amino acids	9	75.0	6.969528592448927E-10	YMR205C, YDR050C, YJL052W, YLR354C, YGR254W, YCR012W, YDR300C, YAL038W, YOR323C	10	123	2184	15.980487804878049	1.1151245149498834E-8	1.1151245747918284E-8	1.1151245747918284E-8
KEGG_PATHWAY	sce00010:Glycolysis / Gluconeogenesis	7	58.333333333333336	2.134684203232917E-8	YMR205C, YDR050C, YJL052W, YLR044C, YGR254W, YCR012W, YAL038W	10	58	2184	26.358620689655172	3.415494184144663E-7	1.7077473625863337E-7	1.7077473625863337E-7
KEGG_PATHWAY	sce01130:Biosynthesis of antibiotics	9	75.0	6.452161227517728E-8	YMR205C, YDR050C, YJL052W, YLR354C, YGR254W, YCR012W, YDR300C, YAL038W, YOR323C	10	215	2184	9.14232558139535	1.0323452968030722E-6	3.441152654676122E-7	3.441152654676122E-7
KEGG_PATHWAY	sce01110:Biosynthesis of secondary metabolites	9	75.0	8.102894576925538E-7	YMR205C, YDR050C, YJL052W, YLR354C, YLR044C, YGR254W, YCR012W, YAL038W, YOR323C	10	295	2184	6.663050847457628	1.2964552534300289E-5	3.2411578307702152E-6	3.2411578307702152E-6
UP_SEQ_FEATURE	binding site:Substrate	6	50.0	1.0635101032884757E-6	YMR205C, YDR050C, YLR044C, YGR254W, YCR012W, YAL038W	12	114	5872	25.75438596491228	4.466645051581786E-5	4.5730934441404453E-5	4.5730934441404453E-5
KEGG_PATHWAY	sce01200:Carbon metabolism	7	58.333333333333336	1.3138179170018418E-6	YMR205C, YDR050C, YJL052W, YLR354C, YGR254W, YCR012W, YAL038W	10	114	2184	13.410526315789472	2.1020879539368487E-5	4.204217334405894E-6	4.204217334405894E-6
GOTERM_BP_DIRECT	GO:0006094~gluconeogenesis	4	33.33333333333333	5.497401541924114E-6	YDR050C, YJL052W, YGR254W, YCR012W	12	19	5557	97.49122807017544	1.9788741719684033E-4	9.895322775463405E-5	9.345582621270995E-5
KEGG_PATHWAY	sce01100:Metabolic pathways	10	83.33333333333334	2.7222825574612662E-5	YMR205C, YDR050C, YJL052W, YLR354C, YLR044C, YGR254W, YCR012W, YDR300C, YAL038W, YOR323C	10	682	2184	3.2023460410557183	4.354762906232379E-4	7.259420153230043E-5	7.259420153230043E-5
UP_KEYWORDS	Magnesium	5	41.66666666666667	4.6654711037546E-4	YMR205C, YLR044C, YGR254W, YJR069C, YAL038W	12	216	5914	11.408179012345679	0.019866220583718563	0.006075838195619282	0.004804151131419898
UP_KEYWORDS	Allosteric enzyme	3	25.0	5.286922211295164E-4	YMR205C, YLR044C, YAL038W	12	19	5914	77.8157894736842	0.022483177165703028	0.006075838195619282	0.004804151131419898
UP_KEYWORDS	Isopeptide bond	6	50.0	5.884776512458215E-4	YDR050C, YLR044C, YGR254W, YCR012W, YDR452W, YAL038W	12	423	5914	6.990543735224586	0.024994325014944918	0.006075838195619282	0.004804151131419898
UP_KEYWORDS	Ubl conjugation	6	50.0	7.064928134441026E-4	YDR050C, YLR044C, YGR254W, YCR012W, YDR452W, YAL038W	12	440	5914	6.720454545454546	0.029932795965890935	0.006075838195619282	0.004804151131419898
GOTERM_BP_DIRECT	GO:0008152~metabolic process	5	41.66666666666667	0.0016562775860781546	YMR205C, YDR050C, YLR044C, YAL038W, YOR323C	12	284	5557	8.152875586854462	0.057929744793056015	0.019875331032937857	0.01877114597555242
