gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR145W	ADH5	1000
YBR252W	DUT1	1000
YDR300C	PRO1	1000
YER170W	ADK2	1000
YOL086C	ADH1	1000
YOR323C	PRO2	1000
YJR069C	HAM1	1000
YDR452W	PPN1	1000
PAL	PAL	1000
C4H	C4H	1000
4CL	4CL	1000
IFS	IFS	1000
CHS	CHS	1000
CHI	CHI	1000
YGR087C	PDC6	15.9478725409539
YLR044C	PDC1	15.9478725409539
YLR134W	PDC5	15.9478725409539
YAL038W	CDC19	2.41986088945564
YOR347C	PYK2	2.41986088945564
YGR254W	ENO1	2.25952546214241
YHR174W	ENO2	2.25952546214241
YKL152C	GPM1	2.25952546214241
YMR323W	ERR3	2.25952546214241
YOR393W	ERR1	2.25952546214241
YPL281C	ERR2	2.25952546214241
YOR283W	YOR283W	2.25952546214241
YLR354C	TAL1	1.24818710229431
YGR043C	NQM1	1.24818710229431
YGR240C	PFK1	1.21333034087601
YKL060C	FBA1	1.21333034087601
YMR205C	PFK2	1.21333034087601
YER141W	COX15	0.145891666666667
YOL126C	MDH2	0.142045465162837
YBL039C	URA7	0.133931198022575
YJR103W	URA8	0.133931198022575
YBR221C	PDB1	0.13348193442533
YER178W	PDA1	0.13348193442533
YGR193C	PDX1	0.13348193442533
YNL071W	LAT1	0.13348193442533
YGL080W	MPC1	0.130961372879064
YGR243W	MPC3	0.130961372879064
YHR162W	MPC2	0.130961372879064
YLL052C	AQY2	0.126490284679406
YPR192W	AQY1	0.126490284679406
YKL085W	MDH1	0.116142188551729
YOR222W	ODC2	0.114867150201416
YPL134C	ODC1	0.114867150201416
YDR503C	LPP1	0.107871375254602
YHR002W	LEU5	0.105894210897253
YJR095W	SFC1	0.10065
YPR021C	AGC1	0.097624001144424
YER069W	ARG5,6	0.0753127384427565
YOR130C	ORT1	0.0753127384427565
YMR062C	ARG7	0.0753127384427565
YOL140W	ARG8	0.0753127384427565
YMR267W	PPA2	0.0658351824235954
YDL066W	IDP1	0.0613015886634158
YOR375C	GDH1	0.0471155798804736
YAL062W	GDH3	0.0471155798804736
Q0045	COX1	0.0413133110000184
Q0250	COX2	0.0413133110000184
Q0275	COX3	0.0413133110000184
YDL067C	COX9	0.0413133110000184
YGL187C	COX4	0.0413133110000184
YGL191W	COX13	0.0413133110000184
YHR051W	COX6	0.0413133110000184
YIL111W	COX5B	0.0413133110000184
YLR038C	COX12	0.0413133110000184
YLR395C	COX8	0.0413133110000184
YMR256C	COX7	0.0413133110000184
YML120C	NDI1	0.0384467246314066
YFL018C	LPD1	0.036112813820345
YBL045C	COR1	0.0352251705532175
YDR529C	QCR7	0.0352251705532175
YEL024W	RIP1	0.0352251705532175
YFR033C	QCR6	0.0352251705532175
YGR183C	QCR9	0.0352251705532175
YHR001W-A	QCR10	0.0352251705532175
YJL166W	QCR8	0.0352251705532175
YOR065W	CYT1	0.0352251705532175
YPR191W	QCR2	0.0352251705532175
Q0105	COB	0.035225170523517
YDL085W	NDE2	0.0342616548043711
YMR145C	NDE1	0.0342616548043711
Q0080	ATP8	0.0293567584973043
Q0085	ATP6	0.0293567584973043
Q0130	OLI1	0.0293567584973043
YBL099W	ATP1	0.0293567584973043
YBR039W	ATP3	0.0293567584973043
YDL004W	ATP16	0.0293567584973043
YDR298C	ATP5	0.0293567584973043
YDR322C-A	TIM11	0.0293567584973043
YDR377W	ATP17	0.0293567584973043
YJR121W	ATP2	0.0293567584973043
YKL016C	ATP7	0.0293567584973043
YML081C-A	ATP18	0.0293567584973043
YPL078C	ATP4	0.0293567584973043
YPL271W	ATP15	0.0293567584973043
YPR020W	ATP20	0.0293567584973043
YOL077W-A	ATP19	0.0293567584973043
YLR295C	ATP14	0.029356758497304
YER053C	PIC2	0.0148533449693538
YJR077C	MIR1	0.0148533449693538
YER081W	SER3	0.0147515317330249
YGR208W	SER2	0.0147515317330249
YIL074C	SER33	0.0147515317330249
YOR184W	SER1	0.0147515317330249
YLR058C	SHM2	0.00472372331967349
YGR204W	ADE3	0.00186849611462945
YBR263W	SHM1	0.000118370904177086
YMR189W	GCV2	5.91853932634951e-05
YAL044C	GCV3	5.91853932606475e-05
YDR019C	GCV1	5.91853932606475e-05
YDR148C	KGD2	0
YER070W	RNR1	0
YGR180C	RNR4	0
YGR202C	PCT1	0
YHR123W	EPT1	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YLR133W	CKI1	0
YLR438W	CAR2	0
YML059C	NTE1	0
YMR246W	FAA4	0
YNL130C	CPT1	0
YNR008W	LRO1	-0
YOR317W	FAA1	0
YOR388C	FDH1	0
YPL110C	GDE1	0
