gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR252W	DUT1	1000
YER170W	ADK2	1000
YJR069C	HAM1	1000
GES	GES	1000
YPL117C	IDI1	43.5819502515753
YLR450W	HMG2	29.1532409511462
YML075C	HMG1	29.1532409511462
YMR208W	ERG12	29.1532409511462
YNR043W	MVD1	29.1532409511462
YMR220W	ERG8	29.1532409511462
YHR002W	LEU5	29.1119295366951
YBR221C	PDB1	7.00881148923232
YER178W	PDA1	7.00881148923232
YGR193C	PDX1	7.00881148923232
YNL071W	LAT1	7.00881148923232
YGL080W	MPC1	4.78536012583802
YGR243W	MPC3	4.78536012583802
YHR162W	MPC2	4.78536012583802
YAL038W	CDC19	2.37030858770059
YOR347C	PYK2	2.37030858770059
YGR254W	ENO1	2.21972539910211
YHR174W	ENO2	2.21972539910211
YKL152C	GPM1	2.21972539910211
YMR323W	ERR3	2.21972539910211
YOR393W	ERR1	2.21972539910211
YPL281C	ERR2	2.21972539910211
YOR283W	YOR283W	2.21972539910211
YFR053C	HXK1	1.80770370209163
YCL040W	GLK1	1.80770370209163
YGL253W	HXK2	1.80770370209163
YLR446W	YLR446W	1.80770370209163
YML120C	NDI1	1.60732680722971
YCR012W	PGK1	1.18391881856083
YGR192C	TDH3	1.18391881856083
YJL052W	TDH1	1.18391881856083
YJR009C	TDH2	1.18391881856083
YBL039C	URA7	0.286884220862647
YJR103W	URA8	0.286884220862647
YBR029C	CDS1	0.277067582851028
YER070W	RNR1	0.274520080226222
YIL066C	RNR3	0.274520080226222
YJL026W	RNR2	0.274520080226222
YGR087C	PDC6	0.272851308105607
YLR044C	PDC1	0.272851308105607
YLR134W	PDC5	0.272851308105607
YGR180C	RNR4	0.271485130057385
YOR175C	ALE1	0.263374135842353
YDL052C	SLC1	0.236319962901463
YCR048W	ARE1	0.22000355807174
YDR503C	LPP1	0.207961799643926
YNR019W	ARE2	0.207585615166673
YOR245C	DGA1	0.164378422750009
YDL066W	IDP1	0.0273985357603062
YGR208W	SER2	0.0260083156855923
YER081W	SER3	0.0260083156855923
YIL074C	SER33	0.0260083156855923
YOR184W	SER1	0.0260083156855923
YAL062W	GDH3	0.0244424616628918
YOR375C	GDH1	0.0244424616628918
YLR058C	SHM2	0.00853594174162895
YBR263W	SHM1	0.00352476241935972
YAL044C	GCV3	0.00176237945794391
YDR019C	GCV1	0.00176237945794391
YMR189W	GCV2	0.00176237945794391
YOR388C	FDH1	0.000143398437785062
YDR148C	KGD2	0
YIL125W	KGD1	0
