gene_IDs	gene_names	K_score
YBR117C	TKL2	44.3047914019678
YPR074C	TKL1	37.9044839142978
YBR296C	PHO89	22.8245349576479
YCR037C	PHO87	22.8245349576479
YJL198W	PHO90	22.8245349576479
YML123C	PHO84	22.8245349576479
YNR013C	PHO91	22.8245349576479
YJL121C	RPE1	12.3032539636176
YHR183W	GND1	7.54712273801084
YGR248W	SOL4	7.54712273801084
YGR256W	GND2	7.54712273801084
YNL241C	ZWF1	7.54712273801084
YHR163W	SOL3	7.54712273801084
YLR174W	IDP2	6.3032991011159
YDR007W	TRP1	6.25474262328127
YDR354W	TRP4	6.25474262328127
YER090W	TRP2	6.25474262328127
YGL026C	TRP5	6.25474262328127
YKL211C	TRP3	6.25474262328127
YOR095C	RKI1	4.92956262867689
YKL029C	MAE1	4.49837877351203
YHR018C	ARG4	4.46565651146562
YJL088W	ARG3	4.46565651146562
YOL058W	ARG1	4.46565651146562
YOL064C	MET22	3.93194637359526
YPR167C	MET16	3.93194637359526
YCL050C	APA1	3.93194637359526
YFR030W	MET10	3.93194637359526
YJR130C	STR2	3.93194637359526
YKL001C	MET14	3.93194637359526
YJR137C	MET5	3.93194637340428
YNL316C	PHA2	3.71093120788631
YGR124W	ASN2	3.55974417058245
YPR145W	ASN1	3.55974417058245
YPR021C	AGC1	3.49675531127553
YDR353W	TRR1	3.38907080868594
YDR035W	ARO3	3.26669980380267
YGL148W	ARO2	3.26669980380267
YBR249C	ARO4	3.26669980380267
YDR127W	ARO1	3.26669980380267
YBR294W	SUL1	3.1062243111649
YLR092W	SUL2	3.1062243111649
YPR035W	GLN1	3.08576950732735
YOR303W	CPA1	2.96307470526737
YJR109C	CPA2	2.96307470526624
YOL126C	MDH2	2.94855504514894
YPR060C	ARO7	2.90696757823353
YBR248C	HIS7	2.766440260902
YCL030C	HIS4	2.766440260902
YER055C	HIS1	2.766440260902
YFR025C	HIS2	2.766440260902
YIL020C	HIS6	2.766440260902
YIL116W	HIS5	2.766440260902
YOR202W	HIS3	2.766440260902
YER069W	ARG5,6	2.68115284251021
YMR062C	ARG7	2.68115284251021
YOL140W	ARG8	2.68115284251021
YOR130C	ORT1	2.68115284251021
YBR218C	PYC2	2.65235350233086
YGL062W	PYC1	2.65235350233086
YER086W	ILV1	2.46589432102342
YLR027C	AAT2	2.41724837095228
YKL085W	MDH1	2.36360126947989
YNR001C	CIT1	2.36360126947989
YPR001W	CIT3	2.36360126947989
YDR158W	HOM2	2.34419314918903
YCR053W	THR4	2.34419314918903
YER052C	HOM3	2.34419314918903
YHR025W	THR1	2.34419314918903
YJR139C	HOM6	2.34419314918903
YDR384C	ATO3	2.28157987307821
YGR121C	MEP1	2.28157987307821
YNL142W	MEP2	2.28157987307821
YPR138C	MEP3	2.28157987307821
YNL036W	NCE103	2.03283235973765
YOR222W	ODC2	1.94664319120106
YPL134C	ODC1	1.94664319120106
YGL009C	LEU1	1.90629035771722
YCL018W	LEU2	1.90629035771722
