gene_IDs	gene_names	K_score
YAR035W	YAT1	1000
YBL015W	ACH1	1000
YBR252W	DUT1	1000
YCL025C	AGP1	1000
YCL064C	CHA1	1000
YDL171C	GLT1	1000
YEL046C	GLY1	1000
YER024W	YAT2	1000
YER170W	ADK2	1000
YFL055W	AGP3	1000
YKR039W	GAP1	1000
YML042W	CAT2	1000
YOR100C	CRC1	1000
YOR108W	LEU9	1000
YPL265W	DIP5	1000
YJR069C	HAM1	1000
YAL054C	ACS1	667.495324995179
YLR174W	IDP2	34.0452569949631
YOL126C	MDH2	9.12988167234872
YKL085W	MDH1	8.86912157420887
YNR001C	CIT1	8.86912157420887
YPR001W	CIT3	8.86912157420887
YDR158W	HOM2	5.80152901437197
YER052C	HOM3	5.80152901437197
YCR053W	THR4	5.80152901437197
YHR025W	THR1	5.80152901437197
YJR139C	HOM6	5.80152901437197
YBR218C	PYC2	5.20973893273413
YGL062W	PYC1	5.20973893273413
YPR035W	GLN1	4.95165184202883
YNL036W	NCE103	3.53905843868017
YBR221C	PDB1	3.30133708373271
YER178W	PDA1	3.30133708373271
YGR193C	PDX1	3.30133708373271
YNL071W	LAT1	3.30133708373271
YAL038W	CDC19	2.61215262129093
YOR347C	PYK2	2.61215262129093
YLR153C	ACS2	2.48597498553665
YPL061W	ALD6	2.48597498553665
YGR254W	ENO1	2.43376766076771
YHR174W	ENO2	2.43376766076771
YKL152C	GPM1	2.43376766076771
YMR323W	ERR3	2.43376766076771
YOR393W	ERR1	2.43376766076771
YPL281C	ERR2	2.43376766076771
YOR283W	YOR283W	2.43376766076771
YGL080W	MPC1	2.25194260014129
YGR243W	MPC3	2.25194260014129
YHR162W	MPC2	2.25194260014129
YLR027C	AAT2	2.09815260283523
YML120C	NDI1	1.83649621841586
YDR384C	ATO3	1.78110478425894
YGR121C	MEP1	1.78110478425894
YNL142W	MEP2	1.78110478425894
YPR138C	MEP3	1.78110478425894
YLR354C	TAL1	1.34199904214022
YGR043C	NQM1	1.34199904214022
YDR050C	TPI1	1.29572675396641
YCR012W	PGK1	1.28461665248559
YGR192C	TDH3	1.28461665248559
YJL052W	TDH1	1.28461665248559
YJR009C	TDH2	1.28461665248559
YBR196C	PGI1	1.26287230750254
YDR516C	EMI2	1.00066848541875
YER141W	COX15	0.145891666666667
YBR029C	CDS1	0.144171506168648
YBL039C	URA7	0.142200680052249
YJR103W	URA8	0.142200680052249
YOR175C	ALE1	0.137289447800988
YDL052C	SLC1	0.12385408491904
YER070W	RNR1	0.117141679781392
YIL066C	RNR3	0.117141679781392
YJL026W	RNR2	0.117141679781392
YCR048W	ARE1	0.114238975572778
YGR180C	RNR4	0.113430024241987
YDR503C	LPP1	0.107871341955937
YNR019W	ARE2	0.1078147337317
YAL044C	GCV3	0.10405782910992
YDR019C	GCV1	0.10405782910992
YMR189W	GCV2	0.10405782910992
YOR245C	DGA1	0.0854721005975494
YDL085W	NDE2	0.0833059559391579
YMR145C	NDE1	0.0833059559391579
YOR095C	RKI1	0.0733086357359206
YLR058C	SHM2	0.0043553992467216
YCL040W	GLK1	0
YDL066W	IDP1	0
YDR148C	KGD2	0
YER081W	SER3	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR087C	PDC6	0
YGR208W	SER2	0
YGR248W	SOL4	0
YGR256W	GND2	0
YHR002W	LEU5	0
YHR163W	SOL3	0
YHR183W	GND1	0
YIL074C	SER33	0
YIL125W	KGD1	0
YLR044C	PDC1	0
YLR134W	PDC5	0
YNL241C	ZWF1	0
YOR184W	SER1	0
YOR388C	FDH1	0
YLR446W	YLR446W	0
