gene_IDs	gene_names	K_score
YAR035W	YAT1	1000
YBL015W	ACH1	1000
YBR252W	DUT1	1000
YCL025C	AGP1	1000
YCL064C	CHA1	1000
YDL171C	GLT1	1000
YDR508C	GNP1	1000
YEL046C	GLY1	1000
YER024W	YAT2	1000
YER170W	ADK2	1000
YKR039W	GAP1	1000
YML042W	CAT2	1000
YOR100C	CRC1	1000
YOR108W	LEU9	1000
YPL265W	DIP5	1000
YJR069C	HAM1	1000
YKL060C	FBA1	667.095758925965
YGR240C	PFK1	500.643638388947
YMR205C	PFK2	400.772369874143
YLR174W	IDP2	33.1126293271292
YPR035W	GLN1	15.2703163380934
YOL126C	MDH2	8.8828351139439
YKL085W	MDH1	8.62614726899214
YNR001C	CIT1	8.62614726899214
YPR001W	CIT3	8.62614726899214
YBR218C	PYC2	4.66312883665136
YGL062W	PYC1	4.66312883665136
YBR221C	PDB1	3.65699748887183
YER178W	PDA1	3.65699748887183
YGR193C	PDX1	3.65699748887183
YNL071W	LAT1	3.65699748887183
YDR158W	HOM2	3.52413875332452
YER052C	HOM3	3.52413875332452
YCR053W	THR4	3.52413875332451
YHR025W	THR1	3.52413875332451
YJR139C	HOM6	3.52413875332451
YDR384C	ATO3	3.31890976417237
YGR121C	MEP1	3.31890976417237
YNL142W	MEP2	3.31890976417237
YPR138C	MEP3	3.31890976417237
YNL036W	NCE103	3.17518139801536
YAL038W	CDC19	2.61215312611632
YOR347C	PYK2	2.61215312611632
YGL080W	MPC1	2.49329125310786
YGR243W	MPC3	2.49329125310786
YHR162W	MPC2	2.49329125310786
YGR254W	ENO1	2.43376809700643
YHR174W	ENO2	2.43376809700643
YKL152C	GPM1	2.43376809700643
YMR323W	ERR3	2.43376809700643
YOR393W	ERR1	2.43376809700643
YPL281C	ERR2	2.43376809700643
YOR283W	YOR283W	2.43376809700643
YML120C	NDI1	1.83649616721882
YLR354C	TAL1	1.3419922170622
YGR043C	NQM1	1.3419922170622
YDR050C	TPI1	1.29572670458453
YCR012W	PGK1	1.28461662817822
YGR192C	TDH3	1.28461662817822
YJL052W	TDH1	1.28461662817822
YJR009C	TDH2	1.28461662817822
YBR196C	PGI1	1.26287216877425
YDR516C	EMI2	1.0006684855013
YER141W	COX15	0.145891666666667
YBR029C	CDS1	0.142921692798185
YBL039C	URA7	0.142221809719814
YJR103W	URA8	0.142221809719814
YOR175C	ALE1	0.135432337839842
YBR263W	SHM1	0.124109105305367
YDL052C	SLC1	0.120352917520256
YER070W	RNR1	0.117199523590023
YIL066C	RNR3	0.117199523590023
YJL026W	RNR2	0.117199523590023
YGR180C	RNR4	0.113496880070204
YDR503C	LPP1	0.107871341623312
YOR095C	RKI1	0.0733086712503489
YAL044C	GCV3	0.0620544909729752
YDR019C	GCV1	0.0620544909729752
YMR189W	GCV2	0.0620544909729752
YLR058C	SHM2	0.00435539812318847
YCL040W	GLK1	0
YDL066W	IDP1	0
YDR148C	KGD2	0
YER081W	SER3	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR087C	PDC6	0
YGR208W	SER2	0
YGR248W	SOL4	0
YGR256W	GND2	0
YHR002W	LEU5	0
YHR163W	SOL3	0
YHR183W	GND1	0
YIL074C	SER33	0
YIL125W	KGD1	0
YLR044C	PDC1	0
YLR134W	PDC5	0
YNL241C	ZWF1	0
YOR184W	SER1	0
YOR388C	FDH1	0
YLR446W	YLR446W	0
