gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR252W	DUT1	1000
YDL205C	HEM3	1000
YDR044W	HEM13	1000
YDR047W	HEM12	1000
YDR232W	HEM1	1000
YDR300C	PRO1	1000
YEL046C	GLY1	1000
YER014W	HEM14	1000
YER065C	ICL1	1000
YER170W	ADK2	1000
YFL030W	AGX1	1000
YGL040C	HEM2	1000
YMR319C	FET4	1000
YOR176W	HEM15	1000
YOR278W	HEM4	1000
YOR323C	PRO2	1000
YPL172C	COX10	1000
YMR058W	FET3	1000
YJR069C	HAM1	1000
YDR452W	PPN1	1000
YPL262W	FUM1	342.519264624532
YBR117C	TKL2	53.4738917653541
YPR074C	TKL1	45.2149587392686
YJR095W	SFC1	29.8962000721562
YJL121C	RPE1	12.1792266349265
YJL167W	ERG20	9.44855585209767
YPL117C	IDI1	9.44855585209767
YLR450W	HMG2	9.44855585209767
YML075C	HMG1	9.44855585209767
YMR208W	ERG12	9.44855585209767
YMR220W	ERG8	9.44855585209767
YNR043W	MVD1	9.44855585209767
YHR002W	LEU5	9.42054703875261
YGR248W	SOL4	6.74146892873974
YGR256W	GND2	6.74146892873974
YHR163W	SOL3	6.74146892873974
YHR183W	GND1	6.74146892873974
YNL241C	ZWF1	6.74146892873974
YHR137W	ARO9	6.03810637607955
YPR021C	AGC1	4.48367320411202
YOL126C	MDH2	4.14641652238355
YOR095C	RKI1	3.74328198919942
YBR221C	PDB1	3.70473294475662
YER178W	PDA1	3.70473294475662
YGR193C	PDX1	3.70473294475662
YNL071W	LAT1	3.70473294475662
YCR053W	THR4	3.6390333663321
YDR158W	HOM2	3.6390333663321
YER052C	HOM3	3.6390333663321
YHR025W	THR1	3.6390333663321
YJR139C	HOM6	3.6390333663321
YNR001C	CIT1	2.8898978099012
YPR001W	CIT3	2.8898978099012
YBR218C	PYC2	2.79151495783717
YGL062W	PYC1	2.79151495783717
YGL080W	MPC1	2.70452956664971
YGR243W	MPC3	2.70452956664971
YHR162W	MPC2	2.70452956664971
YKL085W	MDH1	2.63800706529227
YAL038W	CDC19	2.22083798306362
YOR347C	PYK2	2.22083798306362
YGR254W	ENO1	2.09734585079447
YHR174W	ENO2	2.09734585079447
YKL152C	GPM1	2.09734585079447
YMR323W	ERR3	2.09734585079447
YOR393W	ERR1	2.09734585079447
YPL281C	ERR2	2.09734585079447
YOR283W	YOR283W	2.09734585079447
YAL012W	CYS3	1.98244161739663
YGR155W	CYS4	1.98244161739663
YNL036W	NCE103	1.92811355438199
YBR248C	HIS7	1.30634583215536
YCL030C	HIS4	1.30634583215536
YER055C	HIS1	1.30634583215536
YFR025C	HIS2	1.30634583215536
YIL020C	HIS6	1.30634583215536
YIL116W	HIS5	1.30634583215536
YOR202W	HIS3	1.30634583215536
YCR012W	PGK1	1.1287302297074
YGR192C	TDH3	1.1287302297074
YJL052W	TDH1	1.1287302297074
YJR009C	TDH2	1.1287302297074
YDR516C	EMI2	1.00066848700543
YER069W	ARG5,6	0.149545237879894
YMR062C	ARG7	0.149545237879894
YOL140W	ARG8	0.149545237879894
YOR130C	ORT1	0.149545237879894
YER141W	COX15	0.145891666666667
YJR103W	URA8	0.133931198022575
YBL039C	URA7	0.133931198022575
YDR503C	LPP1	0.107871341696357
YGR208W	SER2	0.0459317185140961
YER081W	SER3	0.0459317185140961
YIL074C	SER33	0.0459317185140961
YOR184W	SER1	0.0459317185140961
YLR058C	SHM2	0.0141054471656384
YGR204W	ADE3	0.00758467223581747
YOR388C	FDH1	0.00150605192376675
YAL044C	GCV3	0
YBR263W	SHM1	0
YCL040W	GLK1	0
YDR019C	GCV1	0
YDR148C	KGD2	0
YER070W	RNR1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YLR438W	CAR2	0
YMR189W	GCV2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YLR446W	YLR446W	0
