gene_IDs	gene_names	K_score
YDL078C	MDH3	1000
YDR256C	CTA1	1000
YER065C	ICL1	1000
YGL205W	POX1	1000
YGR155W	CYS4	1000
YGR248W	SOL4	1000
YGR256W	GND2	1000
YHR163W	SOL3	1000
YHR183W	GND1	1000
YIL160C	POT1	1000
YKL106W	AAT1	1000
YKR009C	FOX2	1000
YML042W	CAT2	1000
YNL117W	MLS1	1000
YNL241C	ZWF1	1000
YOR100C	CRC1	1000
YDR452W	PPN1	1000
YDR380W	ARO10	91.1243237941644
YKL085W	MDH1	14.2624643471352
YJR095W	SFC1	11.4843397583766
YJR051W	OSM1	11.4843397583766
YPL061W	ALD6	6.56141274488908
YNR001C	CIT1	5.93197909417578
YPR001W	CIT3	5.93197909417578
YPL262W	FUM1	5.42897441254999
YLR153C	ACS2	5.16088821783385
YDL141W	BPL1	5.03666102874808
YNR016C	ACC1	5.03666102874808
YAL038W	CDC19	3.64546907479888
YGR254W	ENO1	3.64546907479888
YOR283W	YOR283W	3.64546907479888
YHR174W	ENO2	3.64546907479888
YKL152C	GPM1	3.64546907479888
YOR347C	PYK2	3.64546907479888
YMR323W	ERR3	3.64546907479888
YOR393W	ERR1	3.64546907479888
YPL281C	ERR2	3.64546907479888
YNL036W	NCE103	2.57010763336844
YCR012W	PGK1	1.30609445054171
YGR192C	TDH3	1.30609445054171
YJL052W	TDH1	1.30609445054171
YJR009C	TDH2	1.30609445054171
YDR050C	TPI1	1.27833094734531
YMR205C	PFK2	1.26662942106384
YGR240C	PFK1	1.26662941487655
YKL060C	FBA1	1.26662941487655
YLR354C	TAL1	1.20083235744521
YGR043C	NQM1	1.20083235744521
YDR516C	EMI2	1.0008260910438
YER141W	COX15	0.149704166666667
YJL130C	URA2	0.138237287105954
YIL125W	KGD1	0.118225827527384
YDR148C	KGD2	0.1181875
YJR109C	CPA2	0.115957811105925
YOR303W	CPA1	0.115957811105925
YDR503C	LPP1	0.0809035298017043
YFL018C	LPD1	0.0675361108384931
YAL044C	GCV3	0.05909375
YDR019C	GCV1	0.05909375
YMR189W	GCV2	0.05909375
YKL069W	YKL069W	0.0272630281287559
YJR130C	STR2	0.0131263247366666
YPR035W	GLN1	0.00877893859582461
YLR058C	SHM2	0.00729426385767441
YGR204W	ADE3	0.00669403890851696
YAL062W	GDH3	0
YBR115C	LYS2	0
YBR218C	PYC2	0
YBR221C	PDB1	0
YBR263W	SHM1	0
YCL009C	ILV6	0
YCL018W	LEU2	0
YCL040W	GLK1	0
YCL050C	APA1	0
YCR005C	CIT2	0
YCR053W	THR4	0
YDL066W	IDP1	0
YDL131W	LYS21	0
YDR158W	HOM2	0
YDR234W	LYS4	0
YDR300C	PRO1	0
YDR353W	TRR1	0
YDR384C	ATO3	0
YER015W	FAA2	0
YER023W	PRO3	0
YER052C	HOM3	0
YER069W	ARG5,6	0
YER070W	RNR1	0
YER081W	SER3	0
YER091C	MET6	0
YER152C	YER152C	0
YER178W	PDA1	0
YFR053C	HXK1	0
YGL009C	LEU1	0
YGL062W	PYC1	0
YGL080W	MPC1	0
YGL125W	MET13	0
YGL154C	LYS5	0
YGL184C	STR3	0
YGL253W	HXK2	0
YGR121C	MEP1	0
YGR180C	RNR4	0
YGR193C	PDX1	0
YGR202C	PCT1	0
YGR208W	SER2	0
YGR243W	MPC3	0
YHR025W	THR1	0
YHR123W	EPT1	0
YHR162W	MPC2	0
YIL066C	RNR3	0
YIL074C	SER33	0
YIL094C	LYS12	0
YIR034C	LYS1	0
YJL026W	RNR2	0
YJL088W	ARG3	0
YJR016C	ILV3	0
YJR139C	HOM6	0
YKL001C	MET14	0
YKL029C	MAE1	0
YLR043C	TRX1	0
YLR133W	CKI1	0
YLR155C	ASP3-1	0
YLR157C	ASP3-2	0
YLR158C	ASP3-3	0
YLR160C	ASP3-4	0
YLR355C	ILV5	0
YML059C	NTE1	0
YMR062C	ARG7	0
YMR108W	ILV2	0
YMR241W	YHM2	0
YMR246W	FAA4	0
YNL037C	IDH1	0
YNL071W	LAT1	0
YNL104C	LEU4	0
YNL130C	CPT1	0
YNL142W	MEP2	0
YNR008W	LRO1	-0
YNR050C	LYS9	0
YOL064C	MET22	0
YOL126C	MDH2	0
YOL140W	ARG8	0
YOR130C	ORT1	0
YOR136W	IDH2	0
YOR184W	SER1	0
YOR317W	FAA1	0
YOR323C	PRO2	0
YOR375C	GDH1	0
YOR388C	FDH1	0
YPL023C	MET12	0
YPL092W	SSU1	0
YPL110C	GDE1	0
YPR128C	ANT1	0
YPR138C	MEP3	0
YPR140W	TAZ1	0
YPR167C	MET16	0
YFR055W	IRC7	0
YLR446W	YLR446W	0
YJL200C	ACO2	0
