gene_IDs	gene_names	K_score
YBR069C	TAT1	1000
YDR300C	PRO1	1000
YGR191W	HIP1	1000
YKL106W	AAT1	1000
YKR039W	GAP1	1000
YOR323C	PRO2	1000
YCL030C	HIS4	91.794706252493
YIL020C	HIS6	91.794706252493
YOR202W	HIS3	91.794706252493
YBR248C	HIS7	91.794706252493
YER055C	HIS1	91.794706252493
YIL116W	HIS5	91.794706252493
YFR025C	HIS2	91.794706252493
YNL220W	ADE12	58.1018847294376
YLR028C	ADE16	42.573562758262
YMR120C	ADE17	42.573562758262
YBR296C	PHO89	32.0698782070595
YCR037C	PHO87	32.0698782070595
YJL198W	PHO90	32.0698782070595
YML123C	PHO84	32.0698782070595
YNR013C	PHO91	32.0698782070595
YBL068W	PRS4	23.7454933958226
YER099C	PRS2	23.7454933958226
YHL011C	PRS3	23.7454933958226
YKL181W	PRS1	23.7454933958226
YOL061W	PRS5	23.7454933958226
YPL262W	FUM1	17.8944365413856
YOR095C	RKI1	10.1447473231775
YPR035W	GLN1	8.35653019160514
YKL085W	MDH1	5.9680197275252
YGR248W	SOL4	4.93090871051951
YGR256W	GND2	4.93090871051951
YHR163W	SOL3	4.93090871051951
YHR183W	GND1	4.93090871051951
YNL241C	ZWF1	4.93090871051951
YDR384C	ATO3	3.49559018751875
YGR121C	MEP1	3.49559018751875
YNL142W	MEP2	3.49559018751875
YPR138C	MEP3	3.49559018751875
YDR226W	ADK1	2.26859421907822
YAL062W	GDH3	1.66487178386485
YOR375C	GDH1	1.66487178386485
YLL052C	AQY2	1.51802190661358
YPR192W	AQY1	1.51802190661358
YMR267W	PPA2	1.32800230233533
YML120C	NDI1	1.22467839796912
YDR516C	EMI2	1.00066848662875
YNL036W	NCE103	0.152158399761233
YBR218C	PYC2	0.151990242576479
YGL062W	PYC1	0.151990241864159
YKL029C	MAE1	0.148955870493147
YER069W	ARG5,6	0.148952669905585
YMR062C	ARG7	0.148952669905585
YOR130C	ORT1	0.148952669905585
YOL140W	ARG8	0.148952669905585
YER141W	COX15	0.145891666666667
YLR438W	CAR2	0.145491488122725
YBR029C	CDS1	0.142580834607204
YOR175C	ALE1	0.134925853305002
YDL052C	SLC1	0.119398053684223
YCR048W	ARE1	0.114117491758866
YDR503C	LPP1	0.107871341535053
YNR019W	ARE2	0.107676211835029
YOR245C	DGA1	0.0852643177525432
YCL040W	GLK1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YOL126C	MDH2	0
YLR446W	YLR446W	0
