gene_IDs	gene_names	K_score
YBR208C	DUR1,2	1000
YDL080C	THI3	1000
YDL171C	GLT1	1000
YDR148C	KGD2	1000
YEL046C	GLY1	1000
YEL047C	FRD1	1000
YGR244C	LSC2	1000
YGR248W	SOL4	1000
YGR256W	GND2	1000
YHR037W	PUT2	1000
YHR163W	SOL3	1000
YHR183W	GND1	1000
YIL125W	KGD1	1000
YKL106W	AAT1	1000
YLR089C	ALT1	1000
YLR142W	PUT1	1000
YLR438W	CAR2	1000
YNL241C	ZWF1	1000
YOR142W	LSC1	1000
YPL111W	CAR1	1000
YDR158W	HOM2	160.973860845572
YER052C	HOM3	160.973860845572
YJR139C	HOM6	160.973860845572
YDR380W	ARO10	92.4717113347962
YOR095C	RKI1	22.8780400313624
YLR027C	AAT2	20.6405028650467
YBR296C	PHO89	14.4695421577719
YCR037C	PHO87	14.4695421577719
YJL198W	PHO90	14.4695421577719
YML123C	PHO84	14.4695421577719
YNR013C	PHO91	14.4695421577719
YGL062W	PYC1	11.4975033820308
YBR218C	PYC2	11.4975033816143
YJR051W	OSM1	8.16029160334685
YNL036W	NCE103	5.07804236168361
YKL069W	YKL069W	4.73981637448849
YER023W	PRO3	3.74272191667038
YDR384C	ATO3	3.64196056486199
YGR121C	MEP1	3.64196056486199
YNL142W	MEP2	3.64196056486199
YPR138C	MEP3	3.64196056486199
YAL038W	CDC19	2.3006894976602
YGR254W	ENO1	2.3006894976602
YHR174W	ENO2	2.3006894976602
YKL152C	GPM1	2.3006894976602
YOR347C	PYK2	2.3006894976602
YMR323W	ERR3	2.3006894976602
YOR393W	ERR1	2.3006894976602
YPL281C	ERR2	2.3006894976602
YOR283W	YOR283W	2.3006894976602
YKL029C	MAE1	1.42346982031695
YAL062W	GDH3	1.31466198664234
YOR375C	GDH1	1.31466198664234
YCR012W	PGK1	1.08791424457756
YGR192C	TDH3	1.08791424457756
YJL052W	TDH1	1.08791424457756
YJR009C	TDH2	1.08791424457756
YDR516C	EMI2	1.05879161114218
YAL012W	CYS3	1.0435155049468
YGL184C	STR3	1.0435155049468
YFR055W	IRC7	1.0435155049468
YDR454C	GUK1	0.151913304796834
YER141W	COX15	0.149704166666667
YBR029C	CDS1	0.140762919980831
YJL130C	URA2	0.138237251070285
YOR175C	ALE1	0.132224602484502
YGR180C	RNR4	0.120392910668069
YER070W	RNR1	0.118213269961831
YIL066C	RNR3	0.118213269961831
YJL026W	RNR2	0.118213269961831
YJR109C	CPA2	0.115957811106238
YOR303W	CPA1	0.115957811105925
YDL052C	SLC1	0.114305446558719
YDR503C	LPP1	0.107871327804258
YAL054C	ACS1	0.104596903473627
YLR153C	ACS2	0.104596903473627
YMR246W	FAA4	0.0992468237913237
YOR317W	FAA1	0.0992468237913207
YLR174W	IDP2	0.057544167756903
YDR353W	TRR1	0.0338854386326485
YHR002W	LEU5	0.0304177979538032
YPL061W	ALD6	0.00638858338176251
YBR221C	PDB1	0.00460850351423481
YER178W	PDA1	0.00460850351423481
YGR193C	PDX1	0.00460850351423481
YNL071W	LAT1	0.00460850351423481
YMR267W	PPA2	0.00238605444164365
YBR115C	LYS2	0
YBR291C	CTP1	0
YCL009C	ILV6	0
YCL018W	LEU2	0
YCL040W	GLK1	0
YCR053W	THR4	0
YDL066W	IDP1	0
YDL131W	LYS21	0
YDR234W	LYS4	0
YDR300C	PRO1	0
YER069W	ARG5,6	0
YER152C	YER152C	0
YFR053C	HXK1	0
YGL009C	LEU1	0
YGL080W	MPC1	0
YGL154C	LYS5	0
YGL253W	HXK2	0
YGR243W	MPC3	0
YHR018C	ARG4	0
YHR025W	THR1	0
YHR162W	MPC2	0
YIL094C	LYS12	0
YIR034C	LYS1	0
YJL060W	BNA3	0
YJL088W	ARG3	0
YJR016C	ILV3	0
YLR304C	ACO1	0
YLR355C	ILV5	0
YMR062C	ARG7	0
YMR108W	ILV2	0
YMR241W	YHM2	0
YNL037C	IDH1	0
YNL104C	LEU4	0
YNR001C	CIT1	0
YNR050C	LYS9	0
YOL058W	ARG1	0
YOL126C	MDH2	0
YOL140W	ARG8	0
YOR130C	ORT1	0
YOR136W	IDH2	0
YOR323C	PRO2	0
YPR001W	CIT3	0
YPR035W	GLN1	0
YLR446W	YLR446W	0
YJL200C	ACO2	0
