gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR252W	DUT1	1000
YER170W	ADK2	1000
YJR069C	HAM1	1000
YBR291C	CTP1	501.391782147599
YHR208W	BAT1	336.906228503494
YPL262W	FUM1	334.498545252272
YGR155W	CYS4	65.9987977630463
YAL012W	CYS3	65.9987977630463
YBR117C	TKL2	36.801470025931
YPR074C	TKL1	31.4960556972965
YML082W	YML082W	25.7067192954859
YLL058W	YLL058W	23.356386104341
YJL121C	RPE1	10.2743983827589
YLR174W	IDP2	9.55219087571444
YJR137C	MET5	9.25438695747181
YJR130C	STR2	9.25438695747176
YKL001C	MET14	9.25438695747176
YOL064C	MET22	9.25438695747176
YCL050C	APA1	9.25438695747175
YPR167C	MET16	9.25438695747175
YFR030W	MET10	9.25438695747139
YDR353W	TRR1	7.94700893259444
YBR294W	SUL1	7.26584397959987
YLR092W	SUL2	7.26584397959987
YKL029C	MAE1	6.82081322482045
YGR248W	SOL4	6.24060026886723
YGR256W	GND2	6.24060026886723
YHR163W	SOL3	6.24060026886723
YNL241C	ZWF1	6.24060026886723
YHR183W	GND1	6.24060026886723
YPR035W	GLN1	5.39519882913141
YOL126C	MDH2	4.17887735768979
YOR095C	RKI1	4.02003664384505
YPR021C	AGC1	3.99009714941481
YNL316C	PHA2	3.39834531319697
YBR248C	HIS7	3.14921939768897
YCL030C	HIS4	3.14921939768897
YER055C	HIS1	3.14921939768897
YFR025C	HIS2	3.14921939768897
YIL020C	HIS6	3.14921939768897
YIL116W	HIS5	3.14921939768897
YOR202W	HIS3	3.14921939768897
YPR060C	ARO7	2.99503846038959
YCL018W	LEU2	2.83377992404045
YGL009C	LEU1	2.83377992404045
YNL104C	LEU4	2.83377992404045
YBR249C	ARO4	2.78356429519837
YDR035W	ARO3	2.78356429519837
YDR127W	ARO1	2.78356429519837
YGL148W	ARO2	2.78356429519837
YBR115C	LYS2	2.75578473388481
YDL131W	LYS21	2.75578473388481
YDR234W	LYS4	2.75578473388481
YGL154C	LYS5	2.75578473388481
YIL094C	LYS12	2.75578473388481
YIR034C	LYS1	2.75578473388481
YJL060W	BNA3	2.75578473388481
YNR050C	LYS9	2.75578473388481
YJL200C	ACO2	2.75578473388481
YER152C	YER152C	2.75578473388481
YBR218C	PYC2	2.71289296173411
YGL062W	PYC1	2.71289296173411
YKL085W	MDH1	2.51705733961097
YNR001C	CIT1	2.51705733961097
YPR001W	CIT3	2.51705733961097
YOR222W	ODC2	2.48941124593039
YPL134C	ODC1	2.48941124593039
YBR166C	TYR1	2.46559886150819
YGL202W	ARO8	2.40802962626114
YHR018C	ARG4	2.31612357691852
YJL088W	ARG3	2.31612357691852
YOL058W	ARG1	2.31612357691852
YGR124W	ASN2	2.228211137232
YPR145W	ASN1	2.228211137232
YER069W	ARG5,6	2.13688395090875
YMR062C	ARG7	2.13688395090875
YOL140W	ARG8	2.13688395090875
YOR130C	ORT1	2.13688395090875
YDR384C	ATO3	2.12460503467887
YGR121C	MEP1	2.12460503467887
YNL142W	MEP2	2.12460503467887
YPR138C	MEP3	2.12460503467887
YNL220W	ADE12	2.04738367115955
YBR221C	PDB1	2.04360531795969
YER178W	PDA1	2.04360531795969
YGR193C	PDX1	2.04360531795969
YNL071W	LAT1	2.04360531795969
YNL036W	NCE103	1.97117527020657
YER023W	PRO3	1.9619971561396
YLR438W	CAR2	1.9619971561396
YHR174W	ENO2	1.86474438850719
YKL152C	GPM1	1.86474438850719
YMR323W	ERR3	1.86474438850719
YOR393W	ERR1	1.86474438850719
YPL281C	ERR2	1.86474438850719
YGR254W	ENO1	1.86474438850719
YOR283W	YOR283W	1.86474438850719
YHR137W	ARO9	1.83056375097672
YAL038W	CDC19	1.79289644272404
YOR347C	PYK2	1.79289644272404
YGL080W	MPC1	1.62990453569502
YGR243W	MPC3	1.62990453569502
YHR162W	MPC2	1.62990453569502
YJR109C	CPA2	1.56237703001417
