gene_IDs	gene_names	K_score
YAR035W	YAT1	1000
YBL015W	ACH1	1000
YCL064C	CHA1	1000
YEL046C	GLY1	1000
YER024W	YAT2	1000
YER073W	ALD5	1000
YER170W	ADK2	1000
YLR138W	NHA1	1000
YML042W	CAT2	1000
YMR170C	ALD2	1000
YOR100C	CRC1	1000
YOR108W	LEU9	1000
YOR374W	ALD4	1000
YMR110C	HFD1	1000
YDR456W	NHX1	1000
YDR038C	ENA5	1000
YDR039C	ENA2	1000
YDR040C	ENA1	1000
CAD	CAD	1000
YAL054C	ACS1	668.689064456538
YBR296C	PHO89	67.8070683513704
YCR037C	PHO87	67.8070683513704
YJL198W	PHO90	67.8070683513704
YML123C	PHO84	67.8070683513704
YNR013C	PHO91	67.8070683513704
YOL126C	MDH2	8.93799882679225
YKL085W	MDH1	8.6804018049315
YNR001C	CIT1	8.6804018049315
YPR001W	CIT3	8.6804018049315
YLR153C	ACS2	6.06719336961483
YGL062W	PYC1	4.78519183110717
YBR218C	PYC2	4.78519183110717
YPL061W	ALD6	4.52684243467181
YGR087C	PDC6	4.35962688586844
YLR044C	PDC1	4.35962688586844
YLR134W	PDC5	4.35962688586844
YCR053W	THR4	4.03270501685387
YDR158W	HOM2	4.03270501685387
YER052C	HOM3	4.03270501685387
YHR025W	THR1	4.03270501685387
YJR139C	HOM6	4.03270501685387
YNL036W	NCE103	3.2569790560834
YAL038W	CDC19	2.61215262129097
YOR347C	PYK2	2.61215262129097
YGR254W	ENO1	2.43376766076774
YHR174W	ENO2	2.43376766076774
YKL152C	GPM1	2.43376766076774
YMR323W	ERR3	2.43376766076774
YOR393W	ERR1	2.43376766076774
YPL281C	ERR2	2.43376766076774
YOR283W	YOR283W	2.43376766076774
YBR221C	PDB1	1.51475163868981
YER178W	PDA1	1.51475163868981
YGR193C	PDX1	1.51475163868981
YNL071W	LAT1	1.51475163868981
YML120C	NDI1	1.37692585274032
YLR354C	TAL1	1.3420121696892
YGR043C	NQM1	1.3420121696892
YDR050C	TPI1	1.29572675394927
YGR240C	PFK1	1.28729586359742
YKL060C	FBA1	1.28729586359742
YMR205C	PFK2	1.28729586359742
YCR012W	PGK1	1.2846166524553
YGR192C	TDH3	1.2846166524553
YJL052W	TDH1	1.2846166524553
YJR009C	TDH2	1.2846166524553
YBR196C	PGI1	1.26287230750635
YDR226W	ADK1	1.17007891584267
YDR516C	EMI2	1.00066875659346
YDR454C	GUK1	0.151891028387322
YER141W	COX15	0.145891666666667
YBR263W	SHM1	0.142868763260932
YAL044C	GCV3	0.142868479249346
YDR019C	GCV1	0.142868479249346
YMR189W	GCV2	0.142868479236222
YBL039C	URA7	0.133931198022575
YJR103W	URA8	0.133931198022575
YER070W	RNR1	0.099965314940497
YIL066C	RNR3	0.099965314940497
YJL026W	RNR2	0.099965314940497
YGR180C	RNR4	0.0922238727791205
YDR503C	LPP1	0.0809035312274104
YOR095C	RKI1	0.0733086357242954
YMR246W	FAA4	0.0386528127230701
YOR317W	FAA1	0.0300633002378737
YLR058C	SHM2	0.00435539924678193
YCL040W	GLK1	0
YDL066W	IDP1	0
YDR148C	KGD2	0
YER081W	SER3	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR202C	PCT1	0
YGR208W	SER2	0
YGR248W	SOL4	0
YGR256W	GND2	0
YHR002W	LEU5	0
YHR123W	EPT1	0
YHR163W	SOL3	0
YHR183W	GND1	0
YIL074C	SER33	0
YIL125W	KGD1	0
YLR133W	CKI1	0
YML059C	NTE1	0
YMR267W	PPA2	0
YNL130C	CPT1	0
YNL241C	ZWF1	0
YNR008W	LRO1	-0
YOR184W	SER1	0
YOR388C	FDH1	0
YPL110C	GDE1	0
YPR140W	TAZ1	0
YLR446W	YLR446W	0
