gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR145W	ADH5	1000
YDL168W	SFA1	1000
YEL046C	GLY1	1000
YER170W	ADK2	1000
YGR155W	CYS4	1000
YGR248W	SOL4	1000
YGR256W	GND2	1000
YHR163W	SOL3	1000
YHR183W	GND1	1000
YJR019C	TES1	1000
YKL188C	PXA2	1000
YLR348C	DIC1	1000
YNL241C	ZWF1	1000
YOL086C	ADH1	1000
YPL147W	PXA1	1000
YDR452W	PPN1	1000
YDR380W	ARO10	40.3509495555642
YBR296C	PHO89	8.60613101119685
YCR037C	PHO87	8.60613101119685
YJL198W	PHO90	8.60613101119685
YML123C	PHO84	8.60613101119685
YNR013C	PHO91	8.60613101119685
YAL038W	CDC19	3.72575411249349
YGR254W	ENO1	3.72575411249349
YHR174W	ENO2	3.72575411249349
YKL152C	GPM1	3.72575411249349
YOR347C	PYK2	3.72575411249349
YMR323W	ERR3	3.72575411249349
YOR393W	ERR1	3.72575411249349
YPL281C	ERR2	3.72575411249349
YOR283W	YOR283W	3.72575411249349
YGR240C	PFK1	1.30633577053163
YKL060C	FBA1	1.30633577053163
YMR205C	PFK2	1.30633577053163
YCR012W	PGK1	1.29709992964493
YGR192C	TDH3	1.29709992964493
YJL052W	TDH1	1.29709992964493
YJR009C	TDH2	1.29709992964493
YLR354C	TAL1	1.28483111518823
YGR043C	NQM1	1.28483111518823
YDR050C	TPI1	1.26590958935633
YBR196C	PGI1	1.15929210882997
YDR516C	EMI2	1.0008294439614
YER141W	COX15	0.149704166666667
YJL130C	URA2	0.138970682530006
YDL166C	FAP7	0.122388308833665
YJR109C	CPA2	0.117772060030008
YOR303W	CPA1	0.117772060030008
YCR048W	ARE1	0.114117480074713
YDR226W	ADK1	0.112350611782239
YDR503C	LPP1	0.10787132759802
YNR019W	ARE2	0.107676198292735
YNL036W	NCE103	0.0858395960680036
YOR245C	DGA1	0.085264297439103
YER053C	PIC2	0.0808230487790275
YJR077C	MIR1	0.0808230487790275
YHR002W	LEU5	0.0644860957037461
YLR295C	ATP14	0.0600382978684479
Q0080	ATP8	0.0600382978684466
Q0085	ATP6	0.0600382978684466
Q0130	OLI1	0.0600382978684466
YBL099W	ATP1	0.0600382978684466
YBR039W	ATP3	0.0600382978684466
YDL004W	ATP16	0.0600382978684466
YDR298C	ATP5	0.0600382978684466
YDR322C-A	TIM11	0.0600382978684466
YDR377W	ATP17	0.0600382978684466
YJR121W	ATP2	0.0600382978684466
YKL016C	ATP7	0.0600382978684466
YML081C-A	ATP18	0.0600382978684466
YPL078C	ATP4	0.0600382978684466
YPL271W	ATP15	0.0600382978684466
YPR020W	ATP20	0.0600382978684466
YOL077W-A	ATP19	0.0600382978684466
YPR035W	GLN1	0.0394997452827276
YBR221C	PDB1	0.0277592587040354
YER178W	PDA1	0.0277592587040354
YGR193C	PDX1	0.0277592587040354
YNL071W	LAT1	0.0277592587040354
YKL069W	YKL069W	0.0242929906282955
YGL080W	MPC1	0.0194978150208392
YGR243W	MPC3	0.0194978150208392
YHR162W	MPC2	0.0194978150208392
YJR130C	STR2	0.0131263247366666
YFL018C	LPD1	0.00719010215057003
YLR058C	SHM2	0.00718270405453232
YGR204W	ADE3	0.00660281103969423
YML120C	NDI1	0.00303189440505502
YLR153C	ACS2	0.00136298552175205
YPL061W	ALD6	0.00136298552175205
YMR267W	PPA2	9.61852500825579e-05
YKL085W	MDH1	1.28837321380084e-06
YOR222W	ODC2	4.57448155488406e-07
YPL134C	ODC1	4.57448155488406e-07
YAL044C	GCV3	0
YAL062W	GDH3	0
YBR115C	LYS2	0
YBR218C	PYC2	0
YBR263W	SHM1	0
YBR291C	CTP1	0
YCL009C	ILV6	0
YCL018W	LEU2	0
YCL040W	GLK1	0
YCL050C	APA1	0
YCR053W	THR4	0
YDL066W	IDP1	0
YDL131W	LYS21	0
YDR019C	GCV1	0
YDR148C	KGD2	0
YDR158W	HOM2	0
YDR234W	LYS4	0
YDR300C	PRO1	0
YDR353W	TRR1	0
YDR384C	ATO3	0
YER023W	PRO3	0
YER052C	HOM3	0
YER069W	ARG5,6	0
YER070W	RNR1	0
YER081W	SER3	0
YER091C	MET6	0
YER152C	YER152C	0
YFR053C	HXK1	0
YGL009C	LEU1	0
YGL062W	PYC1	0
YGL125W	MET13	0
YGL154C	LYS5	0
YGL184C	STR3	0
YGL253W	HXK2	0
YGR121C	MEP1	0
YGR180C	RNR4	0
YGR208W	SER2	0
YHR025W	THR1	0
YHR208W	BAT1	0
YIL066C	RNR3	0
YIL074C	SER33	0
YIL094C	LYS12	0
YIL125W	KGD1	0
YIR034C	LYS1	0
YJL026W	RNR2	0
YJL088W	ARG3	0
YJR016C	ILV3	0
YJR095W	SFC1	0
YJR139C	HOM6	0
YJR148W	BAT2	0
YKL001C	MET14	0
YKL029C	MAE1	0
YLR043C	TRX1	0
YLR155C	ASP3-1	0
YLR157C	ASP3-2	0
YLR158C	ASP3-3	0
YLR160C	ASP3-4	0
YLR174W	IDP2	0
YLR304C	ACO1	0
YLR355C	ILV5	0
YMR062C	ARG7	0
YMR108W	ILV2	0
YMR189W	GCV2	0
