gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR252W	DUT1	1000
YER170W	ADK2	1000
YJR069C	HAM1	1000
YHR208W	BAT1	337.011938472254
YPL262W	FUM1	334.102653979847
YBR117C	TKL2	32.9294779454784
YPR074C	TKL1	28.3776552824196
YJL121C	RPE1	10.1703646301845
YAL012W	CYS3	7.4060955124194
YGR155W	CYS4	7.4060955124194
YKL029C	MAE1	6.49491988378981
YGR248W	SOL4	6.39280388813599
YGR256W	GND2	6.39280388813599
YHR163W	SOL3	6.39280388813599
YHR183W	GND1	6.39280388813599
YNL241C	ZWF1	6.39280388813599
YDR007W	TRP1	5.77046947984806
YDR354W	TRP4	5.77046947984806
YER090W	TRP2	5.77046947984806
YGL026C	TRP5	5.77046947984806
YKL211C	TRP3	5.77046947984806
YBR166C	TYR1	4.76622590349304
YGR124W	ASN2	4.4665670438836
YPR145W	ASN1	4.4665670438836
YOR095C	RKI1	4.3148851347163
YPR021C	AGC1	4.16916957418395
YGL148W	ARO2	3.74374341068188
YBR249C	ARO4	3.74374341068188
YDR035W	ARO3	3.74374341068188
YDR127W	ARO1	3.74374341068188
YML082W	YML082W	3.5408129905257
YOL126C	MDH2	3.50360600901397
YPR060C	ARO7	3.49974498529219
YLL058W	YLL058W	3.31533854114775
YPR035W	GLN1	3.00622170644448
YCR053W	THR4	2.77115663676983
YDR158W	HOM2	2.77115663676983
YER052C	HOM3	2.77115663676983
YHR025W	THR1	2.77115663676983
YJR139C	HOM6	2.77115663676983
YER023W	PRO3	2.76750159626847
YLR438W	CAR2	2.76750159626847
YCL018W	LEU2	2.68216711339185
YGL009C	LEU1	2.68216711339185
YNL104C	LEU4	2.68216711339185
YGL062W	PYC1	2.67362408269778
YBR218C	PYC2	2.67362408269778
YNL316C	PHA2	2.53498459302117
YGL202W	ARO8	2.49090544906189
YJR016C	ILV3	2.2828671803363
YMR108W	ILV2	2.28098028797517
YCL009C	ILV6	2.26858163108875
YLR355C	ILV5	2.24723322691615
YMR062C	ARG7	2.18694616725944
YOL140W	ARG8	2.18694616725944
YOR130C	ORT1	2.18694616725944
YER069W	ARG5,6	2.18694616725944
YLR027C	AAT2	2.0148393295832
YDR384C	ATO3	2.0124467262577
YGR121C	MEP1	2.0124467262577
YNL142W	MEP2	2.0124467262577
YPR138C	MEP3	2.0124467262577
YER086W	ILV1	1.98778000266285
YFR030W	MET10	1.96249184488068
YPR167C	MET16	1.96249184488009
YCL050C	APA1	1.96249184488009
YJR130C	STR2	1.96249184488009
YJR137C	MET5	1.96249184488009
YKL001C	MET14	1.96249184488009
YOL064C	MET22	1.96249184488009
YOR222W	ODC2	1.95087163788004
YPL134C	ODC1	1.95087163788004
YNL036W	NCE103	1.9104200987815
YBR248C	HIS7	1.8369176970162
YCL030C	HIS4	1.8369176970162
YER055C	HIS1	1.8369176970162
YFR025C	HIS2	1.8369176970162
YIL020C	HIS6	1.8369176970162
YIL116W	HIS5	1.8369176970162
YOR202W	HIS3	1.8369176970162
YKL085W	MDH1	1.75747173692519
YNR001C	CIT1	1.75747173692519
YPR001W	CIT3	1.75747173692519
YGR254W	ENO1	1.73003215177801
YHR174W	ENO2	1.73003215177801
YKL152C	GPM1	1.73003215177801
YMR323W	ERR3	1.73003215177801
YOR393W	ERR1	1.73003215177801
YPL281C	ERR2	1.73003215177801
YOR283W	YOR283W	1.73003215177801
YDR353W	TRR1	1.70250606345806
YHR018C	ARG4	1.59193996705039
YJL088W	ARG3	1.59193996705039
YOL058W	ARG1	1.59193996705039
YAL038W	CDC19	1.57256797559452
YOR347C	PYK2	1.57256797559452
YBR294W	SUL1	1.56704955232793
YLR092W	SUL2	1.56704955232793
YBR221C	PDB1	1.47036630487857
YER178W	PDA1	1.47036630487857
YGR193C	PDX1	1.47036630487857
YNL071W	LAT1	1.47036630487857
YBR115C	LYS2	1.43443121877156
YDL131W	LYS21	1.43443121877156
