gene_IDs	gene_names	K_score
YDR300C	PRO1	1000
YML054C	CYB2	1000
YOR323C	PRO2	1000
LDHA	LDHA	1000
YBR296C	PHO89	21.9099237650617
YCR037C	PHO87	21.9099237650617
YJL198W	PHO90	21.9099237650617
YML123C	PHO84	21.9099237650617
YNR013C	PHO91	21.9099237650617
YAL038W	CDC19	2.29906181815918
YGR254W	ENO1	2.15364574494618
YOR283W	YOR283W	2.15364574494618
YLR354C	TAL1	1.28625933666824
YDR050C	TPI1	1.24703148910061
YMR205C	PFK2	1.23976357901087
YKL060C	FBA1	1.23976357901086
YCR012W	PGK1	1.23839035101166
YJL052W	TDH1	1.23839035101166
YBR196C	PGI1	1.21396282681685
YDR516C	EMI2	1.0296677816642
YNL036W	NCE103	0.29370309641373
YOR222W	ODC2	0.293593962956454
YPL134C	ODC1	0.293593962956454
YBR218C	PYC2	0.293573858312039
YGL062W	PYC1	0.293573857448246
YOL126C	MDH2	0.29315953490634
YKL029C	MAE1	0.292245811608146
YPR021C	AGC1	0.292198927775996
YER069W	ARG5,6	0.290646377292926
YMR062C	ARG7	0.290646377292925
YOL140W	ARG8	0.290646377292925
YOR130C	ORT1	0.290646377292925
YBL039C	URA7	0.287735312382042
YJR103W	URA8	0.287735312382042
YLR438W	CAR2	0.287374198637043
YER070W	RNR1	0.276849999999989
YIL066C	RNR3	0.276849999999989
YJL026W	RNR2	0.276849999999989
YGR180C	RNR4	0.274178048780478
YGL080W	MPC1	0.269577758082105
YGR243W	MPC3	0.269577758082105
YHR162W	MPC2	0.269577758082105
YBR221C	PDB1	0.255779935042777
YER178W	PDA1	0.255779935042777
YGR193C	PDX1	0.255779935042777
YNL071W	LAT1	0.255779935042777
EutE	EutE	0.25322281835921
YDR148C	KGD2	0.242549999999994
YIL125W	KGD1	0.242549999999994
YDL022W	GPD1	0.242492871866401
YFL018C	LPD1	0.231315949845996
YER053C	PIC2	0.220978640586591
YJR077C	MIR1	0.220978640586591
YCR048W	ARE1	0.220003613723529
YOR375C	GDH1	0.218707712973382
YAL062W	GDH3	0.218707712973382
YDR503C	LPP1	0.207961864224421
YNR019W	ARE2	0.207585679555378
YAL044C	GCV3	0.19791275174508
YDR019C	GCV1	0.19791275174508
YMR189W	GCV2	0.19791275174508
Q0045	COX1	0.195342879611608
Q0250	COX2	0.195342879611608
Q0275	COX3	0.195342879611608
YDL067C	COX9	0.195342879611608
YEL039C	CYC7	0.195342879611608
YGL187C	COX4	0.195342879611608
YGL191W	COX13	0.195342879611608
YHR051W	COX6	0.195342879611608
YIL111W	COX5B	0.195342879611608
YLR038C	COX12	0.195342879611608
YLR395C	COX8	0.195342879611608
YMR256C	COX7	0.195342879611608
YDR231C	COX20	0.195342879611608
YGR062C	COX18	0.195342879611608
YHR116W	COX23	0.195342879611608
YJL003W	COX16	0.195342879611608
YLL018C-A	COX19	0.195342879611608
YPL132W	COX11	0.195342879611608
YML120C	NDI1	0.175880395308304
Q0080	ATP8	0.171642387784721
Q0085	ATP6	0.171642387784721
Q0130	OLI1	0.171642387784721
YBL099W	ATP1	0.171642387784721
YBR039W	ATP3	0.171642387784721
YDL004W	ATP16	0.171642387784721
YDR298C	ATP5	0.171642387784721
YDR322C-A	TIM11	0.171642387784721
YDR377W	ATP17	0.171642387784721
YJR121W	ATP2	0.171642387784721
YKL016C	ATP7	0.171642387784721
YLR295C	ATP14	0.171642387784721
YML081C-A	ATP18	0.171642387784721
YPL078C	ATP4	0.171642387784721
YPL271W	ATP15	0.171642387784721
YPR020W	ATP20	0.171642387784721
YOL077W-A	ATP19	0.171642387784721
YBL030C	PET9	0.170929748704777
YBR085W	AAC3	0.170929748704777
YMR056C	AAC1	0.170929748704777
YER081W	SER3	0.167422071967576
YGR208W	SER2	0.167422071967576
YIL074C	SER33	0.167422071967576
YOR184W	SER1	0.167422071967576
YOR245C	DGA1	0.164378519333067
YLR058C	SHM2	0.157742449236041
YGR204W	ADE3	0.154973444998632
YOR388C	FDH1	0.153528738130299
YBR263W	SHM1	0.153275410143849
Q0105	COB	0.146695614389955
YBL045C	COR1	0.146695614389955
YDR529C	QCR7	0.146695614389955
YEL024W	RIP1	0.146695614389955
YFR033C	QCR6	0.146695614389955
YGR183C	QCR9	0.146695614389955
YHR001W-A	QCR10	0.146695614389955
YJL166W	QCR8	0.146695614389955
YOR065W	CYT1	0.146695614389955
YPR191W	QCR2	0.146695614389955
YDL085W	NDE2	0.139043072928831
YMR145C	NDE1	0.139043072928831
YMR267W	PPA2	0.011703435197499
YCL040W	GLK1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR202C	PCT1	0
YHR123W	EPT1	0
YLR133W	CKI1	0
YML059C	NTE1	0
YNL130C	CPT1	0
YNR008W	LRO1	-0
YPL110C	GDE1	0
YLR446W	YLR446W	0
