gene_IDs	gene_names	K_score
YCR005C	CIT2	1000
YDL078C	MDH3	1000
YDR148C	KGD2	1000
YDR256C	CTA1	1000
YER015W	FAA2	1000
YGL205W	POX1	1000
YGR244C	LSC2	1000
YIL125W	KGD1	1000
YIL160C	POT1	1000
YJR019C	TES1	1000
YKL106W	AAT1	1000
YKL188C	PXA2	1000
YKR009C	FOX2	1000
YML042W	CAT2	1000
YMR241W	YHM2	1000
YOR100C	CRC1	1000
YOR142W	LSC1	1000
YPL147W	PXA1	1000
YBR117C	TKL2	41.0613797574208
YPR074C	TKL1	34.7032986171263
YJR051W	OSM1	29.9496238434194
YAL054C	ACS1	13.5139328443317
YGR087C	PDC6	13.5139328443317
YLR044C	PDC1	13.5139328443317
YLR134W	PDC5	13.5139328443317
YLR153C	ACS2	13.5139328443317
YPL061W	ALD6	13.5139328443317
YNR016C	ACC1	13.4597937435438
YDL141W	BPL1	13.4597937435438
YLR174W	IDP2	9.4738518055467
YJL121C	RPE1	9.27097405594813
YKL085W	MDH1	5.77135317495665
YGR248W	SOL4	5.09051805001783
YGR256W	GND2	5.09051805001783
YHR163W	SOL3	5.09051805001783
YHR183W	GND1	5.09051805001783
YNL241C	ZWF1	5.09051805001783
YNL036W	NCE103	3.65802900855219
YFR053C	HXK1	3.18415635075699
YCL040W	GLK1	3.18415635075698
YGL253W	HXK2	3.18415635075698
YLR446W	YLR446W	3.18415635075698
YOR095C	RKI1	2.78477772551143
YDR226W	ADK1	2.4506630948585
YAL038W	CDC19	2.12007567396938
YOR347C	PYK2	2.12007567396938
YGR254W	ENO1	1.98764038461554
YHR174W	ENO2	1.98764038461554
YKL152C	GPM1	1.98764038461554
YMR323W	ERR3	1.98764038461554
YOR393W	ERR1	1.98764038461554
YPL281C	ERR2	1.98764038461554
YOR283W	YOR283W	1.98764038461554
YMR267W	PPA2	1.93847943155018
YML120C	NDI1	1.2849538357859
YCR012W	PGK1	1.13723143699258
YGR192C	TDH3	1.13723143699258
YJL052W	TDH1	1.13723143699258
YJR009C	TDH2	1.13723143699258
YDR050C	TPI1	1.04521205240717
YMR205C	PFK2	1.03967179336366
YGR240C	PFK1	1.03967179336364
YKL060C	FBA1	1.03967179336364
YKL067W	YNK1	0.293491461327996
YDL066W	IDP1	0.27783
YBR029C	CDS1	0.276191409728277
YBR218C	PYC2	0.266775225422029
YGL062W	PYC1	0.266775225422029
YOR175C	ALE1	0.262072221496403
YDL052C	SLC1	0.233865493237695
YAL062W	GDH3	0.23077488940826
YOR375C	GDH1	0.23077488940826
YCR048W	ARE1	0.220003558044872
YDR503C	LPP1	0.207961799611878
YNR019W	ARE2	0.207585615135532
YER081W	SER3	0.186575633840613
YGR208W	SER2	0.186575633840613
YIL074C	SER33	0.186575633840613
YOR184W	SER1	0.186575633840613
YLR058C	SHM2	0.180394267626021
YBR263W	SHM1	0.178544325176264
YOR388C	FDH1	0.177054302971225
YOR245C	DGA1	0.164378422703298
YBR291C	CTP1	0.147
YGL080W	MPC1	0.0892967877844474
YGR243W	MPC3	0.0892967877844474
YHR162W	MPC2	0.0892967877844474
YBR221C	PDB1	0
YER178W	PDA1	0
YGR193C	PDX1	0
YNL071W	LAT1	0
YNR001C	CIT1	0
YOL126C	MDH2	0
YPR001W	CIT3	0
