gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR252W	DUT1	1000
YER170W	ADK2	1000
YJR069C	HAM1	1000
ClLIS1	ClLIS1	1000
YPL117C	IDI1	43.5819502515289
YLR450W	HMG2	29.1532409511259
YMR208W	ERG12	29.1532409511259
YMR220W	ERG8	29.1532409511259
YNR043W	MVD1	29.1532409511259
YML075C	HMG1	29.1532409511259
YHR002W	LEU5	29.1119295366749
YBR221C	PDB1	7.00881148923139
YER178W	PDA1	7.00881148923139
YGR193C	PDX1	7.00881148923139
YNL071W	LAT1	7.00881148923139
YGL080W	MPC1	4.78536012583762
YGR243W	MPC3	4.78536012583762
YHR162W	MPC2	4.78536012583762
YFR053C	HXK1	2.59547051695377
YCL040W	GLK1	2.59547051695377
YGL253W	HXK2	2.59547051695377
YLR446W	YLR446W	2.59547051695377
YOR347C	PYK2	2.37030858770055
YAL038W	CDC19	2.37030858770055
YGR254W	ENO1	2.21972539910208
YHR174W	ENO2	2.21972539910208
YKL152C	GPM1	2.21972539910208
YMR323W	ERR3	2.21972539910208
YOR393W	ERR1	2.21972539910208
YPL281C	ERR2	2.21972539910208
YOR283W	YOR283W	2.21972539910208
YML120C	NDI1	1.60732680722961
YCR012W	PGK1	1.18391881856098
YGR192C	TDH3	1.18391881856098
YJL052W	TDH1	1.18391881856098
YJR009C	TDH2	1.18391881856098
YBL039C	URA7	0.286884220863091
YJR103W	URA8	0.286884220863091
YBR029C	CDS1	0.277505669288706
YER070W	RNR1	0.274520080227455
YIL066C	RNR3	0.274520080227455
YJL026W	RNR2	0.274520080227455
YGR087C	PDC6	0.272851308105599
YLR044C	PDC1	0.272851308105599
YLR134W	PDC5	0.272851308105599
YGR180C	RNR4	0.271485130058805
YOR175C	ALE1	0.264025093016136
YDL052C	SLC1	0.237547197733347
YCR048W	ARE1	0.220003557767044
YDR503C	LPP1	0.207961799280481
YNR019W	ARE2	0.207585614813521
YOR245C	DGA1	0.164378422220282
YDL066W	IDP1	0.0273985357602088
YER081W	SER3	0.0260083156855975
YGR208W	SER2	0.0260083156855975
YIL074C	SER33	0.0260083156855975
YOR184W	SER1	0.0260083156855975
YAL062W	GDH3	0.0244424616628784
YOR375C	GDH1	0.0244424616628784
YLR058C	SHM2	0.00853594174162748
YBR263W	SHM1	0.00352476241935905
YAL044C	GCV3	0.00176237945794358
YDR019C	GCV1	0.00176237945794358
YMR189W	GCV2	0.00176237945794358
YOR388C	FDH1	0.000143398437784454
YDR148C	KGD2	0
YIL125W	KGD1	0
