gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YDR300C	PRO1	1000
YER170W	ADK2	1000
YOL086C	ADH1	1000
YOR323C	PRO2	1000
YJR069C	HAM1	1000
YDR452W	PPN1	1000
NES1	NES1	1000
YPL117C	IDI1	30.8048761184129
YPR074C	TKL1	30.5389067090345
YHR002W	LEU5	20.6350122312195
YML075C	HMG1	20.6350122312195
YML126C	ERG13	20.6350122312195
YMR208W	ERG12	20.6350122312195
YMR220W	ERG8	20.6350122312195
YNR043W	MVD1	20.6350122312195
YPL028W	ERG10	20.6350122312195
YJL121C	RPE1	9.29350545217438
YHR163W	SOL3	5.10257308490438
YHR183W	GND1	5.10257308490438
YNL241C	ZWF1	5.10257308490438
YBR221C	PDB1	5.03524078627035
YER178W	PDA1	5.03524078627035
YGR193C	PDX1	5.03524078627035
YNL071W	LAT1	5.03524078627035
YLR044C	PDC1	3.80753146294693
YGL080W	MPC1	3.46917013128646
YGR243W	MPC3	3.46917013128646
YHR162W	MPC2	3.46917013128646
YOR095C	RKI1	2.79104241101665
YAL038W	CDC19	2.27207779773629
YGR254W	ENO1	2.12861874553015
YOR283W	YOR283W	2.12861874553015
YML120C	NDI1	1.14654126274774
YCR012W	PGK1	1.13697767622001
YJL052W	TDH1	1.13697767622001
YER091C	MET6	0.293884450454309
YGL125W	MET13	0.293884450454309
YPL023C	MET12	0.293884450454309
YDR502C	SAM2	0.293827460547136
YER043C	SAH1	0.293827460547136
YJR105W	ADO1	0.293827460547136
YLR180W	SAM1	0.293827460547136
YBL039C	URA7	0.258201785040242
YJR103W	URA8	0.258201785040242
YOL126C	MDH2	0.245675420353194
YOR222W	ODC2	0.20961390170374
YPL134C	ODC1	0.20961390170374
YDR503C	LPP1	0.207961799908558
YPR021C	AGC1	0.188206271058758
YMR267W	PPA2	0.158340256590195
YOL140W	ARG8	0.145193082637183
YER069W	ARG5,6	0.145193082637183
YMR062C	ARG7	0.145193082637183
YOR130C	ORT1	0.145193082637183
YAL062W	GDH3	0.130919769694119
YOR375C	GDH1	0.130919769694119
YKL085W	MDH1	0.11898105048654
YDL066W	IDP1	0.0573300000000001
YER081W	SER3	0.0284390447736411
YGR208W	SER2	0.0284390447736411
YIL074C	SER33	0.0284390447736411
YOR184W	SER1	0.0284390447736411
YLR058C	SHM2	0.00910672806255904
YGR204W	ADE3	0.00360221907508967
YBR263W	SHM1	0.000228203811937312
YAL044C	GCV3	0.000114101792555957
YDR019C	GCV1	0.000114101792555957
YMR189W	GCV2	0.000114101792555957
YDR148C	KGD2	0
YER070W	RNR1	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YLR438W	CAR2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YOR388C	FDH1	0
