gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YDR300C	PRO1	1000
YER170W	ADK2	1000
YOL086C	ADH1	1000
YOR323C	PRO2	1000
YJR069C	HAM1	1000
YDR452W	PPN1	1000
LUP	LUP	1000
YLR044C	PDC1	12.3379897633543
YAL038W	CDC19	2.45763327576761
YOR283W	YOR283W	2.30071690086305
YGR254W	ENO1	2.30071690086305
YLR354C	TAL1	1.26500028151079
YMR205C	PFK2	1.22931719522705
YKL060C	FBA1	1.22931719520101
YDR050C	TPI1	1.22859273217414
YJL052W	TDH1	1.22781626506477
YCR012W	PGK1	1.22781626506477
YBR196C	PGI1	1.19170438149095
YER091C	MET6	0.293884450454322
YGL125W	MET13	0.293884450454322
YPL023C	MET12	0.293884450454322
YDR502C	SAM2	0.293827460547154
YER043C	SAH1	0.293827460547154
YJR105W	ADO1	0.293827460547154
YLR180W	SAM1	0.293827460547154
YLL052C	AQY2	0.287620088968219
YPR192W	AQY1	0.287620088968219
YNL036W	NCE103	0.286620240588633
YBR218C	PYC2	0.282987457510793
YGL062W	PYC1	0.282987457510793
YJR095W	SFC1	0.27783
YKL085W	MDH1	0.277692209962407
YOR222W	ODC2	0.26526130671434
YPL134C	ODC1	0.26526130671434
YMR267W	PPA2	0.262033848246898
YBL039C	URA7	0.258201785040243
YJR103W	URA8	0.258201785040243
YDL066W	IDP1	0.255780000000001
YOL126C	MDH2	0.252533868071944
YKL029C	MAE1	0.217434412172268
YDL085W	NDE2	0.211762388601856
YMR145C	NDE1	0.211762388601856
YDR503C	LPP1	0.207961799044464
Q0045	COX1	0.192122555040541
Q0250	COX2	0.192122555040541
Q0275	COX3	0.192122555040541
YDL067C	COX9	0.192122555040541
YGL187C	COX4	0.192122555040541
YGL191W	COX13	0.192122555040541
YHR051W	COX6	0.192122555040541
YIL111W	COX5B	0.192122555040541
YLR038C	COX12	0.192122555040541
YLR395C	COX8	0.192122555040541
YMR256C	COX7	0.192122555040541
Q0105	COB	0.190830277735462
YBL045C	COR1	0.190830277735462
YDR529C	QCR7	0.190830277735462
YEL024W	RIP1	0.190830277735462
YFR033C	QCR6	0.190830277735462
YGR183C	QCR9	0.190830277735462
YHR001W-A	QCR10	0.190830277735462
YJL166W	QCR8	0.190830277735462
YOR065W	CYT1	0.190830277735462
YPR191W	QCR2	0.190830277735462
YPR021C	AGC1	0.188206271058758
YOL077W-A	ATP19	0.182161168544554
Q0080	ATP8	0.182161168544554
Q0085	ATP6	0.182161168544554
Q0130	OLI1	0.182161168544554
YBL099W	ATP1	0.182161168544554
YBR039W	ATP3	0.182161168544554
YDL004W	ATP16	0.182161168544554
YDR298C	ATP5	0.182161168544554
YDR322C-A	TIM11	0.182161168544554
YDR377W	ATP17	0.182161168544554
YJR121W	ATP2	0.182161168544554
YKL016C	ATP7	0.182161168544554
YLR295C	ATP14	0.182161168544554
YML081C-A	ATP18	0.182161168544554
YPL078C	ATP4	0.182161168544554
YPL271W	ATP15	0.182161168544554
YPR020W	ATP20	0.182161168544554
YER053C	PIC2	0.151931148139921
YJR077C	MIR1	0.151931148139921
YER069W	ARG5,6	0.145193082637183
YMR062C	ARG7	0.145193082637183
YOR130C	ORT1	0.145193082637183
YOL140W	ARG8	0.145193082637183
YAL062W	GDH3	0.125471265456163
YOR375C	GDH1	0.125471265456163
YML120C	NDI1	0.120843064292615
YFL018C	LPD1	0.0982692093430524
YIL074C	SER33	0.0284390442277432
YER081W	SER3	0.0284390442277432
YGR208W	SER2	0.0284390442277432
YOR184W	SER1	0.0284390442277432
YLR058C	SHM2	0.00910672787501082
YGR204W	ADE3	0.00360221899982062
YBR263W	SHM1	0.000228203807090854
YAL044C	GCV3	0.000114101790132733
YDR019C	GCV1	0.000114101790132733
YMR189W	GCV2	0.000114101790132733
YDR148C	KGD2	0
YER070W	RNR1	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YLR438W	CAR2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YOR388C	FDH1	0
