Var1	lpac	nbutanol	docosanol	rrbutanediol	phenylethanol	glycerol	methylbutanol	isobutanol	sreticuline	psilocybin	cinnamoyltropine	choline	hypoxanthine	xanthine	nicotianamine	ergothioneine	glutathione	alanine	arginine	asparagine	aspartate	citrulline	cysteine	glutamate	glutamine	glycine	histidine	homoserine	isoleucine	leucine	lysine	methionine	phenylalanine	proline	serine	threonine	tryptophan	tyrosine	valine	ornithine	hydroxymandelicacid	cinnamate	mandelicacid	coumaricacid	rosmarinicacid	salidroside	tyrosol	vanillinbetaglucoside	betaionone	putrescine	spermine	ara	dha	epa	ffas	laurate	oleate	palmitoleate	triacylglycerol	ergosterol	catechin	genistein	kaempferol	naringenin	quercetin	adipicacid	cismuconate	itaconicacid	caffeicacid	succinate	lactate	malate	oxoglutarate	acetate	citrate	fumaricacid	glycolate	hexanoate	pyruvate	resveratrol	astaxanthin	betaxanthin	betacarotene	artemisinicacid	farnesene	amorphadiene	geraniol	limonene	linalool	lupeol	oleanolate	patchoulol	protopanaxadiol	santalene	betaamyrin	glycyrrhetinicacid	lycopene	miltiradiene	nootkatone	squalene	taxadienalphaylacetate	valencene
D-glucose 6-phosphate	0.618157522725903	1.000001	0.379035365222363	1.00000001916378	1.000001	1.000001	1.000001	0.999999999999	0.362085846708043	0.355653014384008	0.352091635990989	0.998334090710537	1.000001	1.000001	0.378475305487111	0.379868025960643	1.000001	0.525742365548691	0.4999995	0.454507773773637	0.919380660428494	0.619102118847058	2.48629733701207	1.000001	0.4999995	0.4999995	0.596909659324472	0.99999900000001	1.46675076706127	1.000001	0.74999925	2.35455172497175	1.000001	1.000001	0.515960086422477	0.848167441974802	1.000001	1.000001	1.00000002574187	1.00000002574186	1.000001	1.000001	1.000001	0.749779981786378	0.998334090712003	0.350470026374528	0.349711162602113	0.356193168150548	0.355861105907734	1.00000002574187	1.000001	0.375025485089094	0.387681008566854	0.375453958763758	1.000001	1.000001	1.000001	1.000001	1.000001	1.000001	0.369141815538645	0.362111749062547	0.367100579136864	0.372135024545887	0.367099812325467	1.000001	1.000001	1.000001	0.353225798212403	1.000001	1.000001	1.000001	1.000001	1.000001	0.999999999999	1.000001	1.000001	0.998411248147501	0.999999999999	0.547935129642865	0.353675798755366	0.368277797100493	0.359666628267555	1.00000002574187	1.000001	1.00000001806466	1.00000001806465	1.000001	0.990250069775263	0.360339406042254	0.367738642655923	0.360705565632201	0.355656669566825	1.000001	1.00000001806466	0.357327300874399	0.365701010941452	0.352653207043981	0.431465642173192	1.000001	0.382789298184241	0.431503228343362
D-fructose 6-phosphate	0.618157522725903	0.548983429397107	0.374715847931889	1.00000001916378	0.779944158500925	1.000001	1.000001	0.999999999999	0.358068339221502	0.353709815186765	0.350725158483885	0.639256344048741	1.000001	0.757032846140541	0.369862227290564	0.369570938105024	0.659155236163793	0.422770903353928	0.340204696285363	0.321174573773637	0.758143981285484	0.507991118847058	1.55821478452213	1.000001	0.4999995	0.4999995	0.346909909324472	0.342648318277991	0.488916922353756	1.000001	0.74999925	1.35455072497175	0.474132419042588	0.840437798275797	0.452117740732568	0.326702595554645	0.674976803189052	0.729331553241889	0.945393196201648	0.840440721050197	1.000001	0.474132419042588	0.738428974046037	0.676789756136315	0.860132865356764	0.349976290812674	0.349711162602113	0.352790087312493	0.352850030555562	0.840440721050198	0.719683785636893	0.370719990433433	0.381385763095645	0.371027648883314	0.619602057228627	0.52304709368592	0.608239167885717	0.620209653873557	0.777250460885238	0.536148763604961	0.366644953286731	0.362111749062547	0.367100579136864	0.372135024545887	0.367099812325467	1.000001	1.000001	1.000001	0.352336333211889	1.000001	0.999996999995997	1.000001	1.000001	1.000001	0.999999999999	1.000001	1.000001	0.864319749094566	0.999999999999	0.547935129642865	0.35153888379705	0.364651605029409	0.355133278615716	0.974793726221186	0.789507149170615	1.00000001806466	1.00000001806465	1.000001	0.733483538149137	0.354828376117175	0.357181940905174	0.355756623190282	0.352084359524588	1.000001	1.00000001806466	0.353198934995239	0.365701010941452	0.350925346320529	0.398212881586718	1.000001	0.382789298184241	0.398235433289959
ribose-5-phosphate	0	0.225508785301443	0.00215975864523696	0	0.255411003768804	0	0	0	0.00216327326198375	0.00142501274464534	0.000683238753551972	0.179538873330898	0.97634008594992	0.899931530849325	0.00861307819654744	0.00643567990976226	0.170422881918104	0.0514857310973816	0.0798974018573186	0.0666666	0.0806183395715053	0.0555555	0.828765779004023	0	0	0	0.333333	0.328675340861009	0.488916922353756	0	0	0.784850574990583	0.355067629168868	0.0797816008621014	0.0319211728449544	0.260732423210079	0.531959564717801	0.278770667734512	0.0273034147701087	0.079779652345834	0.198192561281002	0.355067629168868	0.274571858132598	0.0729902256500627	0.138201225355239	0	0	0.00113436027935174	0.00150553767608605	0.079779652345834	0.592089400106062	0.00280951769903296	0.00423718445177509	0.00275886437753723	0.190199471385686	0.23847695315704	0.195880916057141	0.189895673063221	0.0588824029495696	0.231926118197519	0.00166457483460978	0.00056234316015958	0.000765959996316823	0.000971438601657521	0.000765928699232786	0.268495287473313	0.273871008056809	0	0.000889465000513927	0	2.0000020016786e-06	0	0	0	0	0	0	0.0670457495264676	0	0.00814664013470875	0.00106845747915792	0.00362619207108461	0.00226667482591947	0.0126031497603396	0.105246925414693	0	0	0	0.128383265813063	0.00275551496253901	0.00527835087537439	0.00247447122095982	0.00178615502111831	0	0	0.00206418293958017	0	0.000863930361725908	0.0166263802932369	0	0	0.0166338975267016
D-erythrose 4-phosphate	0	0.225508785301443	0.376875606577126	0	0.546176169807336	0	0	0	0.360231612483486	0.354357548252513	0.351408397237437	0.818795217379639	0	0.877993339404189	0.369862227290564	0.373432346050881	0.170422881918104	0.0514857310973815	0.0798974018573186	0.0666666	0.0806183395715053	0.0555555000000001	0.828765779004023	0	0	0	0.02777775	0.328675340861009	0.488916922353756	0	0	0.784850574990583	0.539334306549191	0.0797816008621014	0.0319211728449544	0.260732423210079	0.423618165780819	0.565612418414227	0.0273034147701085	0.079779652345834	0.594577683843006	0.539334306549191	0.562143548443832	0.749779981786377	0.998334090712003	0.349976290812674	0.349711162602113	0.353924447591845	0.354355568231648	0.079779652345834	0.103924061914318	0.372215967390061	0.383443824115079	0.372695094386221	0.190199471385687	0.76152404684296	0.195880916057141	0.189895673063221	0.0308946868631709	0.768074881802481	0.36830952812134	0.362674092222707	0.367866539133181	0.373106463147544	0.3678657410247	0.805456124389131	0.821581786138125	0	0.353225798212403	0	2.0000020016786e-06	0	0	0	0	0	0	0.931365498621033	0	0.556081769777574	0.352607341276208	0.368277797100493	0.357399953441636	0.0126031497603396	0.894754074585307	0	0	1.000001	0.8618668039622	0.357583891079714	0.362460291780549	0.358231094411241	0.353870514545707	1.000001	0	0.355263117934819	0.365701010941452	0.351789276682255	0.414839261879955	0.841147746243599	0.382789298184241	0.41486933081666
glyceraldehyde 3-phosphate	0.698386458709245	1.77449321469854	0.755910971799489	2.00000003832756	1.48917999246239	1.000001	2.000002	1.999999999998	0.719845146892119	0.709233282957624	0.702953442225585	1.81712930809018	2.000002	1.87851792307027	0.739724454581128	0.75072610004762	1.8295791180819	0.999999	0.920101598142682	0.842348947547273	1.69446340816423	1.14507853141217	1.75684833149397	1.92505273892315	0.999999	0.999999	0.610486568648945	1.67132265913901	1.51108507764624	2.000002	1.43173571387283	1.78485157499058	1.28986674166226	1.9202203991379	0.999999	1.43560246073953	1.35970103634521	1.44246066453097	1.97269663671362	1.9202203991379	1.603616877438	1.28986674166226	1.4508582837348	1.35357951227263	1.72026573071353	0.699952581625349	0.699422325204226	0.706228380498901	0.710216674139382	1.9202203991379	1.12759538553083	0.74592791173675	0.768945709249592	0.747057634275349	1.80980252861431	1.76152504684296	1.80412108394286	1.81010632693678	1.50120578772942	1.76807588180248	0.734954481408071	0.723098811804775	0.732669238281094	0.742327171888458	0.732667767252468	1.46301142505337	1.45225998388638	1.99997014414288	0.704672666423779	1.73679852455381	1.89998660265159	1.000001	1.99997014414286	1.99997014414286	0.999999999999	1.000001	1.99997014414289	1.92977674676853	1.349999999999	1.07957697901631	0.706283140031575	0.729303210058817	0.717066581709191	1.98739690172339	1.89475507458531	2.00000003612931	2.00000003612931	2.000002	1.85211687373746	0.717923297121968	0.730198934436472	0.718936660043443	0.709527184112532	2.000002	2.00000003612931	0.712590418809218	0.731402021882904	0.704442483726237	0.846304904053147	2.000002	0.765578596368482	0.846372559160022
3-phosphonato-D-glycerate(3-)	0.698386458709245	1.77449321469854	0.755910971799489	2.00000003832756	1.19841482642386	0.417604242858021	2.000002	1.999999999998	0.719536107854693	0.709103736344474	0.702953442225585	1.81712930809018	2.000002	1.87851792307027	0.739724454581128	0.75072610004762	1.8295791180819	0.999999	0.920101598142682	0.842348947547273	1.69446340816423	1.14507853141217	1.02739932597586	1.92505273892315	0.999999	0.999999	0.554931068648945	1.67132265913901	1.51108507764624	2.000002	1.43173571387283	1.21515142500942	1.10560006428194	1.9202203991379	0.999999	1.43560246073953	1.04442426950138	1.15558877582006	1.97269663671362	1.9202203991379	1.20723175487599	1.10560006428194	1.16328659342357	1.28058928662257	1.58206450535829	0.699952581625349	0.699422325204226	0.705418123156507	0.710216674139382	1.9202203991379	0.919747261702194	0.74592791173675	0.768945709249592	0.747057634275349	1.80980252861431	1.76152504684296	1.80412108394286	1.81010632693678	1.50120578772942	1.76807588180248	0.734122193990766	0.721974125484456	0.73113731828846	0.740384294685143	0.731135909854003	0.926020850106748	0.904517967772764	1.99997014414288	0.703783201423265	1.73679852455381	1.89998660265159	0.420223958928122	1.99997014414286	1.99997014414286	0.473471741637964	0.420223958928124	1.99997014414289	1.92977674676853	1.349999999999	1.06328369874689	0.706283140031575	0.725677017987733	0.717066581709191	1.98739690172339	1.89475507458531	2.00000003612931	2.00000003612931	2.000002	1.85211687373746	0.717923297121968	0.730198934436472	0.718936660043443	0.709527184112532	2.000002	2.00000003612931	0.712590418809218	0.731402021882904	0.704442483726237	0.846304904053147	2.000002	0.765578596368482	0.846372559160022
phosphoenolpyruvate	0.698386458709245	1.77449321469854	0.755910971799489	2.00000003832756	1.09235233961467	0	2.000002	1.8499999999985	0.717681873630135	0.707549176986679	0.702680146724164	1.32747783536954	0	1.05052747680945	0.739724454581128	0.743003284155905	0.914789559040948	0.999999	0.899486509286594	0.742349047547273	1.69446340816423	1.14507853141217	0	1.92505273892315	0.999999	0.281398695151034	0.388264568648945	1.64337670430507	1.48152887058959	2.000002	1.43173571387283	0.658250541661435	1.07866861309838	1.9202203991379	0	0.999998999999999	0.847236331561637	1.13125497485965	1.97269663671362	1.9202203991379	1.18915536768601	1.07866861309838	1.12428709688766	1.28058928662257	1.58206450535829	0.699952581625349	0.699422325204226	0.704445814345634	0.710216674139382	1.9202203991379	0.592089400106061	0.744833294451412	0.767129773055974	0.74614811854649	1.70493478524628	1.76152504684296	1.67591620141071	1.6854173516092	0.792693874263127	1.76807588180248	0.734122193990766	0.721974125484456	0.73113731828846	0.740384294685143	0.731135909854003	0.805456124389131	0.821581786138125	1.99997014414288	0.703783201423265	1.42099778069264	1.89998660265159	0.0738095167399716	1.99997014414286	1.99997014414286	0.473471741637964	0.0738095167399718	1.99997014414289	1.92977674676853	1.349999999999	1.06328369874689	0.706283140031575	0.725677017987733	0.717066581709191	1.98739690172339	1.89475507458531	2.00000003612931	2.00000003612931	2.000002	1.85211687373746	0.717923297121968	0.730198934436472	0.718936660043443	0.709527184112532	2.000002	2.00000003612931	0.712590418809218	0.731402021882904	0.704442483726237	0.846304904053147	2.000002	0.765578596368482	0.846372559160022
pyruvate	0.4999995	1.77449321469854	0.755910971799489	2.15430259375595	0	0	2.24189530407623	1.999999999998	0.712737249031315	0.706771897307782	0.701586964718481	1.32747783536954	0	1.7298889460466	0.739724454581128	0.744290420137857	0.914789559040948	0.999999	0.899486509286594	0.742349047547273	1.75814298128548	1.18264873769412	0	1.999998	0.999999	0.281398695151034	0.388264568648945	1.64337670430507	1.48152887058959	2.1441816137697	1.4999985	0.658250541661435	0	1.9202203991379	0	0.999998999999999	0.423618165780819	0	1.97269663671362	1.9202203991379	0	0	0	0.988628384022316	1.02925960393733	0.699952581625349	0.699422325204226	0.702501196723888	0.710216674139382	1.9202203991379	0.592089400106061	0.744833294451412	0.767129773055974	0.74614811854649	1.70493478524628	1.98156472505126	1.67591620141071	1.6854173516092	0.738337659598756	1.76807588180248	0.729128469486937	0.718600066523498	0.72654155831056	0.734555663075198	0.726540337658606	0	0	2.16233783053547	0.700225341421209	1.68420125613883	0.9499993013318	1.65358755781185	2.31644724691536	2.49990953339716	1.999999999998	1.65358755781185	2.4885345339435	1.92977674676853	1.999999999998	1.01440385793864	0.706283140031575	0.711172249703394	0.717066581709191	1.98739690172339	1.89475507458531	2.07316013791473	2.07316013791472	2.06775325080298	1.85211687373746	0.717923297121968	0.730198934436472	0.718936660043443	0.709527184112532	2.04057159952659	2.04510329972677	0.712590418809218	0.731402021882904	0.704442483726237	0.846304904053147	2.0589516295886	0.765578596368482	0.846372559160022
acetyl-CoA	0	0	0.0194378278071327	0	0	0	0.483786608152459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288359227539392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01225971359578	0.0170698002200087	0.0134608327871052	1.59010421423822	1.98156472505127	1.67591620141071	1.6854173516092	0.107367465824807	0.831520206108807	0.00749058675574397	0.00506108844143622	0.0068936399668513	0.00874294741491768	0.00689335829309516	0	0	0.324671661070933	0	0	0	0	0.632890493830723	0	0	0	0.977065067886992	0.742660610139332	0	0.0733197612123787	0	0	0	0	0.631688497235382	0.146320203570831	0.14632020357083	0.314184258879942	0	0	0	0	0	1.15510013514582	0.0902065271949213	0	0.00496217865603463	0	0	0.117038599886868	0.0190415159727344	0
2-oxoglutarate	0	0.887246607349272	0	0.308605110856771	0.652178380554176	0.835149009654461	1.23097356673098	1.1499999999985	0.0030903903742625	0.00155455935779491	0.00300625051562885	0.489651472720632	3.02360143798541	2.28579936941757	0.0172261563930949	0.0128713598195245	1.37218433856142	0.999999	0.770614338856088	0.5999994	0.999999	0.666666	1.02739932597586	1.14988952215369	0.4999995	0.999999000000001	0.8333325	1.02794495483394	2.25184951294104	1.71770216060569	1.4999985	1.21515142500942	1.10553978821954	1.92018066109714	0.999999	1.43560246073953	0.847173655496934	1.15552849975766	0.986348318356811	1.9202203991379	0.630670982161375	1.10553978821955	0.601079768914359	0.145980451300125	0.138201225355239	0.0204937355618541	0.02	0.000972308810872917	0	1.9202203991379	1.51183666180826	0.00372169877014772	0.00617418305830071	0.00381996606120528	0.104867743368037	1.21082204073394	0.128204882532148	0.124688975327575	1.21842182315574	0	0.00374529337787199	0.00168702948047874	0.00459575997790087	0.00291431580497256	0.00459557219539678	1.04649636173194	0.987360435310495	0.324671661070933	0.00177893000102785	0.315800743861171	0	1.84641444218665	1.7911141172884	0.999815066794326	0	0.346414442188152	0.977065067886992	0.773604802228471	0	0.0244399204041262	0	0.00725238414216923	0	0	0	0.146320203570831	0.14632020357083	0.135502501605963	0	0	0	0	0	0.0811391990531917	0.0902065271949214	0	0	0	0	0.117899259177199	0	0
