gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YBR145W	ADH5	1000
YBR252W	DUT1	1000
YDR300C	PRO1	1000
YER170W	ADK2	1000
YOL086C	ADH1	1000
YOR323C	PRO2	1000
YJR069C	HAM1	1000
YDR452W	PPN1	1000
VS	VS	1000
HPO	HPO	1000
ZSD1	ZSD1	1000
YLR044C	PDC1	12.2412602854577
YGR087C	PDC6	12.2412602854577
YLR134W	PDC5	12.2412602854577
YML075C	HMG1	2.92692293648738
YMR208W	ERG12	2.92692293648738
YMR220W	ERG8	2.92692293648738
YNR043W	MVD1	2.92692293648738
YPL117C	IDI1	2.92692293648738
YJL167W	ERG20	2.92692293648738
YLR450W	HMG2	2.92692293648738
YHR002W	LEU5	2.84624178622604
YAL038W	CDC19	2.4546832281507
YOR347C	PYK2	2.4546832281507
YGR254W	ENO1	2.29798081311782
YHR174W	ENO2	2.29798081311782
YKL152C	GPM1	2.29798081311782
YMR323W	ERR3	2.29798081311782
YOR393W	ERR1	2.29798081311782
YPL281C	ERR2	2.29798081311782
YOR283W	YOR283W	2.29798081311782
YLR354C	TAL1	1.2402302196283
YGR043C	NQM1	1.2402302196283
YCR012W	PGK1	1.22637211925512
YGR192C	TDH3	1.22637211925512
YJL052W	TDH1	1.22637211925512
YJR009C	TDH2	1.22637211925512
YDR050C	TPI1	1.2247602798449
YGR240C	PFK1	1.21789595682987
YKL060C	FBA1	1.21789595682987
YMR205C	PFK2	1.21789595682986
YBR196C	PGI1	1.15676446215187
YGL125W	MET13	0.293884450454309
YPL023C	MET12	0.293884450454309
YER091C	MET6	0.293884450454309
YDR502C	SAM2	0.293827460547136
YER043C	SAH1	0.293827460547136
YJR105W	ADO1	0.293827460547136
YLR180W	SAM1	0.293827460547136
YNL036W	NCE103	0.292865845813986
YBR218C	PYC2	0.292307543584206
YGL062W	PYC1	0.292307543584206
YJR095W	SFC1	0.286648903683567
YKL029C	MAE1	0.282233060578416
YMR267W	PPA2	0.281206633519614
YOR222W	ODC2	0.259382858058822
YPL134C	ODC1	0.259382858058822
YBL039C	URA7	0.258201785040242
YJR103W	URA8	0.258201785040242
YKL085W	MDH1	0.253298039378537
YOL126C	MDH2	0.248792990588317
YML120C	NDI1	0.237384515684052
YDL066W	IDP1	0.234816252715373
Q0105	COB	0.225464962021142
Q0045	COX1	0.225464962021139
Q0250	COX2	0.225464962021139
Q0275	COX3	0.225464962021139
YDL067C	COX9	0.225464962021139
YGL187C	COX4	0.225464962021139
YGL191W	COX13	0.225464962021139
YHR051W	COX6	0.225464962021139
YIL111W	COX5B	0.225464962021139
YLR038C	COX12	0.225464962021139
YLR395C	COX8	0.225464962021139
YMR256C	COX7	0.225464962021139
YBL045C	COR1	0.225464962021139
YDR529C	QCR7	0.225464962021139
YEL024W	RIP1	0.225464962021139
YEL039C	CYC7	0.225464962021139
YFR033C	QCR6	0.225464962021139
YGR183C	QCR9	0.225464962021139
YHR001W-A	QCR10	0.225464962021139
YJL166W	QCR8	0.225464962021139
YJR048W	CYC1	0.225464962021139
YOR065W	CYT1	0.225464962021139
YPR191W	QCR2	0.225464962021139
YDR231C	COX20	0.225464962021139
YGR062C	COX18	0.225464962021139
YHR116W	COX23	0.225464962021139
YJL003W	COX16	0.225464962021139
YLL018C-A	COX19	0.225464962021139
YPL132W	COX11	0.225464962021139
YMR145C	NDE1	0.221900004722218
YDL085W	NDE2	0.221900004722218
YDR503C	LPP1	0.207961799672124
Q0080	ATP8	0.200944434402338
Q0085	ATP6	0.200944434402338
Q0130	OLI1	0.200944434402338
YBL099W	ATP1	0.200944434402338
YBR039W	ATP3	0.200944434402338
YDL004W	ATP16	0.200944434402338
YDR298C	ATP5	0.200944434402338
YDR322C-A	TIM11	0.200944434402338
YDR377W	ATP17	0.200944434402338
YJR121W	ATP2	0.200944434402338
YKL016C	ATP7	0.200944434402338
YML081C-A	ATP18	0.200944434402338
YPL078C	ATP4	0.200944434402338
YPL271W	ATP15	0.200944434402338
YPR020W	ATP20	0.200944434402338
YOL077W-A	ATP19	0.200944434402338
YLR295C	ATP14	0.200944434402333
YPR021C	AGC1	0.188206271058758
YER053C	PIC2	0.170750784813978
YJR077C	MIR1	0.170750784813978
YER069W	ARG5,6	0.145193082637183
YMR062C	ARG7	0.145193082637183
YOL140W	ARG8	0.145193082637183
YOR130C	ORT1	0.145193082637183
YAL062W	GDH3	0.129058656795721
YOR375C	GDH1	0.129058656795721
YIL074C	SER33	0.0284390447736447
YER081W	SER3	0.0284390447736447
YGR208W	SER2	0.0284390447736447
YOR184W	SER1	0.0284390447736447
YLR058C	SHM2	0.00910672806255771
YGR204W	ADE3	0.00360221907508889
YBR263W	SHM1	0.000228203811936929
YAL044C	GCV3	0.000228203358286132
YDR019C	GCV1	0.000228203358286132
YMR189W	GCV2	0.000228203358286132
YDR148C	KGD2	0
YER070W	RNR1	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YLR438W	CAR2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YOR388C	FDH1	0
