compound	type	family	MW	bioYield_gem	prodYield_gem	prodRate_gem	bioYield_ec	prodYield_ec	prodRate_ec	cFlux_l	cFlux_h	Pburden	CCMratio
L-phenylacetylcarbinol	heterologous	alcohol	150.174	NaN	NaN	NaN	0.476544587413265	1.61770901952351	1	0.618157522725903	4.84586466165414	0.00204688537890799	0.896864480576262
n-butanol	heterologous	alcohol	74.23	NaN	NaN	NaN	0.48252162293413	0.887245720103552	7.13009532594305	1.000001	12.2334922099051	0.0144770400602705	0.636870136171808
docosanol	heterologous	alcohol	326.61	NaN	NaN	NaN	0.484026005687825	0.00488403422417158	0.00185122354714094	0.379035365222363	0.380699457156754	0.103616367932304	0.985092234378249
(R,R)-2,3-butanediol	native	alcohol	90.121	0.488744722175434	1.0771502197279	708.9125	0.483767870863022	1.07715127623568	81.2328760788132	1.00000001916378	81.2328760788132	0.00992002560751021	0.221111109419678
2-phenylethanol	native	alcohol	122.1644	0.488744722175434	0.546175623631687	319.681591119334	0.483767870863024	0.546175623631713	5.08130847229466	1.000001	14.3235982988103	0.0130392752985038	0.273562386404877
glycerol	native	alcohol	92.09382	0.488744722175434	1.5823961747458	1000	0.483767870863018	1.5823961747458	66.6095462982556	1.000001	66.9595462982556	0.00797725964901924	0.36635565604779
isoamylol	native	alcohol	88.14818	0.488744722175434	0.747297687392795	337.790291262136	0.483767870863022	0.747297687394389	5.27170860931647	1.000001	7.90756291397471	0.0187489404665914	0.470981658240682
isobutanol	native	alcohol	74.1216	0.488744722175434	1	536.697607541158	0.483767870863023	1	16.5256490957458	0.999999999999	16.5256490957458	0.00781523506310535	0.320080851261079
(S)-Reticuline	heterologous	alkaloid	329.39	NaN	NaN	NaN	0.483767870863027	0.00341398638180336	0.00123615738586238	0.362085846708043	0.363752250917719	0.103616367932304	0.704908238251051
psilocybin	heterologous	alkaloid	284.248101	NaN	NaN	NaN	0.483767870863023	0.00218550004487859	0.000777280456177913	0.355653014384008	0.357319390962342	0.103616367932304	0.796358216755989
cinnamoyltropine	heterologous	alkaloid	307.82	NaN	NaN	NaN	0.483767870863021	0.00155241121051679	0.000546591549433159	0.352091635990989	0.353757816902353	0.103616367932304	0.909489661015008
choline	native	alkaloid	104.1708	0.488744722175434	0.556194790388623	118.889473684211	0.48376787086302	0.196187419532928	0.195950375233679	0.998334090710537	1.76247562147611	0.103616367932304	0.041842365549751
hypoxanthine	native	alkaloid	136.11162	0.488744722175434	0.976339109610723	142.24807692308	0.483767870863025	0.976339109610811	1.28041160188687	1.000001	7.12551139331802	0.0967636585939846	0.594103309684479
xanthine	native	alkaloid	152.11102	0.488744722175434	0.942110257115544	117.374311926605	0.483767870863023	0.77844667547292	0.804269500551172	1.000001	5.81233035791003	0.103616367932304	0.407322606474434
Nicotianamine	heterologous	amino acid	303.3116	NaN	NaN	NaN	0.483955459451272	0.00758576853995987	0.00287102894379681	0.378475305487111	0.380145803909866	0.103616367932304	0.490032471585074
ergothioneine	heterologous	amino acid	229.3	NaN	NaN	NaN	0.48376787086302	0.00677675347219572	0.00257427453817949	0.379868025960643	0.381534863092699	0.103616367932304	0.599287194995741
glutathione	native	amino acid	307.32	NaN	NaN	NaN	0.483767870863023	0.457394322126152	3.15384559727541	1.000001	16.3820484528167	0.017530646620812	0.408221581409923
L-alanine	native	amino acid	89.09322	0.488744722175621	1.90207041609887	1	0.483767870863024	1.90207041609887	1	0.525742365548691	0.729857819905213	0.00423696933723046	0.355834628046471
L-arginine	native	amino acid	174.201	0.488744722175621	0.5	0.25	0.48376787086302	0.500000000000001	0.25	0.499999499999999	0.468751249998486	0.00893025535183433	0.463495938129524
L-asparagine	native	amino acid	132.118001	0.488744722175621	0.999999999999998	0.5	0.483767870863021	1.10009009493646	0.5	0.454507773773637	3.27200919144047	0.0101321326124857	0.355472884553596
L-aspartate	native	amino acid	133.1027	0.488744722175621	1.08768766088024	1	0.483767870863023	1.08768766088024	1	0.919380660428495	0.666666666666667	0.00388568752027162	0.799784678843307
L-citrulline	native	amino acid	175.18584	0.488744722175621	0.545328970670783	0.333333333333409	0.483767870863024	0.538413599069503	0.333333333333333	0.619102118847058	0.920347808894429	0.00994638027448677	0.423599321377954
L-cysteine	native	amino acid	121.158	0.488744722175621	1.05534410875929	0.999999999999987	0.483767870863028	1.07748927863918	1	0.928082552489943	0.996986884083658	0.0219536924702518	0.397414646524399
L-glutamate	native	amino acid	146.12136	0.488744722175621	0.999998000002	1	0.483767870863023	0.999998000002	1	1.000001	1.2	0.0175363447301604	0.359110284864799
L-glutamine	native	amino acid	146.14458	0.488744722175621	1	0.5	0.483767870863024	1	0.5	0.4999995	0.538529957230991	0.0092002811472193	0.381481334900736
L-glycine	native	amino acid	75.06664	0.488744722175621	2.00000000000001	1	0.483767870863023	2	0.999999999999999	0.4999995	2.0702	0.00790199951307635	0.30116468489574
L-histidine	native	amino acid	155.15468	0.488744722175621	0.558431237948529	0.333333333333333	0.483767870863024	0.558431237948529	0.333333333333333	0.596909659324472	0.474590612712159	0.0224323781978262	0.726109325213404
L-homoserine	native	amino acid	119.1192	0.488744722175621	0.999999999999999	1	0.483767870863024	0.999999999999989	1	0.99999900000001	0.839863145157925	0.00588804203875083	0.800269216713922
L-isoleucine	native	amino acid	131.175	0.488744722175621	0.740763694531102	1	0.483767870863021	0.740763694531102	1	1.000001	1.94890047975385	0.0189985249784505	0.319828175582179
L-leucine	native	amino acid	131.17296	0.488744722175621	0.714726489863442	1	0.483767870863022	0.714726489863409	1	1.000001	3.82792792792793	0.0158685642105937	0.39499897905835
L-lysine	native	amino acid	147.19558	0.488744722175621	0.64251817346743	0.5	0.483767870863026	0.666666666666667	0.5	0.74999925	4.725	0.0382026445587751	0.440686276582979
L-methionine	native	amino acid	149.21238	0.488744722175621	0.658249883411509	1.00000000000046	0.483767870863021	0.658249883411552	1	1.000001	1.875	0.0246584149454108	0.374253779693147
L-phenylalanine	native	amino acid	165.18918	0.488744722175621	0.539333767214605	1	0.483767870863025	0.539333767215424	1	1.000001	1.90220110055028	0.0132994723466294	0.307809654496027
L-proline	native	amino acid	115.1305	0.488744722175621	0.960109239459707	1	0.483767870863024	0.96010923945971	0.999999999999998	1.000001	3.45269442743417	0.023738684961568	0.30963335475941
L-serine	native	amino acid	105.09262	0.488744722175621	1.93813247635822	1	0.483767870863026	1.93813247635823	1	0.515960086422477	0.519854824935952	0.00882368478935369	0.32761644969614
L-threonine	native	amino acid	119.1192	0.488744722175621	1.17901130190954	1	0.483767870863023	1.17901130190954	1	0.848167441974802	1.14285714285714	0.0100940455717802	0.523295566814636
L-tryptophan	native	amino acid	204.22526	0.488744722175621	0.423617742163156	0.5	0.483767870863022	0.423617742163076	0.5	1.000001	3.4005	0.055809187576095	0.390697967542278
L-tyrosine	native	amino acid	181.18858	0.488744722175621	0.565641990803436	1	0.483767870863023	0.565641990803436	1	1.000001	3.1	0.0138107480490916	0.281319006761991
