gene_IDs	gene_names	K_score
YDR300C	PRO1	1000
YMR241W	YHM2	1000
YOR323C	PRO2	1000
YPR074C	TKL1	27.4153960741619
YJL121C	RPE1	10.0588272557645
YHR163W	SOL3	6.21071402605071
YHR183W	GND1	6.21071402605071
YNL241C	ZWF1	6.21071402605071
YDR007W	TRP1	5.02290344406487
YGL026C	TRP5	5.02290344406487
YOL097C	WRS1	5.02290344406487
YDR354W	TRP4	5.02290344406487
YER090W	TRP2	5.02290344406487
YKL211C	TRP3	5.02290344406487
YOR095C	RKI1	4.092696233627
YDR341C	YDR341C	3.63645925482934
YHR018C	ARG4	3.63645925482934
YJL088W	ARG3	3.63645925482934
YOL058W	ARG1	3.63645925482934
YGR264C	MES1	3.60413355295413
YOR168W	GLN4	3.47918355481212
YHR011W	DIA4	3.37197867146346
YPR167C	MET16	3.22286308598714
YFR030W	MET10	3.22286308598714
YKL001C	MET14	3.22286308598714
YOL064C	MET22	3.22286308598714
YCL050C	APA1	3.22286308598714
YJR137C	MET5	3.2228628656372
YNL316C	PHA2	3.0515884315022
YFL022C	FRS2	3.0515884315022
YLR060W	FRS1	3.0515884315022
YHR019C	DED81	2.93442675796347
YPR145W	ASN1	2.93442675796347
YDR353W	TRR1	2.80216425402171
YDR127W	ARO1	2.70733343273592
YBR249C	ARO4	2.70733343273592
YGL148W	ARO2	2.70733343273592
YBR294W	SUL1	2.58297372528406
YLR092W	SUL2	2.58297372528406
YJR109C	CPA2	2.4720406331192
YOR303W	CPA1	2.4720406331192
YPR060C	ARO7	2.42856068819406
YBR248C	HIS7	2.31965972978186
YCL030C	HIS4	2.31965972978186
YER055C	HIS1	2.31965972978186
YFR025C	HIS2	2.31965972978186
YIL020C	HIS6	2.31965972978186
YIL116W	HIS5	2.31965972978186
YOR202W	HIS3	2.31965972978186
YPR033C	HTS1	2.31965972978186
YPL262W	FUM1	2.25446228342974
YER069W	ARG5,6	2.2514256358705
YMR062C	ARG7	2.2514256358705
YOL140W	ARG8	2.2514256358705
YOR130C	ORT1	2.2514256358705
YPR035W	GLN1	2.19766497823842
YLL018C	DPS1	2.09949541314772
YER086W	ILV1	2.0867531305832
YLR027C	AAT2	2.04905519183471
YDL066W	IDP1	2.03172193846164
YKL085W	MDH1	2.00748210413917
YNR001C	CIT1	2.00748210413916
YDR158W	HOM2	1.99244140917719
YER052C	HOM3	1.99244140917719
YCR053W	THR4	1.99244140917719
YHR025W	THR1	1.99244140917719
YJR139C	HOM6	1.99244140917719
YLR304C	ACO1	1.98965370447346
YPR021C	AGC1	1.97897490412343
YDR384C	ATO3	1.94391690212728
YGR121C	MEP1	1.94391690212728
YNL142W	MEP2	1.94391690212728
YPR138C	MEP3	1.94391690212728
YLR174W	IDP2	1.9386712920778
YIL078W	THS1	1.87250643368598
YGL062W	PYC1	1.86504328070232
YGL245W	GUS1	1.74007847614342
YBL076C	ILS1	1.68752505612734
YJR148W	BAT2	1.66392041875306
YGL009C	LEU1	1.65309082341276
YCL018W	LEU2	1.65309082341276
YNL104C	LEU4	1.65309082341276
YPL160W	CDC60	1.65309082341276
YGL202W	ARO8	1.63701985915223
YOL126C	MDH2	1.63321249221401
YOR222W	ODC2	1.6299772261744
YPL134C	ODC1	1.6299772261744
YLR355C	ILV5	1.61308040188016
YBR166C	TYR1	1.61068253247552
YGR185C	TYS1	1.61068253247552
YNL220W	ADE12	1.57486351895429
YJR016C	ILV3	1.57310205079532
YMR108W	ILV2	1.56594547329448
YGL080W	MPC1	1.53799036091615
YGR243W	MPC3	1.53799036091615
YHR162W	MPC2	1.53799036091615
YGR254W	ENO1	1.52376579951294
YOR283W	YOR283W	1.52376579951294
YNL036W	NCE103	1.50575104718843
YBR221C	PDB1	1.48372230559571
YER178W	PDA1	1.48372230559571
YGR193C	PDX1	1.48372230559571
YNL071W	LAT1	1.48372230559571
YBR115C	LYS2	1.46702100561786
YDL131W	LYS21	1.46702100561786
YDR037W	KRS1	1.46702100561786
YDR234W	LYS4	1.46702100561786
YGL154C	LYS5	1.46702100561786
YIR034C	LYS1	1.46702100561786
YNR050C	LYS9	1.46702100561786
YER152C	YER152C	1.46702100561786
YIL094C	LYS12	1.46702100561786
YAL038W	CDC19	1.43121561007204
YER091C	MET6	1.38734296078652
YGL125W	MET13	1.38734296078652
YER099C	PRS2	1.33691636992904
YKL181W	PRS1	1.33691636992904
YPR081C	GRS2	1.33437785662591
YGR094W	VAS1	1.30886374714547
YHR208W	BAT1	1.30886374714547
YMR267W	PPA2	1.30129853589384
YHR137W	ARO9	1.24523575343405
YOR335C	ALA1	1.24523575343405
YMR120C	ADE17	1.23162195472034
YKL029C	MAE1	1.115741081249
YLL052C	AQY2	1.08972038357896
YPR192W	AQY1	1.08972038357896
YOR375C	GDH1	1.0420711634264
YCR012W	PGK1	1.03022708788068
YJL052W	TDH1	1.03022708788068
YDR516C	EMI2	1.00015033384317
YBR029C	CDS1	0.286048357285048
YOR175C	ALE1	0.276718757887599
YDL052C	SLC1	0.26147827695508
YCR048W	ARE1	0.220003558152579
YDR503C	LPP1	0.207961799740352
YNR019W	ARE2	0.207585615260368
YOR245C	DGA1	0.164378422890551
