compound	Prod_FC	family	Prot_cost
(R,R)-2,3-butanediol	0.0132600411093486	alcohol	0.00920950068598768
2-phenylethanol	0.107487200710148	alcohol	0.0238737535969456
glycerol	0.0237562971478646	alcohol	0.00504124807622783
isoamylol	0.141756258317033	alcohol	0.0250889599070509
isobutanol	0.0605119952751163	alcohol	0.00781523506311317
L-phenylacetylcarbinol	1	alcohol	0.00251844887498814
n-butanol	0.124436726234961	alcohol	0.0163168164750969
docosanol	0.99697105235068	alcohol	56.1419360169493
choline	0.999542790951357	alkaloid	0.529031227847555
hypoxanthine	0.76251973050856	alkaloid	0.0991085585714118
xanthine	0.967892820676955	alkaloid	0.133106438219536
(S)-Reticuline	0.99687420376884	alkaloid	84.0842535777044
psilocybin	0.996834654818648	alkaloid	133.729716338644
cinnamoyltropine	0.996818833407564	alkaloid	190.173347613546
glutathione	0.14502749358475	amino acid	0.0383271681395027
L-alanine	1	amino acid	0.00458325048613754
L-arginine	1	amino acid	0.0367752695113352
L-asparagine	1	amino acid	0.0192133019011258
L-aspartate	1	amino acid	0.00405519516225324
L-citrulline	1	amino acid	0.030821218067052
L-cysteine	1	amino acid	0.0217837476751692
L-glutamate	0.999998000002	amino acid	0.0175363622665227
L-glutamine	1	amino acid	0.00895465551559505
L-glycine	1	amino acid	0.0121396457095603
L-histidine	0.999999999999999	amino acid	0.0684190144536352
L-homoserine	1	amino acid	0.00588804792679881
L-isoleucine	0.740763694531102	amino acid	0.0256471883276764
L-leucine	0.714726489863409	amino acid	0.0222022669749907
L-lysine	1	amino acid	0.0760673351264544
L-methionine	0.658249883411552	amino acid	0.0374605311879768
L-phenylalanine	0.539333767215424	amino acid	0.0246590513251847
L-proline	0.960109239459709	amino acid	0.0247249586268579
L-serine	1	amino acid	0.00917711302370709
L-threonine	1	amino acid	0.00899701319543649
L-tryptophan	0.847235484326153	amino acid	0.131744084848738
L-tyrosine	0.565641990803436	amino acid	0.0244160342812217
L-valine	0.986348292966367	amino acid	0.00788304220352153
ornithine	0.672833757076563	amino acid	0.0730536081258782
Nicotianamine	0.996952042734388	amino acid	36.2006993677632
ergothioneine	0.996990762306246	amino acid	40.3722360344642
4-hydroxymandelic	0.141138427823186	aromatic	0.0261358605168673
cinnamate	0.123835367530412	aromatic	0.0254900067942724
mandelic	0.182186014462254	aromatic	0.0378347009156721
p-coumaric acid	0.999117642246434	aromatic	0.710423035801113
rosmarinate	0.999850978857506	aromatic	0.749749994372073
Salidroside	0.996129397590397	aromatic	210.677520719951
Tyrosol	0.996123997303116	aromatic	155.11547088606
vanillinbetaglucoside	0.996834931227938	aromatic	53.4528541702363
_-ionone	0.99687929626177	aromatic	92.051929643686
putrescine	0.256010057827565	bioamine	0.0282981810510632
spermine	0.572997964055215	bioamine	0.291139150923965
Free fatty acids	0.202461435929362	fatty acids and lipids	1.05321744844097
laurate	0.344105363175376	fatty acids and lipids	0.41832140680491
oleate	0.352963599556665	fatty acids and lipids	0.266540198142315
palmitoleate	0.333535168298093	fatty acids and lipids	0.232708941491735
triacylglycerol	0.230494158231626	fatty acids and lipids	1192.77095387746
ergosterol	0.896438588403573	fatty acids and lipids	1.05487249621006
ARA	0.996945710488511	fatty acids and lipids	237.374773073733
DHA	0.997019067520546	fatty acids and lipids	286.150375706215
EPA	0.996950072394069	fatty acids and lipids	285.683231882895
catechin	0.996924968805049	flavonoid	41.626635276271
genistein	0.996871579336554	flavonoid	61.6121662360192
kaempferol	0.996930999762967	flavonoid	45.2309720403856
naringenin	0.996937153940018	flavonoid	35.6635007617892
quercetin	0.996927871206549	flavonoid	45.2329622004915
(S)-lactate	0.0353254177873504	organic acid	0.00815293909996612
(S)-malate	0.0288416702414231	organic acid	0.00876813544631178
2-oxoglutarate	0.073483730123438	organic acid	0.0103742334825061
acetate	0.0558926817256399	organic acid	0.00462895548065614
citrate	0.0498828775876827	organic acid	0.00689371004673626
fumarate	0.0290487653636508	organic acid	0.00878240040481098
glycolate	0.150589036780946	organic acid	0.0115170547245512
hexanoate	0.99970141865649	organic acid	1.11616387370122
pyruvate	0.011548011896675	organic acid	0.00795696953602567
3-hydroxypropanoate	0.0936838022793918	organic acid	0.0587807665185264
3-hydroxypropanoate	0.136293338856276	organic acid	0.0106134535182305
Adipic acid	0.039764159053222	organic acid	0.00808972692257306
cis,cis-muconate	0.0284851548388644	organic acid	0.0142826579218215
Itaconic acid	0.686580005742685	organic acid	0.076567566425918
caffeicacid	0.996821239616016	organic acid	58.4321978998191
succinate	0.0481904764039509	organic acid	0.0188159036312704
resveratrol	0.998008074392542	stilbenoids	4.24809795852066
astaxanthin	0.996852961184164	terpene	259.423163161816
betaxanthin	0.996910167853229	terpene	28.6629928523834
_-carotene	0.996923263286918	terpene	122.277385850316
artemisinic acid	0.618749524325808	terpene	0.462514171102163
alpha-Farnesene	0.998342822360713	terpene	0.492173011646285
amorphadiene	0.498821665521039	terpene	0.349244425736755
Geraniol	0.473850436370845	terpene	0.225379335307396
Limonene	0.76093340695569	terpene	0.300663634479788
linalool	0.999985103828314	terpene	0.538065511816152
lupeol	0.99693328604859	terpene	88.0108630775691
Oleanolic acid	0.997025408872328	terpene	55.7855286796301
patchoulol	0.996935267302612	terpene	42.0028730745634
protopanaxadiol	0.996878975549208	terpene	145.481170988492
Santalene	0.936391732019545	terpene	0.457002984657378
_-Amyrin	0.684731411315823	terpene	0.909201551004628
glycyrrhetinic_acid	0.996897920410192	terpene	117.49145331111
lycopene	0.996904572763676	terpene	167.568494348968
miltiradiene	0.996842236880107	terpene	160.421263816021
nootkatone	0.997753480027159	terpene	6.2460780204196
squalene	0.43005856790872	terpene	0.905468247204484
taxadien_5alpha_yl_acetate	0.997006229179638	terpene	57.3083983268808
valencene	0.997753912865287	terpene	6.24325255510871
