gene_IDs	gene_names	K_score
YBL015W	ACH1	1000
YDR300C	PRO1	1000
YER170W	ADK2	1000
YOL086C	ADH1	1000
YOR323C	PRO2	1000
YJR069C	HAM1	1000
YDR452W	PPN1	1000
CrTdc	CrTdc	1000
PcpsiH	PcpsiH	1000
PcPsiK	PcPsiK	1000
PcPsiM	PcPsiM	1000
YLR044C	PDC1	12.202793786171
YAL038W	CDC19	2.44758086244558
YGR254W	ENO1	2.29321272190662
YOR283W	YOR283W	2.29321272190662
YLR354C	TAL1	1.26335927557012
YKL060C	FBA1	1.22691398178769
YMR205C	PFK2	1.22691398178769
YDR050C	TPI1	1.2258028927178
YCR012W	PGK1	1.22481435377797
YJL052W	TDH1	1.22481435377797
YBR196C	PGI1	1.1919131462626
YBR221C	PDB1	0.287687053462433
YER178W	PDA1	0.287687053462433
YGR193C	PDX1	0.287687053462433
YNL071W	LAT1	0.287687053462433
YLL052C	AQY2	0.285873680842003
YPR192W	AQY1	0.285873680842003
YNL036W	NCE103	0.285166289785644
YBR218C	PYC2	0.280817774881742
YGL062W	PYC1	0.280817774881742
YJR095W	SFC1	0.27783
YHR002W	LEU5	0.27783
YKL085W	MDH1	0.276850671385187
YOR222W	ODC2	0.263536377659125
YPL134C	ODC1	0.263536377659125
YDL066W	IDP1	0.262301204595677
YBL039C	URA7	0.258201785040243
YJR103W	URA8	0.258201785040243
YMR267W	PPA2	0.258042499631137
YOL126C	MDH2	0.246774931102025
YDL085W	NDE2	0.212992151536196
YMR145C	NDE1	0.212992151536196
YDR503C	LPP1	0.207961799876516
YKL029C	MAE1	0.202348825375447
Q0045	COX1	0.189385120194779
Q0250	COX2	0.189385120194779
Q0275	COX3	0.189385120194779
YDL067C	COX9	0.189385120194779
YGL187C	COX4	0.189385120194779
YGL191W	COX13	0.189385120194779
YHR051W	COX6	0.189385120194779
YIL111W	COX5B	0.189385120194779
YLR038C	COX12	0.189385120194779
YLR395C	COX8	0.189385120194779
YMR256C	COX7	0.189385120194779
YPR021C	AGC1	0.188206271058758
Q0105	COB	0.188030740367817
YBL045C	COR1	0.188030740367817
YDR529C	QCR7	0.188030740367817
YEL024W	RIP1	0.188030740367817
YFR033C	QCR6	0.188030740367817
YGR183C	QCR9	0.188030740367817
YHR001W-A	QCR10	0.188030740367817
YJL166W	QCR8	0.188030740367817
YOR065W	CYT1	0.188030740367817
YPR191W	QCR2	0.188030740367817
YOL077W-A	ATP19	0.18098117392289
Q0080	ATP8	0.18098117392289
Q0085	ATP6	0.18098117392289
Q0130	OLI1	0.18098117392289
YBL099W	ATP1	0.18098117392289
YBR039W	ATP3	0.18098117392289
YDL004W	ATP16	0.18098117392289
YDR298C	ATP5	0.18098117392289
YDR322C-A	TIM11	0.18098117392289
YDR377W	ATP17	0.18098117392289
YJR121W	ATP2	0.18098117392289
YKL016C	ATP7	0.18098117392289
YLR295C	ATP14	0.18098117392289
YML081C-A	ATP18	0.18098117392289
YPL078C	ATP4	0.18098117392289
YPL271W	ATP15	0.18098117392289
YPR020W	ATP20	0.18098117392289
YER053C	PIC2	0.151644803809855
YJR077C	MIR1	0.151644803809855
YER069W	ARG5,6	0.145193082637183
YMR062C	ARG7	0.145193082637183
YOL140W	ARG8	0.145193082637183
YOR130C	ORT1	0.145193082637183
YAL062W	GDH3	0.126504332255215
YOR375C	GDH1	0.126504332255215
YML120C	NDI1	0.104571269590997
YFL018C	LPD1	0.0780060549613962
YIL074C	SER33	0.0304751951789328
YER081W	SER3	0.0304751951789328
YGR208W	SER2	0.0304751951789328
YOR184W	SER1	0.0304751951789328
YLR058C	SHM2	0.0101989748319647
YGR204W	ADE3	0.00360221511296358
YBR263W	SHM1	0.00135450399066153
YAL044C	GCV3	0.000677251322170638
YDR019C	GCV1	0.000677251322170638
YMR189W	GCV2	0.000677251322170564
YDR148C	KGD2	0
YER070W	RNR1	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YIL125W	KGD1	0
YJL026W	RNR2	0
YLR438W	CAR2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YOR388C	FDH1	0
