gene_IDs	gene_names	K_score
YBR252W	DUT1	1000
YCR010C	ADY2	1000
YDR300C	PRO1	1000
YOR323C	PRO2	1000
YJR069C	HAM1	1000
YDR452W	PPN1	1000
TAL	TAL	1000
hpaBC	hpaBC	1000
HPPR	HPPR	1000
4CL1	4CL1	1000
RAS	RAS	1000
YBR166C	TYR1	19.9030742916889
ARO7G141S	ARO7G141S	8.77293883106191
YGL148W	ARO2	7.86186246497122
aroL	aroL	7.86186246497122
YDR127W	ARO1	7.86186246255958
YLR044C	PDC1	5.34778885419882
YGR087C	PDC6	5.34778885419881
YPR021C	AGC1	2.32106938215283
YGR254W	ENO1	1.95572682626001
YHR174W	ENO2	1.95572682626001
YKL152C	GPM1	1.95572682626001
YMR323W	ERR3	1.95572682626001
YOR393W	ERR1	1.95572682626001
YPL281C	ERR2	1.95572682626001
YOR283W	YOR283W	1.95572682626001
YOR095C	RKI1	1.66548559215511
YAL038W	CDC19	1.49388302593929
YOR347C	PYK2	1.49388302593929
YBR196C	PGI1	1.17333820603404
YDR050C	TPI1	1.13326022226106
YGR240C	PFK1	1.12707065844142
YKL060C	FBA1	1.12707065844142
YMR205C	PFK2	1.12707065844142
YCR012W	PGK1	1.03608994893087
YGR192C	TDH3	1.03608994893087
YJL052W	TDH1	1.03608994893087
YJR009C	TDH2	1.03608994893087
YDR516C	EMI2	1.00070402306091
YER091C	MET6	0.293884450470792
YGL125W	MET13	0.293884450454309
YPL023C	MET12	0.293884450454309
YDR502C	SAM2	0.293827460547136
YER043C	SAH1	0.293827460547136
YJR105W	ADO1	0.293827460547136
YLR180W	SAM1	0.293827460547136
YAL062W	GDH3	0.271805694096617
YOR375C	GDH1	0.271805694096617
YNL036W	NCE103	0.265663261667788
YBL039C	URA7	0.258201785040243
YJR103W	URA8	0.258201785040243
YGL062W	PYC1	0.251714100708899
YBR218C	PYC2	0.251714100708898
YDR148C	KGD2	0.22785
YIL125W	KGD1	0.227849999641438
YDR503C	LPP1	0.207961799779165
YOL126C	MDH2	0.19843919618797
YER069W	ARG5,6	0.145193082637183
YMR062C	ARG7	0.145193082637183
YOR130C	ORT1	0.145193082637183
YOL140W	ARG8	0.145193082637183
YDL066W	IDP1	0.127538851514444
YAL044C	GCV3	0.0837878025772037
YMR189W	GCV2	0.0837878025772037
YDR019C	GCV1	0.0837878025770944
YBR263W	SHM1	0.0544771702755872
YOR388C	FDH1	0.0309746271466789
YLR058C	SHM2	0.024472141356496
YGR204W	ADE3	0.0192645969553586
YER081W	SER3	0.00804587057059137
YGR208W	SER2	0.00804587057059137
YIL074C	SER33	0.00804587057059137
YOR184W	SER1	0.00804587057059137
YCL040W	GLK1	0
YER070W	RNR1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR180C	RNR4	0
YIL066C	RNR3	0
YJL026W	RNR2	0
YKL029C	MAE1	0
YLR438W	CAR2	0
YMR246W	FAA4	0
YOR317W	FAA1	0
YLR446W	YLR446W	0
