gene_IDs	gene_names	K_score
YDR300C	PRO1	1000
YEL047C	FRD1	1000
YER073W	ALD5	1000
YIL099W	SGA1	1000
YLR011W	LOT6	1000
YLR138W	NHA1	1000
YMR170C	ALD2	1000
YMR241W	YHM2	1000
YNL037C	IDH1	1000
YOR136W	IDH2	1000
YOR323C	PRO2	1000
YOR374W	ALD4	1000
YMR110C	HFD1	1000
YBR241C	YBR241C	1000
YGL104C	VPS73	1000
YDR456W	NHX1	1000
YDR038C	ENA5	1000
YDR039C	ENA2	1000
YDR040C	ENA1	1000
YBR296C	PHO89	80.4176690431771
YCR037C	PHO87	80.4176690431771
YJL198W	PHO90	80.4176690431771
YML123C	PHO84	80.4176690431771
YNR013C	PHO91	80.4176690431771
YJL137C	GLG2	26.7735497384374
YLR258W	GSY2	26.7735497384374
YFR015C	GSY1	26.7735497384374
YKR058W	GLG1	26.7735497384374
YOL126C	MDH2	12.3822360046805
YKL035W	UGP1	6.57395006423335
YKL127W	PGM1	6.57395006423335
YMR105C	PGM2	6.57395006423335
YHL012W	YHL012W	6.57395006423335
YBR218C	PYC2	3.92028443268482
YGL062W	PYC1	3.92028443268481
YNL036W	NCE103	2.95857881134619
YAL038W	CDC19	1.97395991697545
YOR347C	PYK2	1.97395991697545
YGR254W	ENO1	1.8418594133369
YHR174W	ENO2	1.8418594133369
YKL152C	GPM1	1.8418594133369
YMR323W	ERR3	1.8418594133369
YOR393W	ERR1	1.8418594133369
YPL281C	ERR2	1.8418594133369
YOR283W	YOR283W	1.8418594133369
YDR516C	EMI2	1.7695031822709
YLR354C	TAL1	1.40150520088378
YGR043C	NQM1	1.40150520088378
YBR196C	PGI1	1.34585363642408
YDR050C	TPI1	1.32080246978017
YGR240C	PFK1	1.31212290488746
YKL060C	FBA1	1.31212290488746
YMR205C	PFK2	1.31212290488746
YCR012W	PGK1	1.29473162026201
YGR192C	TDH3	1.29473162026201
YJL052W	TDH1	1.29473162026201
YJR009C	TDH2	1.29473162026201
YDR454C	GUK1	0.150702396373058
YER141W	COX15	0.145891666666667
YLR304C	ACO1	0.137233686195338
YBL039C	URA7	0.133931198022575
YJR103W	URA8	0.133931198022575
YDR503C	LPP1	0.107871373988331
YER070W	RNR1	0.0991249999999893
YIL066C	RNR3	0.0991249999999893
YJL026W	RNR2	0.0991249999999893
YPR021C	AGC1	0.097624001144424
YGR180C	RNR4	0.0914032167745055
YER069W	ARG5,6	0.0753127384427565
YMR062C	ARG7	0.0753127384427565
YOL140W	ARG8	0.0753127384427565
YOR130C	ORT1	0.0753127384427565
YMR246W	FAA4	0.0690372631468148
YOR317W	FAA1	0.0575310552141077
YOR095C	RKI1	0.0568913996273162
YCL040W	GLK1	0
YFR053C	HXK1	0
YGL253W	HXK2	0
YGR202C	PCT1	0
YGR248W	SOL4	0
YGR256W	GND2	0
YHR123W	EPT1	0
YHR163W	SOL3	0
YHR183W	GND1	0
YJR095W	SFC1	0
YLR133W	CKI1	0
YLR438W	CAR2	0
YML059C	NTE1	0
YMR267W	PPA2	0
YNL130C	CPT1	0
YNL241C	ZWF1	0
YNR008W	LRO1	-0
YPL061W	ALD6	0
YPL110C	GDE1	0
YPR140W	TAZ1	0
YLR446W	YLR446W	0
YJR051W	OSM1	0
