models	chemClass	cand_1_total	cand_1_OE	cand_1_dR	cand_1_del	cand_2_total	cand_2_OE	cand_2_dR	cand_2_del	cand_3_total	cand_3_OE	cand_3_dR	cand_3_del
ec(s)-reticuline	alkaloid	117	19	72	19	27	15	6	0	27	21	6	0
ec2-phenylethanol	alcohol	41	15	21	2	30	13	10	4	30	16	10	4
ec2_fucosyllactose	other	120	15	79	19	36	11	12	7	36	17	12	7
ec3-methylbutanol	alcohol	57	22	17	11	38	15	9	8	38	21	9	8
ec3hp-asp	organic acid	72	18	45	4	33	12	13	4	33	16	13	4
ec3hp-malcoa	organic acid	47	15	24	0	31	15	9	0	31	22	9	0
ec4-hydroxymandelic_acid	aromatic	42	10	23	2	27	8	11	2	27	14	11	2
ecacetaldehyde	other	46	4	24	11	28	3	9	10	28	9	9	10
ecacetate	organic acid	83	24	34	18	54	17	12	18	54	24	12	18
ecadipic_acid	organic acid	38	9	18	7	24	7	9	4	24	11	9	4
ecalanine	amino acid	87	21	49	14	37	9	15	11	37	11	15	11
ecalpha_amylase	protein	132	50	4	0	111	47	2	0	111	109	2	0
ecamorphadiene	terpene	56	21	16	15	28	13	9	2	28	17	9	2
ecara	fatty acids and lipids	136	24	86	19	38	20	11	2	38	25	11	2
ecarginine	amino acid	62	41	6	4	50	31	2	9	50	39	2	9
ecartemisinic_acid	terpene	68	28	22	15	37	23	9	2	37	26	9	2
ecasparagine	amino acid	56	23	18	4	34	15	5	6	34	23	5	6
ecaspartate	amino acid	105	23	65	11	37	11	9	13	37	15	9	13
ecastaxanthin	terpene	116	16	74	19	28	12	9	1	28	18	9	1
ecbeta_amyrin	terpene	60	23	19	15	31	18	8	2	31	21	8	2
ecbeta_carotene	terpene	114	14	74	19	35	11	10	9	35	16	10	9
ecbeta_ionone	terpene	115	15	74	19	33	11	10	6	33	17	10	6
ecbetaxanthin	terpene	125	13	79	26	37	9	10	13	37	14	10	13
eccaffeic_acid	organic acid	118	13	79	19	23	9	8	0	23	15	8	0
eccatechin	flavonoid	118	20	72	19	27	15	6	1	27	20	6	1
eccholine	alkaloid	51	18	17	8	33	15	4	7	33	22	4	7
eccinnamate	aromatic	37	14	18	2	25	12	9	2	25	14	9	2
eccinnamoyltropine	alkaloid	126	21	79	19	33	15	8	4	33	21	8	4
eccis_muconate	organic acid	63	13	40	6	29	6	14	5	29	10	14	5
eccitrate	organic acid	68	25	24	15	36	15	9	9	36	18	9	9
eccitrulline	amino acid	73	36	20	4	47	24	9	4	47	34	9	4
eccoumaric_acid	aromatic	91	13	51	20	42	12	11	13	42	18	11	13
eccysteine	amino acid	55	25	21	0	32	16	6	7	32	19	6	7
ecdha	fatty acids and lipids	131	25	80	19	37	21	9	2	37	26	9	2
ecdocosanol	alcohol	116	12	78	19	32	8	12	7	32	13	12	7
ecepa	fatty acids and lipids	138	25	87	19	36	21	9	1	36	26	9	1
ecergosterol	other	72	39	20	10	44	33	7	2	44	35	7	2
ecergothioneine	amino acid	112	14	72	19	24	9	9	1	24	14	9	1
ecethylene	other	89	37	25	19	57	28	8	15	57	34	8	15
ecfarnesene	terpene	52	22	13	15	25	14	7	2	25	16	7	2
ecffas	fatty acids and lipids	44	18	17	0	30	18	5	0	30	25	5	0
ecfumaric_acid	organic acid	45	11	20	8	26	6	9	6	26	11	9	6
