gene_IDs	gene_names	K_score
YBR068C	BAP2	1000
YBR069C	TAT1	1000
YBR252W	DUT1	1000
YCL025C	AGP1	1000
YDR046C	BAP3	1000
YKR039W	GAP1	1000
YOL020W	TAT2	1000
YJR069C	HAM1	1000
YBR117C	TKL2	424.93251072783
YPR074C	TKL1	343.256466624434
YBR166C	TYR1	42.6459425007415
YPR060C	ARO7	18.5266198947702
YGL148W	ARO2	16.5522902108503
P32449ly	ARO4K229L	16.5522902108503
YDR127W	ARO1	16.552290210354
YOR095C	RKI1	5.72519031193477
YJL121C	RPE1	5.69131251604372
YDL171C	GLT1	5.46944027705296
YPR035W	GLN1	2.51374636442326
YFR053C	HXK1	2.43606004576409
YCL040W	GLK1	2.43606004576409
YGL253W	HXK2	2.43606004576409
YLR446W	YLR446W	2.43606004576409
YGR254W	ENO1	1.34191085248658
YHR174W	ENO2	1.34191085248658
YKL152C	GPM1	1.34191085248658
YMR323W	ERR3	1.34191085248658
YOR393W	ERR1	1.34191085248658
YPL281C	ERR2	1.34191085248658
YOR283W	YOR283W	1.34191085248658
YBR196C	PGI1	1.1293920535559
YDR050C	TPI1	1.0422379299939
YGR240C	PFK1	1.03595788773574
YKL060C	FBA1	1.03595788773574
YMR205C	PFK2	1.03595788773574
YBL039C	URA7	0.146212559473399
YJR103W	URA8	0.146212559473399
YER141W	COX15	0.145891666666667
YER070W	RNR1	0.135287711472187
YIL066C	RNR3	0.135287711472187
YJL026W	RNR2	0.135287711472187
YGR180C	RNR4	0.132606055863456
