gene_IDs	gene_names	K_score
YCR010C	ADY2	1000
YDL080C	THI3	1000
YDL238C	GUD1	1000
YEL046C	GLY1	1000
YER037W	PHM8	1000
YER065C	ICL1	1000
YFL030W	AGX1	1000
YGR155W	CYS4	1000
YGR248W	SOL4	1000
YGR256W	GND2	1000
YHR163W	SOL3	1000
YHR183W	GND1	1000
YKL106W	AAT1	1000
YKL217W	JEN1	1000
YLR209C	PNP1	1000
YMR278W	PRM15	1000
YNL241C	ZWF1	1000
YDR452W	PPN1	1000
YPR021C	AGC1	501.121864476865
YHR216W	IMD2	131.452430609435
YLR432W	IMD3	131.452430609435
YML056C	IMD4	131.452430609435
YMR217W	GUA1	131.452430609435
YDR380W	ARO10	92.4717113347963
YBR296C	PHO89	81.0197470857439
YCR037C	PHO87	81.0197470857439
YJL198W	PHO90	81.0197470857439
YML123C	PHO84	81.0197470857439
YNR013C	PHO91	81.0197470857439
YJR095W	SFC1	79.8712835708121
YJR051W	OSM1	79.8712835708121
YPL262W	FUM1	66.2083477964337
YAR015W	ADE1	65.6660189092947
YDR408C	ADE8	65.6660189092947
YGL234W	ADE5,7	65.6660189092947
YLR028C	ADE16	65.6660189092947
YMR120C	ADE17	65.6660189092947
YMR300C	ADE4	65.6660189092947
YOR128C	ADE2	65.6660189092947
YGR061C	ADE6	65.6660189083319
YPR035W	GLN1	55.887309946337
YKL085W	MDH1	32.4336373233203
YBL068W	PRS4	32.0463663906266
YER099C	PRS2	32.0463663906266
YHL011C	PRS3	32.0463663906266
YKL181W	PRS1	32.0463663906266
YOL061W	PRS5	32.0463663906266
YNR001C	CIT1	18.2383106457712
YPR001W	CIT3	18.2383106457712
YDR384C	ATO3	9.92088145891896
YGR121C	MEP1	9.92088145891896
YNL142W	MEP2	9.92088145891896
YPR138C	MEP3	9.92088145891896
YHR137W	ARO9	8.99678647449541
YOR095C	RKI1	8.16836779153691
YBR221C	PDB1	5.54396969648911
YER178W	PDA1	5.54396969648911
YGR193C	PDX1	5.54396969648911
YNL071W	LAT1	5.54396969648911
YGL080W	MPC1	3.64472680239436
YGR243W	MPC3	3.64472680239436
YHR162W	MPC2	3.64472680239436
YML120C	NDI1	3.04316605856588
YKL029C	MAE1	2.6137805711602
YAL038W	CDC19	2.28301322382296
YGR254W	ENO1	2.28301322382296
YHR174W	ENO2	2.28301322382296
YKL152C	GPM1	2.28301322382296
YOR347C	PYK2	2.28301322382296
YMR323W	ERR3	2.28301322382296
YOR393W	ERR1	2.28301322382296
YPL281C	ERR2	2.28301322382296
YOR283W	YOR283W	2.28301322382296
YLL052C	AQY2	2.2597880507548
YPR192W	AQY1	2.2597880507548
YDR226W	ADK1	2.01616256114317
YAL062W	GDH3	1.91035685080434
YOR375C	GDH1	1.91035685080434
YER053C	PIC2	1.58546753952502
YJR077C	MIR1	1.58546753952502
Q0105	COB	1.37056594631147
Q0045	COX1	1.37056594631147
Q0250	COX2	1.37056594631147
Q0275	COX3	1.37056594631147
YBL045C	COR1	1.37056594631147
YDL067C	COX9	1.37056594631147
YDR529C	QCR7	1.37056594631147
YEL024W	RIP1	1.37056594631147
YEL039C	CYC7	1.37056594631147
YFR033C	QCR6	1.37056594631147
YGL187C	COX4	1.37056594631147
YGL191W	COX13	1.37056594631147
YGR183C	QCR9	1.37056594631147
YHR001W-A	QCR10	1.37056594631147
YHR051W	COX6	1.37056594631147
YIL111W	COX5B	1.37056594631147
YJL166W	QCR8	1.37056594631147
YJR048W	CYC1	1.37056594631147
YLR038C	COX12	1.37056594631147
YLR395C	COX8	1.37056594631147
YMR256C	COX7	1.37056594631147
YOR065W	CYT1	1.37056594631147
