genes	enzymes	shortNames	MWs	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage
YDR300C	P32264	PRO1	47.16164	2	1000	opt_isoenz	2	0	1.86630816605978e-09	1.51086591975777e-09
YOR323C	P54885	PRO2	49.73991	2	1000	opt_isoenz	2	0	2.41928948187125e-10	1.95853082385636e-10
YGR155W	P32582	CYS4	56.02121	2	51.5435904838527	tightly_const	2	3.49975977972925e-07	3.50146812068928e-07	3.50055942868951e-07
YAL012W	P31373	CYS3	42.5416	1	51.5435904838527	subOpt_isoenz	2	0	0.00180602833360759	0
YNL247W	P53852	YNL247W	87.52914	2	51.5435904838527	tightly_const	2	7.30698666897567e-07	7.30698676834471e-07	7.30698666897567e-07
YBR117C	P33315	TKL2	75.02862	1	42.6293292713161	subOpt_isoenz	2	0	0.00102505995931485	0
YBR291C		CTP1	NaN	1	40.8119668735216		2	NaN	NaN	NaN
YPR074C	P23254	TKL1	73.80488	1	36.3460702320712	opt_isoenz	2	0	0.00104205568269602	1.10392552846662e-06
YML082W	Q04533	YML082W	74.31247	1	20.1833842075216	subOpt_isoenz	2	0	0.00103398076977853	0
YLL058W	Q12198	YLL058W	64.22244	1	18.3540662422475	opt_isoenz	2	0	0.00119643140169124	1.61274009344627e-07
YJL121C	P46969	RPE1	25.96689	1	11.2130340750915	essential	2	6.71001914674872e-07	0.00295933542164773	6.71109370617878e-07
YCL050C	P16550	APA1	36.49211	2	7.3781584506033	tightly_const	2	1.01591686786105e-07	1.01644450115515e-07	1.01636458809343e-07
YFR030W	P39692	MET10	114.82714	2	7.3781584506033	tightly_const	2	6.25455941723855e-08	6.25476509094806e-08	6.25455941723855e-08
YJR130C	P47164	STR2	72.34965	1	7.3781584506033	subOpt_isoenz	2	0	0.00106196043692006	0
YJR137C	P47169	MET5	161.21721	2	7.3781584506033	tightly_const	2	6.25455941723855e-08	6.25476509094806e-08	6.25455941723855e-08
YKL001C	Q02196	MET14	23.06018	2	7.3781584506033	tightly_const	2	2.21752114104284e-06	2.21769560852649e-06	2.21752114104284e-06
YOL064C	P32179	MET22	39.14886	2	7.3781584506033	tightly_const	2	8.87001088606418e-07	8.87085901319516e-07	8.87007753906294e-07
YPR167C	P18408	MET16	30.3799	2	7.3781584506033	tightly_const	2	2.78774216768828e-06	2.78796149834168e-06	2.78774216768828e-06
YLR043C	P22217	TRX1	11.23485	1	6.86938045782214	subOpt_isoenz	2	0	3.0852319557233e-06	0
YGR248W	P53315	SOL4	28.44737	1	6.65730781771339	subOpt_isoenz	2	0	1.29773899087581e-05	0
YGR256W	P53319	GND2	53.92235	1	6.65730781771339	subOpt_isoenz	2	0	3.5652152623669e-06	0
YHR163W	P38858	SOL3	27.78417	2	6.65730781771339	opt_isoenz_tight	2	0	1.29773899087324e-05	1.29770702908554e-05
YHR183W	P38720	GND1	53.54274	2	6.65730781771339	opt_isoenz_tight	2	0	3.56521526236685e-06	3.56512745529858e-06
YNL241C	P11412	ZWF1	57.5209	2	6.65730781771339	tightly_const	2	2.05044660678801e-07	2.05078608921822e-07	2.05073570883785e-07
YDR353W	P29509	TRR1	34.23767	2	6.36060246504096	tightly_const	2	2.97247404601398e-07	2.9727221987137e-07	2.97247404601398e-07
YOR168W	P13188	GLN4	93.13159	2	5.97920787954213	tightly_const	2	4.59662739943769e-06	4.59662791015252e-06	4.59662739943769e-06
YBR294W		SUL1	NaN	1	5.83043954479287		2	NaN	NaN	NaN
YLR092W		SUL2	NaN	1	5.83043954479287		2	NaN	NaN	NaN
YOR095C	Q12189	RKI1	28.25777	1	4.14792699085898	essential	2	5.58023646875223e-06	0.00272438206394402	5.58087169073792e-06
YFL022C	P15625	FRS2	57.51077	2	2.82029707918706	tightly_const	2	1.55836108167845e-08	1.55836142598681e-08	1.55836108167845e-08
YLR060W	P15624	FRS1	67.36425	2	2.82029707918706	tightly_const	2	1.55836108167845e-08	1.55836142598681e-08	1.55836108167845e-08
YNL316C	P32452	PHA2	38.22484	2	2.82029707918706	tightly_const	2	4.86381455391141e-09	4.86384566485817e-09	4.8638145539114e-09
YLR174W	P41939	IDP2	46.56172	1	2.66105091958483	essential	2	3.03186489354646e-07	0.00165031501410348	3.03555109798691e-07
YBR248C	P33734	HIS7	61.06729	2	2.62639805412133	tightly_const	2	3.16703269568115e-08	3.16711377340005e-08	3.16703269568115e-08
YCL030C	P00815	HIS4	87.72027	2	2.62639805412133	tightly_const	2	1.27928595213101e-07	1.27931870253081e-07	1.27928595213101e-07
YER055C	P00498	HIS1	32.26611	2	2.62639805412133	tightly_const	2	1.61871294247234e-06	1.61875438238319e-06	1.61871294247234e-06
YFR025C	P38635	HIS2	38.58138	2	2.62639805412133	tightly_const	2	2.04229931738355e-09	2.04235163486729e-09	2.04229931738355e-09
YIL020C	P40545	HIS6	29.55623	2	2.62639805412133	tightly_const	2	1.36578521008813e-07	1.36582019734266e-07	1.36578521008813e-07
YIL116W	P07172	HIS5	42.64564	2	2.62639805412133	tightly_const	2	1.40984152865246e-09	1.40987762134443e-09	1.40984152865246e-09
YOR202W	P06633	HIS3	23.83295	2	2.62639805412133	tightly_const	2	4.37051393098903e-09	4.37062581846706e-09	4.37051393098903e-09
YPR033C	P07263	HTS1	59.95193	2	2.62639805412133	tightly_const	2	1.0926269093635e-07	1.09262716636631e-07	1.0926269093635e-07
YPR060C	P32178	ARO7	29.7468	2	2.50639635825426	tightly_const	2	4.13541264510447e-08	4.13550350111218e-08	4.13541264510447e-08
YCL018W	P04173	LEU2	38.95257	2	2.38088604792164	tightly_const	2	1.9823804390097e-06	1.98239367341471e-06	1.9823804390097e-06
YGL009C	P07264	LEU1	85.79356	1	2.38088604792164	essential	2	3.87065921221707e-06	0.000899360962309576	3.87065921221707e-06
YNL104C	P06208	LEU4	68.40819	2	2.38088604792164	tightly_const	2	1.30078494760543e-06	1.3009884347949e-06	1.30097974943223e-06
YPL160W	P26637	CDC60	124.14	2	2.38088604792164	tightly_const	2	4.78414289829015e-07	4.78414412305388e-07	4.78414289829015e-07
YBR249C	P32449	ARO4	39.74874	2	2.34180235546886	opt_isoenz_tight	2	0	1.29270919415796e-07	1.29268229245325e-07
YDR035W	P14843	ARO3	41.06952	1	2.34180235546886	subOpt_isoenz	2	0	1.29270919415797e-07	0
YDR127W	P08566	ARO1	174.75305	2	2.34180235546886	tightly_const	2	9.98493358043345e-07	9.98514137451847e-07	9.98493358043344e-07
YGL148W	P28777	ARO2	40.83793	2	2.34180235546886	tightly_const	2	1.81272565296189e-05	1.81276337716539e-05	1.81272565296189e-05
YBR115C	P07702	LYS2	155.34394	2	2.32018104257687	tightly_const	2	4.06273249983277e-07	4.06275715071985e-07	4.06273249983277e-07
YDL131W	Q12122	LYS21	48.59372	2	2.32018104257687	tightly_const	2	2.74579980987641e-05	2.74581648087742e-05	2.74579980987641e-05
YDR037W	P15180	KRS1	67.95785	2	2.32018104257687	tightly_const	2	3.70713194738724e-07	3.70713291780577e-07	3.70713194738724e-07
YDR234W	P49367	LYS4	75.14989	1	2.32018104257687	essential	2	6.77662858807565e-06	0.00103587451599952	1.35532571761513e-05
YER152C	P10356	YER152C	49.48976	1	2.32018104257687	opt_isoenz	2	0	0.0015523983323539	1.10010204351877e-08
YGL154C	P50113	LYS5	30.68281	2	2.32018104257687	tightly_const	2	4.06273249983277e-07	4.06275715071985e-07	4.06273249983277e-07
YIL094C	P40495	LYS12	40.06854	2	2.32018104257687	tightly_const	2	9.96565897762574e-07	9.96571944489357e-07	9.96565897762574e-07
