genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.10050635743842e-07	2.10396663368993e-07	2.10188074822914e-07	1	4	0	1	1.00041519133532	1.00042970994623
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.72301444657393e-08	2.7274722208559e-08	2.72466152002226e-08	1	6	0	1	1.0000567642084	1.0000587484306
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	1	1000	essential	2	2.64467440169846e-11	4.19102356211286e-09	1.5728024228112e-10	1	16	0	1	1.00000014553946	1.00000015062657
NES1	H9M5U5	NES1	65.381		2	1000	tightly_const	2	0.00107570613320962	0.00107570613321177	0.00107570613320962	1	4	0	1	1.59363644411334	1.62740451700891
YPL117C	P15496	IDI1	33.35113	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	1	30.8048761184129	essential	2	1.6095574932458e-09	4.3314238404139e-09	1.6095574932458e-09	1	2	0	1	1.00000031674928	1.00000032782077
YPR074C	P23254	TKL1	73.80488	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	30.5389067090345	essential	2	1.11723334468905e-06	1.19262459187297e-06	1.19055336833437e-06	1	10	0	1	1.0017182339462	1.00177839897964
YML126C	P54839	ERG13	55.01283	sce00072  Synthesis and degradation of ketone bodies sce00280  Valine, leucine and isoleucine degradation sce00650  Butanoate metabolism sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	20.6350122312195	tightly_const	2	0.000233846215663648	0.000233847639042311	0.000233846215663648	1	12	0	1	1.08533155390963	1.08857838402219
YMR208W	P07277	ERG12	48.45901	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce04146  Peroxisome	2	20.6350122312195	tightly_const	2	4.4313268138e-06	4.43133553432046e-06	4.4313268138e-06	1	11	0	1	1.00133183176456	1.001378448066
YMR220W	P24521	ERG8	50.45437	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	20.6350122312195	tightly_const	2	2.85429795850401e-05	2.85430307924769e-05	2.85429795850401e-05	1	4	0	1	1.00898837972721	1.00930547827028
YNR043W	P32377	MVD1	44.11544	sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	2	20.6350122312195	tightly_const	2	1.98053292083312e-05	1.98053934965814e-05	1.98053292083312e-05	1	6	0	1	1.00543733157077	1.00562845484431
YPL028W	P41338	ERG10	41.72825	sce00071  Fatty acid degradation sce00072  Synthesis and degradation of ketone bodies sce00280  Valine, leucine and isoleucine degradation sce00310  Lysine degradation sce00380  Tryptophan metabolism sce00620  Pyruvate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce00640  Propanoate metabolism sce00650  Butanoate metabolism sce00900  Terpenoid backbone biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01212  Fatty acid metabolism	2	20.6350122312195	essential	2	1.0782903989183e-07	1.10004544849849e-07	1.07829103861183e-07	1	6	0	1	1.00002787649017	1.00002885089814
YJL121C	P46969	RPE1	25.96689	sce00030  Pentose phosphate pathway sce00040  Pentose and glucuronate interconversions sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	9.29350545217438	tightly_const	2	7.23573420009561e-07	7.27733729077415e-07	7.23773027352396e-07	1	2	0	1	1.00036742176699	1.00038026931363
YHR163W	P38858	SOL3	27.78417	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	5.10257308490438	essential	2	1.27627153155317e-05	1.29117752709721e-05	1.28972587690832e-05	1	5	0	1	1.00737059109109	1.00763018451774
YHR183W	P38720	GND1	53.54274	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	5.10257308490438	essential	2	3.30657764930868e-06	3.54715722843219e-06	3.54320122378857e-06	1	6	0	1	1.00389996596974	1.00403683357466
YNL241C	P11412	ZWF1	57.5209	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	5.10257308490438	tightly_const	2	2.03759556298348e-07	2.04037130547553e-07	2.03812328291996e-07	1	5	0	1	1.00024086032965	1.00024928133084
YBR221C	P32473	PDB1	40.0532	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	5.03524078627035	tightly_const	2	4.55686206120642e-06	4.55951892099355e-06	4.55718516912427e-06	0	6	1	1	1.00159966743478	1.00165567392582
YER178W	P16387	PDA1	46.34261	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	5.03524078627035	tightly_const	2	4.55686206120642e-06	4.55951892099355e-06	4.55718516912427e-06	0	6	1	1	1.00185110030451	1.00191592663473
YGR193C	P16451	PDX1	45.36125	sce00NNN  None	2	5.03524078627035	tightly_const	2	4.55686206120642e-06	4.55951892099355e-06	4.55718516912427e-06	0	6	1	1	1.00181186628516	1.00187531605121
YNL071W	P12695	LAT1	51.81762	sce00010  Glycolysis / Gluconeogenesis sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	2	5.03524078627035	tightly_const	2	4.55686206120642e-06	4.55951892099355e-06	4.55718516912427e-06	0	6	1	1	1.00207002951927	1.0021425392414
