genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
YPL111W	P00812	CAR1	35.66162	sce00220  Arginine biosynthesis sce00330  Arginine and proline metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	1000	tightly_const	2	0.00191582419306734	0.00191582589754519	0.00191582419306734	1	4	0	1	1.67743686133076	1.7238637137378	0.837649931875495
YOL058W	P22768	ARG1	46.92715	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	115.170138134251	tightly_const	2	3.0120136080926e-05	3.01227461188456e-05	3.0120136080926e-05	1	7	0	1	1.01084095543815	1.01125231109395	0.0172800480451331
YJL088W	P05150	ARG3	37.84479	sce00220  Arginine biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	115.170138134251	tightly_const	2	6.33697268391296e-06	6.33697829619303e-06	6.33697268391296e-06	1	5	0	1	1.00182677999838	1.00189545505733	0
YPR035W	P32288	GLN1	41.7656	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00630  Glyoxylate and dicarboxylate metabolism sce00910  Nitrogen metabolism sce01230  Biosynthesis of amino acids	OE	25.2225779179102	tightly_const	2	1.00219286473203e-05	1.00220628164496e-05	1.00219286473203e-05	1	7	0	1	0.973311750246344	1.03011070837774	0
YAL038W	P00549	CDC19	54.54404	sce00010  Glycolysis / Gluconeogenesis sce00230  Purine metabolism sce00620  Pyruvate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	2.47156367404337	essential	2	1.3662677382709e-06	1.55730109485212e-06	1.5572925128124e-06	1	6	0	1	1.03587941324028	1.10515072025926	0.0106286616370654
YOR375C	P07262	GDH1	49.56931	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00910  Nitrogen metabolism	OE	2.1283763168462	essential	2	1.39787207858102e-05	1.61519243648895e-05	1.61511653104639e-05	1	8	0	1	1.02793316909605	1.02901169581328	0
Q0105	P00163	COB	43.65549	sce00190  Oxidative phosphorylation	OE	1.84695793277849	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	5	1	1.02457330340173	1.02551888190482	0
Q0045	P00401	COX1	58.79755	sce00190  Oxidative phosphorylation	OE	1.84695793277844	tightly_const	2	6.66072297986479e-06	6.66120426448086e-06	6.66074299780114e-06	0	7	6	1	1.01049725481424	1.01089542831962	0
YBL045C	P07256	COR1	50.22724	sce00190  Oxidative phosphorylation	OE	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	5	1	1.02827390474506	1.02936596343978	0
YEL024W	P08067	RIP1	23.36479	sce00190  Oxidative phosphorylation	OE	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	5	1	1.01314976418334	1.01364990965048	0
YFR033C	P00127	QCR6	17.25682	sce00190  Oxidative phosphorylation	OE	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	5	1	1.00971170519243	1.01007978462978	0
YOR065W	P07143	CYT1	34.05423	sce00190  Oxidative phosphorylation	OE	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	5	1	1.01916738026113	1.01990089884267	0
YPR191W	P07257	QCR2	40.47764	sce00190  Oxidative phosphorylation	OE	1.84695793277844	tightly_const	2	2.09963807929296e-05	2.09964530591605e-05	2.09964439141636e-05	0	6	5	1	1.0227839266259	1.02365906009672	0
Q0085	P00854	ATP6	29.09876	sce00190  Oxidative phosphorylation	OE	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	9	1	1.20674395292025	1.0021137400508	0
Q0130	P61829	OLI1	7.75937	sce00190  Oxidative phosphorylation	OE	1.77666586484608	tightly_const	2	0.000261014604339908	0.000261019131714027	0.000261015028174676	0	7	9	1	1.24418129379074	1.03429600435763	0
YBL099W	P07251	ATP1	58.60746	sce00190  Oxidative phosphorylation	OE	1.77666586484608	tightly_const	2	8.03123781697922e-06	8.03238153812296e-06	8.03125158576476e-06	0	7	9	1	1.00035299715795	1.00036616336734	0
YBR039W	P38077	ATP3	34.35021	sce00190  Oxidative phosphorylation	OE	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	9	1	1.21079589312459	1.00559362611244	0
YDL004W	Q12165	ATP16	17.02022	sce00190  Oxidative phosphorylation	OE	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	9	1	1.00033317395004	1.00034559581767	0
YDR298C	P09457	ATP5	22.81414	sce00190  Oxidative phosphorylation	OE	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	9	1	1.00044656206191	1.00046324195359	0
YDR377W	Q06405	ATP17	11.312	sce00190  Oxidative phosphorylation	OE	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	9	1	1.00022146206563	1.00022968983498	0
YJR121W	P00830	ATP2	54.7932	sce00190  Oxidative phosphorylation	OE	1.77666586484608	tightly_const	2	8.03125444806835e-06	8.03238153812296e-06	8.03125158576476e-06	0	7	9	1	1.00033002876179	1.00034233253353	0
YKL016C	P30902	ATP7	19.80938	sce00190  Oxidative phosphorylation	OE	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	9	1	1.00038775943122	1.00040223100335	0
YPL078C	P05626	ATP4	26.92481	sce00190  Oxidative phosphorylation	OE	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	9	1	1.20506665761601	1.00067347880639	0
YPR020W	Q12233	ATP20	12.92094	sce00190  Oxidative phosphorylation	OE	1.77666586484608	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	9	1	1.00025294901281	1.00026235882618	0
YLR295C	Q12349	ATP14	14.12765	sce00190  Oxidative phosphorylation	OE	1.77666586484593	tightly_const	2	2.6101457673371e-05	2.61018291717139e-05	2.61015028174676e-05	0	7	9	1	1.00027656662066	1.00028686310772	0
YPL023C	P46151	MET12	73.94088	sce00670  One carbon pool by folate sce01200  Carbon metabolism	KD	0.293884450454309	subOpt_isoenz	0	0	1.40926430134096e-08	0	0	6	12	2	0.999999999999926	0.999999999999933	0
YDR502C	P19358	SAM2	42.2555	sce00270  Cysteine and methionine metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	KD	0.293827460547136	subOpt_isoenz	0	0	2.94117062224243e-09	0	0	7	13	2	0.999999999999961	0.999999999999966	0
YBR218C	P32327	PYC2	130.16549	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KD	0.27261619054949	subOpt_isoenz	0	0	5.14414684425796e-07	0	0	8	14	2	0.999999999999995	1	0
YBL039C	P28274	URA7	64.70953	sce00240  Pyrimidine metabolism	KD	0.258201785040245	subOpt_isoenz	0	0	3.65622902523661e-08	0	0	12	15	2	0.999999999999917	0.99999999999993	0
YCL040W	P17709	GLK1	55.37689	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00052  Galactose metabolism sce00500  Starch and sucrose metabolism sce00520  Amino sugar and nucleotide sugar metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	KO	0	subOpt_isoenz	0	0	2.7084178410131e-09	0	1	6	0	2	0.999999999999956	0.999999999999964	0
YER081W	P40054	SER3	51.1927	sce00260  Glycine, serine and threonine metabolism sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	KO	0	subOpt_isoenz	0	0	6.37976921961316e-08	0	0	6	17	2	1.00000000000002	1.00000000000001	0
YLR438W	P07991	CAR2	46.08557	sce00330  Arginine and proline metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	KO	0	subOpt_isoenz	0	0	2.17964539113627e-11	0	1	4	0	2	0.999999999999979	1	0
YMR246W	P47912	FAA4	77.26612	sce00061  Fatty acid biosynthesis sce00071  Fatty acid degradation sce01212  Fatty acid metabolism sce04146  Peroxisome	KO	0	subOpt_isoenz	0	0	1.92644778154122e-09	0	1	48	0	2	0.999999999999985	0.999999999999999	0
YOR317W	P30624	FAA1	77.86529	sce00061  Fatty acid biosynthesis sce00071  Fatty acid degradation sce01212  Fatty acid metabolism sce04146  Peroxisome	KO	0	subOpt_isoenz	0	0	1.90846154440039e-09	0	1	52	0	2	0.999999999999946	0.999999999999966	0
