genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YCR005C	P08679	CIT2	51.41279	2	1000	2	8.58468150479425e-06	8.58873687435208e-06	8.58759835833446e-06	1.00004278530342	1	6	0	1
YDL078C	P32419	MDH3	37.18575	1	1000	2	1.21740716346213e-08	1.5425405621166e-07	1.21740716346213e-08	1.00000008624857	1	5	0	1
YDR256C	P15202	CTA1	58.55479	2	1000	2	6.13715891249653e-11	6.13715891249653e-11	6.13715891249653e-11	1.0000010004052	1	3	0	1
YER015W	P39518	FAA2	83.43704	2	1000	2	0.00075986900595328	0.000759966486764924	0.000759872969275493	1.01128378965347	1	20	0	1
YGL205W	P13711	POX1	84.04132	2	1000	2	6.74165020114023e-06	6.74173543239172e-06	6.74165020114023e-06	1.00005462201368	1	38	0	1
YIL160C	P27796	POT1	44.72993	2	1000	2	7.04945934001015e-06	7.04950798528827e-06	7.04945934001015e-06	1.00003084197479	1	37	0	1
YJR019C	P41903	TES1	40.25927	2	1000	2	3.14052536962415e-06	3.19361933777038e-06	3.14056184186344e-06	1.0000129581662	1	23	0	1
YKL106W	Q01802	AAT1	51.79484	2	1000	2	3.32006713141306e-07	3.58114119736209e-07	3.36018830957823e-07	1.00000264713273	1	6	0	1
YKR009C	Q02207	FOX2	98.70186	2	1000	2	5.37792829548905e-07	5.37796540625236e-07	5.37792829548905e-07	1.00000602353204	1	58	0	1
YML042W	P32796	CAT2	77.24096	2	1000	2	6.33882752358599e-08	6.35282920491453e-08	6.34302877837806e-08	1.00000146373081	1	8	0	1
YJR051W	P21375	OSM1	55.06455	2	35.9958756704887	2	1.22859542551817e-07	2.3131321921769e-07	1.3536486309295e-07	1.00000170547202	1	5	0	1
YLR153C	P52910	ACS2	75.49079	2	15.9403529977159	2	5.3607245959237e-06	6.8087359048745e-06	6.80863542124895e-06	1.00004964471993	1	13	0	1
YPL061W	P54115	ALD6	54.41344	2	15.9403529977159	2	1.93113949567398e-05	1.93118850281062e-05	1.93118098601877e-05	1.0001004562568	1	8	0	1
YDL141W	P48445	BPL1	76.36203	2	15.8756975887412	2	8.26174150774013e-10	8.26175005077413e-10	8.26174150774013e-10	1.00000100603558	1	10	0	1
YNR016C	Q00955	ACC1	250.35091	2	15.8756975887412	2	1.13793616304826e-05	1.13793770158953e-05	1.13793616304826e-05	1.000270676492	1	7	0	1
YJL121C	P46969	RPE1	25.96689	2	11.2894243051909	2	7.62487092513361e-07	9.65963067457987e-07	7.62497969100504e-07	1.00000287386331	1	2	0	1
YLR174W	P41939	IDP2	46.56172	2	9.77809753537072	2	1.55091543522614e-06	1.66472585159073e-06	1.55125581369226e-06	1.00000783566427	1	5	0	1
YKL085W	P17505	MDH1	35.64959	2	7.01404350166227	2	9.98012345290692e-07	1.16120340262056e-06	1.01300095852316e-06	1.00000441771054	1	5	0	1
YNL241C	P11412	ZWF1	57.5209	2	6.10310853676281	2	2.09854663380344e-07	2.09895912205031e-07	2.09857622544593e-07	1.00000214245265	1	5	0	1
YOR095C	Q12189	RKI1	28.25777	2	3.24258389879113	2	4.8168431131741e-06	5.00387802792458e-06	4.81690813263729e-06	1.00001388206957	1	2	0	1
YOR283W	Q12040	YOR283W	26.17622	2	2.18015973898554	2	1.64322338694337e-07	7.50419733826219e-07	5.48581504380052e-07	1.00000235903272	1	4	0	1
YMR267W	P28239	PPA2	35.57213	2	2.13470552054059	2	1.74761907799753e-06	1.74766816666954e-06	1.74765016376668e-06	1.00000688330715	1	4	0	1
YML120C	P32340	NDI1	57.24915	2	1.40832851739788	2	7.43980238008009e-07	8.03895370084381e-07	7.78519730456686e-07	1.00000521798152	1	5	0	1
YCR012W	P00560	PGK1	44.73787	2	1.16082770052496	2	8.91477437402765e-07	1.00957957653015e-06	8.91483781598387e-07	1.00000477447368	1	4	0	1
YDR050C	P00942	TPI1	26.79508	1	1.04640043891919	2	2.51416333129688e-08	2.22318575307443e-07	2.5142305882219e-08	1.00000012807238	1	2	0	1
YMR205C	P16862	PFK2	104.61673	2	1.03980818246466	2	4.38690611035147e-07	6.11161281958848e-07	6.11157884579058e-07	1.00000705088654	1	9	0	1
YDL052C	P33333	SLC1	33.88654	0	0.13340272327936	0	0	1.56627978575909e-07	0	1.00000200465077	1	28	0	1
YNR019W	P53629	ARE2	74.022	0	0.107676212157528	0	0	7.13729040521313e-08	0	1.00000200003335	1	84	0	1
YOR245C	Q08650	DGA1	47.71075	0	0.0852643182362923	0	0	5.23197518649166e-08	0	1.00000147253301	1	122	0	1
YNR001C	P00890	CIT1	53.35945	0	0	0	0	2.99472028237047e-11	0	1.00000100036755	1	7	0	1
YOL126C	P22133	MDH2	40.7305	0	0	0	0	1.58563446660466e-07	0	1.00000222246477	1	5	0	1
YPR001W	P43635	CIT3	53.81073	0	0	0	0	9.07269729990505e-11	0	1.00000100098914	1	9	0	1
YDR148C	P19262	KGD2	50.43011	2	1000	2	6.35814576164026e-06	6.38575621503655e-06	6.36080652489284e-06	1.00003135837441	0	11	1	2
YOR142W	P53598	LSC1	35.03207	2	1000	2	4.3982748081981e-07	5.04365017734326e-07	4.39876588663492e-07	1.00000245840478	0	8	2	2
YPR074C	P23254	TKL1	73.80488	2	42.841021955791	2	0	1.32583850976747e-06	1.25425304778418e-06	1.00000976085042	0	10	3	2
YLR044C	P06169	PDC1	61.49468	2	15.9403529977159	2	2.86604439997572e-06	2.93006257689694e-06	2.93006084658689e-06	1.00001805234449	0	17	4	2
YHR163W	P38858	SOL3	27.78417	2	6.10310853676281	2	5.31280277868246e-06	1.32822319696293e-05	1.32798054234706e-05	1.00003592160172	0	5	5	2
YHR183W	P38720	GND1	53.54274	2	6.10310853676281	2	0	3.64896317307477e-06	3.64829640705578e-06	1.00001948741801	0	6	6	2
YFR053C	P04806	HXK1	53.73784	1	3.13963598306858	2	0	1.21523870077333e-07	2.14577140844346e-09	1.00000000073853	0	12	7	2
YAL038W	P00549	CDC19	54.54404	2	2.33871388464891	2	0	1.95236940747585e-06	1.95232534572529e-06	1.00001107782533	0	6	8	2
YGR254W	P00924	ENO1	46.81564	2	2.18015973898554	2	0	2.09967295026306e-06	1.98681830671377e-06	1.00000980270725	0	5	9	2
YJL052W	P00360	TDH1	35.74956	2	1.16082770052496	2	1.62992025916326e-05	1.66463947578534e-05	1.64985973989625e-05	1.00005681773066	0	8	10	2
YGL080W		MPC1	NaN	0	0.0323033849344308	0	0	0	0	1.00000100006509	0	4	13	2
YGR243W		MPC3	NaN	0	0.0323033849344308	0	0	0	0	1.0000010000651	0	4	13	2
YHR162W		MPC2	NaN	0	0.0323033849344308	0	0	0	0	1.0000010000651	0	4	13	2
YBR221C	P32473	PDB1	40.0532	0	0	0	0	9.40033289962519e-11	0	1.00000100077774	0	6	15	2
YER178W	P16387	PDA1	46.34261	0	0	0	0	9.40033289962519e-11	0	1.00000100088963	0	6	15	2
YGR193C	P16451	PDX1	45.36125	0	0	0	0	9.40033289962519e-11	0	1.00000100087216	0	6	15	2
YNL071W	P12695	LAT1	51.81762	0	0	0	0	9.40033289962519e-11	0	1.00000100098705	0	6	15	2
YBR218C	P32327	PYC2	130.16549	0	0.0800016534921208	0	0	2.88020767081773e-07	0	1.00000809600728	0	8	11	3
YAL062W	P39708	GDH3	49.62653	0	0.0789975650788601	0	0	1.00990777434071e-06	0	1.00001048612871	0	8	12	3
YER081W	P40054	SER3	51.1927	0	0.0213360237151138	0	0	6.91516639465246e-08	0	1.00000167010563	0	6	14	3
