genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate
YDR300C	P32264	PRO1	47.16164	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.10052671230959e-07	2.10426535544734e-07	2.10188074822914e-07	1	4	0	1	1.00015350471919	1.00015418395523
YEL038W	P32626	UTR4	25.18714	sce00270  Cysteine and methionine metabolism	2	1000	tightly_const	2	1.77866728400184e-07	1.77891917917283e-07	1.77866728400184e-07	0	6	1	1	1.00002466060948	1.00002476971497
YGL125W	P53128	MET13	68.55958	sce00670  One carbon pool by folate sce01200  Carbon metabolism	2	1000	tightly_const	2	1.40915730833004e-08	1.4096701864338e-08	1.4092433644586e-08	1	6	0	1	1.00001496165612	1.00001502785006
YLR017W	Q07938	MEU1	37.85618	sce00270  Cysteine and methionine metabolism	2	1000	tightly_const	2	8.07243921276898e-06	8.07355776700822e-06	8.07243921276898e-06	1	8	0	1	1.00168497387858	1.00169244110976
YLR209C	Q05788	PNP1	33.7546	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00760  Nicotinate and nicotinamide metabolism sce01110  Biosynthesis of secondary metabolites	2	1000	essential	2	1.65193544629181e-08	1.92078325641153e-08	1.65262184048229e-08	1	13	0	1	1.00000307063362	1.00000308421867
YMR009W	Q03677	ADI1	20.8791	sce00270  Cysteine and methionine metabolism	2	1000	tightly_const	2	1.77866728400184e-07	1.77891917917283e-07	1.77866728400184e-07	0	6	1	1	1.00002044257417	1.0000205330175
YNL141W	P53909	AAH1	39.63458	sce00230  Purine metabolism	2	1000	tightly_const	2	3.81446625874287e-07	3.82137918053866e-07	3.81605186997902e-07	1	9	0	1	1.00008326167054	1.00008363006532
YOR323C	P54885	PRO2	49.73991	sce00330  Arginine and proline metabolism sce00332  Carbapenem biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	2	1000	tightly_const	2	2.7229062874298e-08	2.72787960654317e-08	2.72466152002226e-08	1	6	0	1	1.00002098663694	1.0000210794874
YJR024C	P47095	MDE1	27.42662	sce00270  Cysteine and methionine metabolism	2	1000	tightly_const	2	1.27201477140124e-07	1.27219466642677e-07	1.27201477140124e-07	1	3	0	1	1.00001920404346	1.0000192890071
YPR118W	Q06489	MRI1	45.01983	sce00270  Cysteine and methionine metabolism	1	1000	essential	2	1.25678232840068e-10	2.13543434802993e-09	1.25678232840068e-10	1	2	0	1	1.00000003114468	1.00000003128247
YJR069C	P47119	HAM1	22.09268	sce00230  Purine metabolism	1	1000	essential	2	2.68220811181713e-11	4.25269721568686e-09	1.5728024228112e-10	1	16	0	1	1.00000005380819	1.00000005404625
NAS2	Q9FKT9	NAS2	35.679		2	1000	tightly_const	2	0.00251859176596622	0.00251859176597126	0.00251859176596622	1	4	0	1	1.9787937856926	1.98739992755107
YDR050C	P00942	TPI1	26.79508	sce00010  Glycolysis / Gluconeogenesis sce00051  Fructose and mannose metabolism sce00562  Inositol phosphate metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	2	1.21593517824788	essential	2	2.83235588433352e-08	3.17059957939273e-08	2.83293030950737e-08	1	2	0	1	1.00002609019197	1.0000262056225
YBR218C	P32327	PYC2	130.16549	sce00020  Citrate cycle (TCA cycle) sce00620  Pyruvate metabolism sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	0	0.282987457510794	subOpt_isoenz	0	0	5.14445259339539e-07	0	0	8	4	2	1.00000343874911	0.999999940077795
YAL062W	P39708	GDH3	49.62653	sce00220  Arginine biosynthesis sce00250  Alanine, aspartate and glutamate metabolism sce00910  Nitrogen metabolism	0	0.13787990369406	subOpt_isoenz	0	0	1.44724362625772e-06	0	0	8	13	2	1.00000405166987	0.999999937551873
YER081W	P40054	SER3	51.1927	sce00260  Glycine, serine and threonine metabolism sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	0	0.028336581967538	subOpt_isoenz	0	0	2.56525955528563e-08	0	0	6	14	2	1	1
YMR246W	P47912	FAA4	77.26612	sce00061  Fatty acid biosynthesis sce00071  Fatty acid degradation sce01212  Fatty acid metabolism sce04146  Peroxisome	0	0	subOpt_isoenz	0	0	1.23238276048056e-09	0	1	48	0	2	1	1
MTHFR1	Q9SE60	MTHFR1	66.288		0	0	subOpt_isoenz	0	0	1.36408352227456e-09	0	1	7	0	2	1.00000086284781	1.0000008666652
YDR452W	Q04119	PPN1	78.34335	sce00NNN  None	1	1000	opt_isoenz	2	0	1.15649641576838e-09	1.59461388661699e-12	1	11	0	3	1.00000000193456	1.00000000194312
YLL052C		AQY2	NaN		0	0.289808199470616		0	NaN	NaN	NaN	0	2	2	3	1	1
YPR192W		AQY1	NaN		0	0.289808199470616		0	NaN	NaN	NaN	0	2	2	3	1	1
YOR222W		ODC2	NaN		0	0.26526130671434		0	NaN	NaN	NaN	0	6	5	3	1	1
YPL134C		ODC1	NaN		0	0.26526130671434		0	NaN	NaN	NaN	0	6	5	3	1	1
YER053C		PIC2	NaN		0	0.157096772919529		0	NaN	NaN	NaN	0	4	12	3	1	1
YJR077C		MIR1	NaN		0	0.157096772919529		0	NaN	NaN	NaN	0	4	12	3	1	1
YER070W	P21524	RNR1	99.56021	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	0	0	subOpt_isoenz	0	0	9.2344737311734e-10	0	0	24	16	3	1.00000000000001	1.00000000000001
YIL066C	P21672	RNR3	97.51369	sce00230  Purine metabolism sce00240  Pyrimidine metabolism sce00480  Glutathione metabolism	0	0	subOpt_isoenz	0	0	9.24592045591613e-10	0	0	24	16	3	1	1
