genes	enzymes	shortNames	MWs	pathways	actions	k_scores	EV_type	OE	minUsage	maxUsage	pUsage	unique	conectivity	groups	priority	foldChange_yield	foldChange_pRate	FCC
YOL097C	Q12109	WRS1	49.34966	sce00970  Aminoacyl-tRNA biosynthesis	OE	5.02290344406487	tightly_const	2	2.4049421059615e-06	2.40494242030148e-06	2.4049421059615e-06	1	6	0	1	1.00950830117296	1.01011981301534	0
YDR354W	P07285	TRP4	41.37402	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	5.02290344406487	tightly_const	2	1.16100427691918e-06	1.16114412471783e-06	1.16100427691918e-06	1	4	0	1	1.00383978979198	1.00408526469447	0
YER090W	P00899	TRP2	56.76706	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	5.02290344406487	tightly_const	2	5.8050213845959e-06	5.80513202592412e-06	5.8050213845959e-06	1	6	0	1	1.02657756836582	1.0283176578808	0.0244037503596748
YKL211C	P00937	TRP3	53.48881	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	5.02290344406487	tightly_const	2	6.10834665159799e-06	6.1084630741798e-06	6.10834665159799e-06	1	10	0	1	1.0263489011141	1.02807360988341	0.0241967466504568
YDR341C	Q05506	YDR341C	69.5242	sce00970  Aminoacyl-tRNA biosynthesis	OE	3.63645925482934	tightly_const	2	7.90964144056667e-07	7.90964283170527e-07	7.90964144056667e-07	1	6	0	1	1.0051690699505	1.00549999034458	0
YGR264C	P00958	MES1	85.67702	sce00450  Selenocompound metabolism sce00970  Aminoacyl-tRNA biosynthesis	OE	3.60413355295413	tightly_const	2	1.08069690535214e-05	1.08069709696791e-05	1.08069690535214e-05	1	6	0	1	1.08968963302052	1.09594800322398	0.0654894329515518
YOR168W	P13188	GLN4	93.13159	sce00970  Aminoacyl-tRNA biosynthesis	OE	3.47918355481212	tightly_const	2	2.78813589847117e-06	2.78813640885501e-06	2.78813589847117e-06	1	6	0	1	1.02513323605625	1.02677629557932	0.0183283804808025
YPR167C	P18408	MET16	30.3799	sce00920  Sulfur metabolism	OE	3.22286308598714	tightly_const	2	1.2936703014398e-06	1.29388963209172e-06	1.2936703014398e-06	1	7	0	1	1.00393954881754	1.00419142786892	0
YHR019C	P38707	DED81	62.20612	sce00970  Aminoacyl-tRNA biosynthesis	OE	2.93442675796347	tightly_const	2	7.31893582774592e-07	7.31893738904643e-07	7.31893582774592e-07	1	6	0	1	1.00480629395088	1.00511387151133	0
YDR127W	P08566	ARO1	174.75305	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	2.70733343273592	tightly_const	2	1.13283003161023e-06	1.13285081101857e-06	1.13283003161023e-06	1	14	0	1	1.02195070828532	1.02338096806849	0.0133816374283081
