genes	enzymes	shortNames	MWs	pathways	actions	k_scores	enz_pos	unique	conectivity	groups	EV_type	OE	minUsage	maxUsage	pUsage	minUsageBio	maxUsageBio	pUsageBio	EUV_comparison	priority
YPR074C	P23254	TKL1	73.80488	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	25.0154850763767	7314	1	10	0	production_opt	2	0	0.00103749003086313	9.50022864225586e-07	0	0.000969364237601656	1.39362534021916e-07	up_subset	2
YJL121C	P46969	RPE1	25.96689	sce00030  Pentose phosphate pathway sce00040  Pentose and glucuronate interconversions sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	9.59753196116353	7688	1	2	0	essential	2	5.77439878699156e-07	0.00294670255326923	5.77547334527745e-07	8.4516437771621e-08	0.00275488210415699	8.47226557257652e-08	up_overlaped	2
YHR163W	P38858	SOL3	27.78417	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	5.95043517979409	7577	1	5	0	production_opt_tight	2	0	1.16729543182745e-05	1.16726347003892e-05	0	2.63134864498929e-06	2.63069516377211e-06	up_subset	2
YHR183W	P38720	GND1	53.54274	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	5.95043517979409	7563	1	6	0	production_opt_tight	2	0	3.20685401186977e-06	3.20676620479996e-06	0	7.22897625462848e-07	7.22718097743074e-07	up_subset	2
YNL241C	P11412	ZWF1	57.5209	sce00030  Pentose phosphate pathway sce00480  Glutathione metabolism sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism	OE	5.95043517979409	7214	1	5	0	essential_tightly_const	2	1.84430973757674e-07	1.8446492197028e-07	1.84459883932171e-07	4.15167717653603e-08	4.158257994846e-08	4.15722531395715e-08	up_distinct	1
YGR155W	P32582	CYS4	56.02121	sce00260  Glycine, serine and threonine metabolism sce00270  Cysteine and methionine metabolism sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	5.89535551211187	7424	1	4	0	essential_tightly_const	2	4.21952464605109e-08	4.23660804027393e-08	4.22752112847777e-08	9.4459885844808e-09	9.77702314229787e-09	9.60094093032565e-09	up_distinct	1
YNL247W	P53852	YNL247W	87.52914	sce00970  Aminoacyl-tRNA biosynthesis	OE	5.89535551211187	7799	1	6	0	essential_tightly_const	2	8.82442968270485e-08	8.82443067625342e-08	8.82442968270485e-08	2.00407817140747e-08	2.0040934463488e-08	2.00407817140747e-08	up_distinct	1
YDR007W	P00912	TRP1	24.14425	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	4.6322953201179	7094	1	2	0	essential_tightly_const	2	4.52648382474426e-08	4.52707158985973e-08	4.52648382474426e-08	1.27587319741478e-08	1.27701137268445e-08	1.27587319741478e-08	up_distinct	1
YDR354W	P07285	TRP4	41.37402	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	4.6322953201179	7161	1	4	0	essential_tightly_const	2	1.07699183196877e-06	1.07713167964225e-06	1.07699183196877e-06	3.0357007015732e-07	3.03841060874053e-07	3.0357007015732e-07	up_distinct	1
YER090W	P00899	TRP2	56.76706	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	4.6322953201179	7093	1	6	0	essential_tightly_const	2	5.38495915984384e-06	5.38506980107375e-06	5.38495915984384e-06	1.5178503507866e-06	1.51806474653045e-06	1.5178503507866e-06	up_distinct	1
YOL097C	Q12109	WRS1	49.34966	sce00970  Aminoacyl-tRNA biosynthesis	OE	4.6322953201179	7973	1	6	0	essential_tightly_const	2	2.23091598882939e-06	2.23091630336746e-06	2.23091598882939e-06	6.28824939188273e-07	6.28828681975746e-07	6.28824939188273e-07	up_distinct	1
YGL026C	P00931	TRP5	76.62516	sce00260  Glycine, serine and threonine metabolism sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	4.6322953201179	7098	1	5	0	essential_tightly_const	2	4.0261347473002e-09	4.02665720683539e-09	4.0261347473002e-09	1.13484055442325e-09	1.13585360310154e-09	1.13484055442325e-09	up_distinct	1
YKL211C	P00937	TRP3	53.48881	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01230  Biosynthesis of amino acids	OE	4.6322953201179	7099	1	10	0	essential_tightly_const	2	5.66633524215929e-06	5.66645166463751e-06	5.66633524215929e-06	1.59716140451386e-06	1.5973870029122e-06	1.59716140451386e-06	up_distinct	1
YOR095C	Q12189	RKI1	28.25777	sce00030  Pentose phosphate pathway sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics sce01200  Carbon metabolism sce01230  Biosynthesis of amino acids	OE	3.94320206193931	7980	1	2	0	essential	2	5.32762709805618e-06	0.00271260672761396	5.3282623193719e-06	1.73245443852131e-06	0.00253319560735423	1.73367348863683e-06	up_overlaped	2
YBR166C	P20049	TYR1	50.92272	sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis sce01110  Biosynthesis of secondary metabolites sce01130  Biosynthesis of antibiotics	OE	3.85680034525456	7280	1	5	0	essential_tightly_const	2	3.60462396563696e-07	3.60474875662733e-07	3.60462396563696e-07	1.19561232077866e-07	1.19585413531394e-07	1.19561232077866e-07	up_distinct	1
YGR185C	P36421	TYS1	44.01942	sce00970  Aminoacyl-tRNA biosynthesis	OE	3.85680034525456	7494	1	6	0	essential_tightly_const	2	2.06090405231006e-06	2.06090439612466e-06	2.06090405231006e-06	6.83578176357482e-07	6.83581538468938e-07	6.83578176357482e-07	up_distinct	1
YHR019C	P38707	DED81	62.20612	sce00970  Aminoacyl-tRNA biosynthesis	OE	3.62539840578887	7557	1	6	0	essential_tightly_const	2	8.84700306167551e-07	8.8470046219664e-07	8.84700306167551e-07	3.09907022393198e-07	3.09908449994137e-07	3.09907022393198e-07	up_distinct	1
YPR145W	P49089	ASN1	64.46973	sce00250  Alanine, aspartate and glutamate metabolism sce01110  Biosynthesis of secondary metabolites sce01230  Biosynthesis of amino acids	OE	3.62539840578887	7728	1	10	0	production_opt_tight	2	0	5.25679309688755e-06	5.25616102096775e-06	0	1.84243725121487e-06	1.84121244207958e-06	up_subset	2
YHR011W	P38705	DIA4	50.38946	sce00970  Aminoacyl-tRNA biosynthesis	OE	3.41698979051712	7556	1	7	0	production_opt_tight	2	0	3.95916954750332e-06	3.95916881087414e-06	0	1.46093297763832e-06	1.46092665942839e-06	up_subset	2
